corpus_id	representation_id	family	metric_id	regime	estimate	bootstrap_mean	bootstrap_sd	ci_level	ci_low	ci_high	n_valid
C06	MUSIC-R2	S	S01_TRANSITION_DENSITY	MATCHED_VOCAB	0.371900826446	0.398760607637	0.036784898545	0.95	0.336776859504	0.465443213296	200
C06	MUSIC-R2	S	S02_TRANSITION_ZERO_DENSITY	MATCHED_VOCAB	0.628099173554	0.601239392363	0.036784898545	0.95	0.534556786704	0.663223140496	200
C06	MUSIC-R2	S	S03_TRANSITION_ENTROPY_NORM	MATCHED_VOCAB	0.621392782472	0.636714206742	0.0103025532219	0.95	0.618626385271	0.654695962987	200
C06	MUSIC-R2	S	S06_PREFERRED_TRANSITION_FRACTION	MATCHED_VOCAB	0.160583941606	0.164293439075	0.0117126559842	0.95	0.140740740741	0.186613130002	200
C06	MUSIC-R2	S	S07_DEPLETED_TRANSITION_FRACTION	MATCHED_VOCAB	0.401459854015	0.408879730484	0.0144034530531	0.95	0.385114379085	0.435814336373	200
C06	MUSIC-R2	S	S08_HIGHER_ORDER_PREDICTIVE_GAIN	MATCHED_VOCAB	0.0817155984812	0.0918405589178	0.00285139536072	0.95	0.0863987530751	0.0974409093503	200
C06	MUSIC-R2	S	S04_REPEATED_BIGRAM_TYPES		145	143.92	4.29110708326	0.95	136	152.025	200
C06	MUSIC-R2	S	S05_REPEATED_TRIGRAM_TYPES		493	491.695	12.7640892742	0.95	465.975	516.025	200
C06	MUSIC-R2	L	L01_LINE_TOKEN_COUNT_MEAN		10.5411449016	10.5501744186	0.106208674887	0.95	10.3406529517	10.7704382826	200
C06	MUSIC-R2	L	L02_LINE_SYMBOL_COUNT_MEAN		10.5411449016	10.5501744186	0.106208674887	0.95	10.3406529517	10.7704382826	200
C06	MUSIC-R2	L	L03_BOUNDARY_SPECIALIZATION		0.318181818182	0.269429896041	0.0354457672692	0.95	0.210526315789	0.333333333333	200
C06	MUSIC-R2	L	L04_POSITION_PROGRESSION		0	0	0	0.95	0	0	200
C06	MUSIC-R2	L	L05_LINE_ASYMMETRY		0.31854676742	0.317674355573	0.00686184654045	0.95	0.305546365683	0.33186753209	200
C06	MUSIC-R2	L	L06_SAME_LINE_COOCCURRENCE_DENSITY	FREQ_GE_5	0.904411764706	0.905482959851	0.0318125626849	0.95	0.836437908497	0.95	200
C06	MUSIC-R2	L	L07_SAME_LINE_NONCOOCCURRENCE_DENSITY	FREQ_GE_5	0.0955882352941	0.0945170401494	0.0318125626849	0.95	0.05	0.163562091503	200
C06	MUSIC-R2	L	L06_SAME_LINE_COOCCURRENCE_DENSITY	FREQ_GE_10	0.990476190476	0.967804621849	0.02297730538	0.95	0.925	0.990476190476	200
C06	MUSIC-R2	L	L07_SAME_LINE_NONCOOCCURRENCE_DENSITY	FREQ_GE_10	0.00952380952381	0.0321953781513	0.02297730538	0.95	0.00952380952381	0.075	200
C06	MUSIC-R2	L	L06_SAME_LINE_COOCCURRENCE_DENSITY	TOP_100	0.65367965368	0.705966248062	0.0450531329519	0.95	0.632034632035	0.789619883041	200
C06	MUSIC-R2	L	L07_SAME_LINE_NONCOOCCURRENCE_DENSITY	TOP_100	0.34632034632	0.294033751938	0.0450531329519	0.95	0.210380116959	0.367965367965	200
C06	MUSIC-R2	L	L06_SAME_LINE_COOCCURRENCE_DENSITY	TOP_250	0.65367965368	0.705966248062	0.0450531329519	0.95	0.632034632035	0.789619883041	200
C06	MUSIC-R2	L	L07_SAME_LINE_NONCOOCCURRENCE_DENSITY	TOP_250	0.34632034632	0.294033751938	0.0450531329519	0.95	0.210380116959	0.367965367965	200
C06	MUSIC-R2	L	L06_SAME_LINE_COOCCURRENCE_DENSITY	MATCHED_VOCAB	0.65367965368	0.705966248062	0.0450531329519	0.95	0.632034632035	0.789619883041	200
C06	MUSIC-R2	L	L07_SAME_LINE_NONCOOCCURRENCE_DENSITY	MATCHED_VOCAB	0.34632034632	0.294033751938	0.0450531329519	0.95	0.210380116959	0.367965367965	200
C06	MUSIC-R2	D	D_LINE_COHERENCE		0.657915117671	0.467325022514	0.00554211317211	0.95	0.457005547518	0.478664682356	200
C06	MUSIC-R2	D	D_LINE_EXCLUSIVITY		0.181818181818	0.0876899445584	0.0484556427942	0.95	0	0.182034632035	200
C06	MUSIC-R2	D	D_LINE_VARIANCE_SHARE		0	0	0	0.95	0	0	200
C06	MUSIC-R2	D	D_LINE_PROGRESSION		0	0	0	0.95	0	0	200
C06	MUSIC-R2	D	D_SECTION_COHERENCE		0.772727272727	0.827276456516	0.0466150209947	0.95	0.727272727273	0.894736842105	200
C06	MUSIC-R2	D	D_SECTION_EXCLUSIVITY		0.227272727273	0.172723543484	0.0466150209947	0.95	0.105263157895	0.272727272727	200
C06	MUSIC-R2	D	D_SECTION_VARIANCE_SHARE		0	0	0	0.95	0	0	200
C06	MUSIC-R2	D	D_SECTION_PROGRESSION		0	0	0	0.95	0	0	200
C06	MUSIC-R2	D	D_PAGE_COHERENCE		0.693005240374	0.670498359938	0.0499849776244	0.95	0.56873433584	0.754317165463	200
C06	MUSIC-R2	D	D_PAGE_EXCLUSIVITY		0.181818181818	0.157741398952	0.0527250488437	0.95	0.0526315789474	0.238095238095	200
C06	MUSIC-R2	D	D_PAGE_VARIANCE_SHARE		0	0	0	0.95	0	0	200
C06	MUSIC-R2	D	D_PAGE_PROGRESSION		0	0	0	0.95	0	0	200
C06	MUSIC-R2	D	D_LOCUS_COHERENCE		0	0	0	0.95	0	0	0
C06	MUSIC-R2	D	D_LOCUS_EXCLUSIVITY		0	0	0	0.95	0	0	0
C06	MUSIC-R2	D	D_LOCUS_VARIANCE_SHARE		0	0	0	0.95	0	0	0
C06	MUSIC-R2	D	D_LOCUS_PROGRESSION		0	0	0	0.95	0	0	0
