source	target	relation	eligible_blocks	joint_classes	currier_classes	hands	median_log2_enrichment	sign_consistency	transfer_fraction	empirical_p	fdr_q	status
x000007	x000223	preferred	20	4	G0,G1,G2,G3	generic	1.570200013	0.9	0.9	9.9990001e-05	0.03539646035	BACKBONE_PREFERRED
x000021	x000119	preferred	20	4	G0,G1,G2,G3	generic	1.593003417	0.85	0.85	9.9990001e-05	0.03539646035	BACKBONE_PREFERRED
x000022	x000131	preferred	15	4	G0,G1,G2,G3	generic	1.521933037	0.8	0.8	0.000199980002	0.0495550445	BACKBONE_PREFERRED
x000029	x000362	preferred	20	4	G0,G1,G2,G3	generic	1.581711672	0.9	0.9	9.9990001e-05	0.03539646035	BACKBONE_PREFERRED
