token	direction	global_count	eligible_blocks	joint_classes	pairwise_js_mean	pairwise_js_median	pairwise_js_min	pairwise_js_sd	lobo_median_correlation	lobo_mean_correlation	lobo_median_spearman	sign_agreement	permutation_p	sign_permutation_p	entropy_effect	entropy_sign_consistency	entropy_permutation_p	entropy_status	replicated
x000049	outgoing	133	3	1	0.994226765	0.9942198507	0.993653091	0.000577162241	0.4725314558	0.4685449864	0.3373047802	0.8097459824	0.02897102897	0.1908091908	0.3695447415	1	0.984015984	INSUFFICIENT_SUPPORT	false
x000050	outgoing	127	2	1	0.9970981391	0.9970981391	0.9970981391	0	0.4330131644	0.4330131644	0.3523425005	0.7278382582	0.000999000999	0.000999000999	0.3873615501	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000051	outgoing	101	2	1	0.9970891876	0.9970891876	0.9970891876	0	0.4566117172	0.4566117172	0.3768698642	0.8413685848	0.000999000999	0.000999000999	0.4565419416	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000052	outgoing	112	6	4	0.9968996653	0.9970891876	0.9959367736	0.000714342094	0.6021429522	0.5836593692	0.4423242497	0.8841368585	0.3256743257	0.7392607393	0.4301810891	1	0.5344655345	INSUFFICIENT_SUPPORT	false
x000053	outgoing	126	6	2	0.9965191324	0.9965167647	0.9947914297	0.0009740132231	0.5965871592	0.5991614176	0.4337194715	0.8916537066	0.9190809191	0.3466533467	0.4150708975	1	0.4705294705	INSUFFICIENT_SUPPORT	false
x000054	outgoing	103	2	2	0.9959367736	0.9959367736	0.9959367736	0	0.385233516	0.385233516	0.2822024178	0.7278382582	0.000999000999	0.000999000999	0.4196431455	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000055	outgoing	132	9	3	0.9966791692	0.9970891876	0.9942260029	0.0009628317863	0.6234145166	0.6186353756	0.4456664369	0.8773112148	0.1538461538	0.9120879121	0.4273874235	1	0.8801198801	INSUFFICIENT_SUPPORT	false
x000056	outgoing	98	3	2	0.9953717208	0.9953678649	0.9942198507	0.001153802904	0.4592330595	0.4781117838	0.3180752767	0.7760497667	0.05894105894	0.000999000999	0.3625078648	1	0.6953046953	INSUFFICIENT_SUPPORT	false
x000057	outgoing	115	3	3	0.9943286537	0.9936898913	0.9932401496	0.001512664612	0.471382915	0.4696013255	0.3467385972	0.8040435459	0.01898101898	0.2157842158	0.3752981015	1	0.4535464535	INSUFFICIENT_SUPPORT	false
x000058	outgoing	113	5	4	0.9943264955	0.9943475608	0.9933223406	0.0005934346666	0.542852715	0.5393434222	0.4046873075	0.8522550544	0.4885114885	0.3596403596	0.4164347315	1	0.8391608392	INSUFFICIENT_SUPPORT	false
x000059	outgoing	103	3	2	0.9949888497	0.9948037725	0.9942260029	0.0008702725179	0.4578803454	0.4590134437	0.3123067947	0.8133748056	0.2427572428	0.3836163836	0.4183524436	1	0.6513486513	INSUFFICIENT_SUPPORT	false
x000060	outgoing	114	5	2	0.9959396533	0.9959367736	0.9947914297	0.0006051213513	0.5188707575	0.529353854	0.3601089754	0.7698289269	0.1188811189	0.1028971029	0.3625078648	1	0.6993006993	INSUFFICIENT_SUPPORT	false
x000061	outgoing	86	2	2	0.9976664992	0.9976664992	0.9976664992	0	0.397540712	0.397540712	0.3223657332	0.7060653188	0.000999000999	0.000999000999	0.4132734738	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000062	outgoing	104	1	1	0	0	1	0	0	0	0	0.1695178849	0.000999000999	0.000999000999	0.4293108527	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000063	outgoing	110	7	4	0.9989985015	0.9988359396	0.9982487372	0.0004932833415	0.6423658889	0.6245013463	0.4573699427	0.8609197956	0.000999000999	0.2877122877	0.4273066206	1	0.03096903097	REPRODUCIBLY_BROAD	false
x000064	outgoing	100	4	4	0.9991225604	0.9991225604	0.9988296318	0.0003208872804	0.5506862933	0.5519129524	0.4118710921	0.8728615863	0.05794205794	0.5824175824	0.403461806	1	0.03196803197	REPRODUCIBLY_BROAD	false
x000065	outgoing	80	1	1	0	0	1	0	0	0	0	0.1524105754	0.000999000999	0.000999000999	0.3991867521	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000066	outgoing	109	2	2	0.9965105354	0.9965105354	0.9965105354	0	0.4536952157	0.4536952157	0.3667796922	0.8584758942	0.000999000999	0.000999000999	0.3775690022	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000067	outgoing	79	2	2	0.9965212558	0.9965212558	0.9965212558	0	0.395142182	0.395142182	0.3043051658	0.6531881804	0.000999000999	0.000999000999	0.3834554665	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000069	outgoing	98	2	2	0.9947914297	0.9947914297	0.9947914297	0	0.3773408218	0.3773408218	0.314867284	0.7185069984	0.000999000999	0.000999000999	0.3614636936	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000070	outgoing	85	2	2	0.9937680203	0.9937680203	0.9937680203	0	0.3906487583	0.3906487583	0.2803268061	0.7185069984	0.000999000999	0.000999000999	0.3905535286	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000071	outgoing	83	2	2	0.9953758805	0.9953758805	0.9953758805	0	0.3662284864	0.3662284864	0.2957341423	0.8258164852	0.000999000999	0.000999000999	0.4123442995	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000073	outgoing	76	1	1	0	0	1	0	0	0	0	0.1228615863	0.000999000999	0.000999000999	0.3532997876	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000077	outgoing	74	3	2	0.9969037421	0.9971016852	0.9959367736	0.0008847625928	0.4463442804	0.4589512483	0.2936388631	0.8460342146	0.1548451548	0.6553446553	0.4571717586	1	0.03196803197	REPRODUCIBLY_BROAD	false
x000079	outgoing	75	2	2	0.9976727676	0.9976727676	0.9976727676	0	0.4306058072	0.4306058072	0.3407180962	0.8444790047	0.000999000999	0.000999000999	0.401302361	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000081	outgoing	60	2	2	1	1	1	0	0.4743363473	0.4743363473	0.3733416736	0.8351477449	0.000999000999	0.000999000999	0.4686569405	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000083	outgoing	69	2	1	0.9988359396	0.9988359396	0.9988359396	0	0.4985154488	0.4985154488	0.4070359034	0.766718507	0.000999000999	0.000999000999	0.4341175496	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000084	outgoing	70	2	2	0.9988296318	0.9988296318	0.9988296318	0	0.4567314272	0.4567314272	0.3764578744	0.7527216174	0.000999000999	0.000999000999	0.4078028097	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000085	outgoing	87	2	1	0.9982613134	0.9982613134	0.9982613134	0	0.4731346314	0.4731346314	0.3767156731	0.833592535	0.000999000999	0.000999000999	0.4881550249	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000087	outgoing	86	1	1	0	0	1	0	0	0	0	0.1539657854	0.000999000999	0.000999000999	0.44213665	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000089	outgoing	78	2	1	0.9954969915	0.9954969915	0.9954969915	0	0.3702928387	0.3702928387	0.2967301771	0.8491446345	0.000999000999	0.000999000999	0.4116433707	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000091	outgoing	57	2	2	0.9949084559	0.9949084559	0.9949084559	0	0.4274566546	0.4274566546	0.3462902894	0.8584758942	0.000999000999	0.000999000999	0.357434985	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000092	outgoing	70	1	1	0	0	1	0	0	0	0	0.1477449456	0.000999000999	0.000999000999	0.4000288688	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000093	outgoing	78	3	2	0.9969130807	0.9976727676	0.9953678649	0.001338258539	0.5688804035	0.5572066562	0.4054528885	0.8802488336	0.03096903097	0.4005994006	0.4532289899	1	0.1908091908	INSUFFICIENT_SUPPORT	false
x000094	outgoing	71	2	2	0.9959615765	0.9959615765	0.9959615765	0	0.4152860496	0.4152860496	0.3333272892	0.8304821151	0.000999000999	0.000999000999	0.4198907496	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000095	outgoing	70	1	1	0	0	1	0	0	0	0	0.1461897356	0.000999000999	0.000999000999	0.363034479	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000097	outgoing	70	1	1	0	0	1	0	0	0	0	0.3545878694	0.000999000999	0.000999000999	0.3482035877	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000100	outgoing	66	1	1	0	0	1	0	0	0	0	0.1601866252	0.000999000999	0.000999000999	0.4570637176	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000104	outgoing	68	1	1	0	0	1	0	0	0	0	0.1275272162	0.000999000999	0.000999000999	0.4080763548	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000105	outgoing	67	1	1	0	0	1	0	0	0	0	0.1290824261	0.000999000999	0.000999000999	0.4099940669	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000116	outgoing	49	1	1	0	0	1	0	0	0	0	0.1804043546	0.000999000999	0.000999000999	0.4242342113	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000118	outgoing	59	1	1	0	0	1	0	0	0	0	0.1819595645	0.000999000999	0.000999000999	0.4242342113	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000119	outgoing	51	2	2	0.9971354024	0.9971354024	0.9971354024	0	0.3305101558	0.3305101558	0.2646913566	0.634525661	0.000999000999	0.000999000999	0.3356285032	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000120	outgoing	44	1	1	0	0	1	0	0	0	0	0.1228615863	0.000999000999	0.000999000999	0.3781992522	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000122	outgoing	50	1	1	0	0	1	0	0	0	0	0.1430793157	0.000999000999	0.000999000999	0.3991589857	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000124	outgoing	42	1	1	0	0	1	0	0	0	0	0.1228615863	0.000999000999	0.000999000999	0.397023794	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000143	outgoing	44	1	1	0	0	1	0	0	0	0	0.3623639191	0.000999000999	0.000999000999	0.3277855481	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000147	outgoing	55	1	1	0	0	1	0	0	0	0	0.1757387247	0.000999000999	0.000999000999	0.465092884	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000150	outgoing	37	1	1	0	0	1	0	0	0	0	0.1757387247	0.000999000999	0.000999000999	0.4669686903	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000155	outgoing	32	1	1	0	0	1	0	0	0	0	0.1508553655	0.000999000999	0.000999000999	0.3638963052	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000159	outgoing	41	1	1	0	0	1	0	0	0	0	0.1275272162	0.000999000999	0.000999000999	0.4300885198	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000174	outgoing	33	1	1	0	0	1	0	0	0	0	0.1788491446	0.000999000999	0.000999000999	0.4707830512	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000187	outgoing	33	1	1	0	0	1	0	0	0	0	0.166407465	0.000999000999	0.000999000999	0.4551895026	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000205	outgoing	32	1	1	0	0	1	0	0	0	0	0.166407465	0.000999000999	0.000999000999	0.4571717586	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000276	outgoing	29	1	1	0	0	1	0	0	0	0	0.1461897356	0.000999000999	0.000999000999	0.36109548	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000281	outgoing	25	1	1	0	0	1	0	0	0	0	0.1399688958	0.000999000999	0.000999000999	0.3991589857	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000338	outgoing	25	1	1	0	0	1	0	0	0	0	0.1695178849	0.000999000999	0.000999000999	0.4292840723	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000000	incoming	363	25	4	0.9928093241	0.993085	0.9889380785	0.001486715473	0.5843339917	0.5849678216	0.4336354174	0.8336547434	0.9070929071	0.4695304695	0.3599382137	1	0.963036963	INSUFFICIENT_SUPPORT	false
x000001	incoming	409	26	4	0.9923108393	0.9925216934	0.9881744685	0.001447267607	0.6004389763	0.5947344231	0.4195444943	0.8477688719	0.2697302697	0.4055944056	0.3768483366	1	0.5614385614	INSUFFICIENT_SUPPORT	false
x000002	incoming	402	30	4	0.9927156029	0.9926412221	0.9877289063	0.001400414323	0.6003395052	0.6054444722	0.4261783535	0.8558838777	0.5234765235	0.966033966	0.3827059888	1	0.5774225774	INSUFFICIENT_SUPPORT	false
x000003	incoming	382	32	4	0.9926737961	0.9929597999	0.9877500753	0.001433002405	0.6093571896	0.6045308475	0.4513005206	0.824066874	0.4405594406	0.994005994	0.378147919	1	0.6333666334	INSUFFICIENT_SUPPORT	false
x000004	incoming	375	25	4	0.9926826114	0.9930880571	0.9866494974	0.001624610037	0.6101077899	0.6050788992	0.4270289326	0.8545567652	0.4515484515	0.3026973027	0.3801060547	1	0.8241758242	INSUFFICIENT_SUPPORT	false
x000005	incoming	394	32	4	0.9928810392	0.9930911142	0.9882891077	0.001359061002	0.6085185211	0.6091280133	0.431488081	0.8428265941	0.2257742258	0.5664335664	0.3748263454	1	0.974025974	INSUFFICIENT_SUPPORT	false
x000006	incoming	241	2	2	0.9942198507	0.9942198507	0.9942198507	0	0.4267487843	0.4267487843	0.3342420009	0.6749611198	0.000999000999	0.000999000999	0.3737083003	1	0.000999000999	INSUFFICIENT_SUPPORT	false
