corpus	operator_id	metric_id	classification	f2_before	before_available	f2_after	after_available	chosen_count	candidate_pool	degenerate
Doyle	NTH_GLYPH_OF_TOKEN_2	cs6/family-diversity-x-line-length	SUPPORTING	0	true	0	true	41104	178056	false
Doyle	NTH_GLYPH_OF_TOKEN_2	cs7/edit-distance-x-structural-distance	SUPPORTING	0.0152451	true	0	true	41104	178056	false
Doyle	NTH_GLYPH_OF_TOKEN_3	EF1_GIANT_COMPONENT_SHARE	CORE	0.273881	true	1	true	32876	178056	false
Doyle	NTH_GLYPH_OF_TOKEN_3	EF2_GLOBAL_CLUSTERING	CORE	0.366911	true	1	true	32876	178056	false
Doyle	NTH_GLYPH_OF_TOKEN_3	EF3_DEGREE_FREQUENCY_SPEARMAN	CORE	0.293276	true	0	true	32876	178056	false
Doyle	NTH_GLYPH_OF_TOKEN_3	2DL1_LAYOUT_POSITION_MI	CORE	0.00226203	true	0	true	32876	178056	false
Doyle	NTH_GLYPH_OF_TOKEN_3	BP1_BOUNDARY_TOKEN_NMI	CORE	0.0316263	true	0.000877688	true	32876	178056	false
Doyle	NTH_GLYPH_OF_TOKEN_3	LS2_POSITIONAL_LEXICON_NMI	CORE	0.052295	true	0.00128678	true	32876	178056	false
Doyle	NTH_GLYPH_OF_TOKEN_3	LS3_BOUNDARY_LENGTH_ASYMMETRY	CORE	0.329156	true	0	true	32876	178056	false
Doyle	NTH_GLYPH_OF_TOKEN_3	EF1_ISOLATE_SHARE	SUPPORTING	0.494776	true	0	true	32876	178056	false
Doyle	NTH_GLYPH_OF_TOKEN_3	LP1_RULE_SUPPORT_GINI	SUPPORTING	0.627118	true	0	true	32876	178056	false
Doyle	NTH_GLYPH_OF_TOKEN_3	LP4_PREFIX_ATTACHMENT_NMI	SUPPORTING	0.45962	true	0	true	32876	178056	false
Doyle	NTH_GLYPH_OF_TOKEN_3	LP4_SUFFIX_ATTACHMENT_NMI	SUPPORTING	0.405723	true	0	true	32876	178056	false
Doyle	NTH_GLYPH_OF_TOKEN_3	cs2/prev-family-current-family	SUPPORTING		false		false	32876	178056	false
Doyle	NTH_GLYPH_OF_TOKEN_3	LS1_LINE_LENGTH_CV	SUPPORTING	0.288925	true	0.291227	true	32876	178056	false
Doyle	NTH_GLYPH_OF_TOKEN_3	LS4_WITHIN_LINE_EXACT_REPETITION	SUPPORTING	0.000574383	true	0.0633964	true	32876	178056	false
Doyle	NTH_GLYPH_OF_TOKEN_3	cs1/family-line-position	SUPPORTING		false		false	32876	178056	false
Doyle	NTH_GLYPH_OF_TOKEN_3	cs6/family-diversity-x-line-length	SUPPORTING	0	true	0	true	32876	178056	false
Doyle	NTH_GLYPH_OF_TOKEN_3	cs7/edit-distance-x-structural-distance	SUPPORTING	0.0152451	true	0	true	32876	178056	false
Doyle	NTH_TOKEN_OF_LINE_2	EF1_GIANT_COMPONENT_SHARE	CORE	0.273881	true	0.261708	true	3591	43713	false
Doyle	NTH_TOKEN_OF_LINE_2	EF2_GLOBAL_CLUSTERING	CORE	0.366911	true	0.365299	true	3591	43713	false
Doyle	NTH_TOKEN_OF_LINE_2	EF3_DEGREE_FREQUENCY_SPEARMAN	CORE	0.293276	true	0.407389	true	3591	43713	false
Doyle	NTH_TOKEN_OF_LINE_2	2DL1_LAYOUT_POSITION_MI	CORE	0.00226203	true	0	true	3591	43713	false
