scale	null_kind	metric_id	observed_delta	null_mean_delta	null_sd_delta	effect_size	p_value	n_replicates
koeln-edd-c-119-12.xml	NULL_RANDOM_DELETION_MATCHED	EF2_GLOBAL_CLUSTERING	0.0930272	-0.0710991	0.0173529	9.45814	0.25	3
koeln-edd-c-119-12.xml	NULL_FREQUENCY_MATCHED_DELETION	EF2_GLOBAL_CLUSTERING	0.0930272	-0.0595216	0.0123857	12.3166	0.25	3
koeln-edd-c-119-12.xml	NULL_POSITION_MATCHED	EF2_GLOBAL_CLUSTERING	0.0930272	-0.0565334	0.0105641	14.1575	0.25	3
koeln-edd-c-119-12.xml	NULL_RANDOM_DELETION_MATCHED	EF3_DEGREE_FREQUENCY_SPEARMAN	0.145789	0.221231	0.032608	-2.31361	0.25	3
koeln-edd-c-119-12.xml	NULL_FREQUENCY_MATCHED_DELETION	EF3_DEGREE_FREQUENCY_SPEARMAN	0.145789	0.224511	0.0253027	-3.11121	0.25	3
koeln-edd-c-119-12.xml	NULL_POSITION_MATCHED	EF3_DEGREE_FREQUENCY_SPEARMAN	0.145789	0.20928	0.0478877	-1.32583	0.25	3
koeln-edd-c-119-12.xml	NULL_RANDOM_DELETION_MATCHED	2DL1_LAYOUT_POSITION_MI	0	0	0	0	1	3
koeln-edd-c-119-12.xml	NULL_FREQUENCY_MATCHED_DELETION	2DL1_LAYOUT_POSITION_MI	0	0	0	0	1	3
koeln-edd-c-119-12.xml	NULL_POSITION_MATCHED	2DL1_LAYOUT_POSITION_MI	0	0	0	0	1	3
koeln-edd-c-119-12.xml	NULL_RANDOM_DELETION_MATCHED	BP1_BOUNDARY_TOKEN_NMI	0	0	0	0	1	3
koeln-edd-c-119-12.xml	NULL_FREQUENCY_MATCHED_DELETION	BP1_BOUNDARY_TOKEN_NMI	0	0	0	0	1	3
koeln-edd-c-119-12.xml	NULL_POSITION_MATCHED	BP1_BOUNDARY_TOKEN_NMI	0	0	0	0	1	3
koeln-edd-c-119-12.xml	NULL_RANDOM_DELETION_MATCHED	LS2_POSITIONAL_LEXICON_NMI	0	0	0	0	1	3
koeln-edd-c-119-12.xml	NULL_FREQUENCY_MATCHED_DELETION	LS2_POSITIONAL_LEXICON_NMI	0	0	0	0	1	3
koeln-edd-c-119-12.xml	NULL_POSITION_MATCHED	LS2_POSITIONAL_LEXICON_NMI	0	0	0	0	1	3
koeln-edd-c-119-12.xml	NULL_RANDOM_DELETION_MATCHED	LS3_BOUNDARY_LENGTH_ASYMMETRY	0	0	0	0	1	3
koeln-edd-c-119-12.xml	NULL_FREQUENCY_MATCHED_DELETION	LS3_BOUNDARY_LENGTH_ASYMMETRY	0	0	0	0	1	3
koeln-edd-c-119-12.xml	NULL_POSITION_MATCHED	LS3_BOUNDARY_LENGTH_ASYMMETRY	0	0	0	0	1	3
koeln-edd-c-119-12.xml	NULL_RANDOM_DELETION_MATCHED	EF1_ISOLATE_SHARE	-0.0609172	-0.236156	0.0126965	13.8022	0.25	3
koeln-edd-c-119-12.xml	NULL_FREQUENCY_MATCHED_DELETION	EF1_ISOLATE_SHARE	-0.0609172	-0.226415	0.0138062	11.9872	0.25	3
koeln-edd-c-119-12.xml	NULL_POSITION_MATCHED	EF1_ISOLATE_SHARE	-0.0609172	-0.232172	0.0222144	7.7092	0.25	3
koeln-edd-c-119-12.xml	NULL_RANDOM_DELETION_MATCHED	LP1_RULE_SUPPORT_GINI	-0.0720081	0.143154	0.0114771	-18.7471	0.25	3
koeln-edd-c-119-12.xml	NULL_FREQUENCY_MATCHED_DELETION	LP1_RULE_SUPPORT_GINI	-0.0720081	0.144064	0.0107807	-20.0425	0.25	3
koeln-edd-c-119-12.xml	NULL_POSITION_MATCHED	LP1_RULE_SUPPORT_GINI	-0.0720081	0.145654	0.018443	-11.8019	0.25	3
koeln-edd-c-119-12.xml	NULL_RANDOM_DELETION_MATCHED	LP4_PREFIX_ATTACHMENT_NMI	0.0312	-0.0506794	0.00692626	11.8216	0.25	3
koeln-edd-c-119-12.xml	NULL_FREQUENCY_MATCHED_DELETION	LP4_PREFIX_ATTACHMENT_NMI	0.0312	-0.0419919	0.00188465	38.8359	0.25	3
koeln-edd-c-119-12.xml	NULL_POSITION_MATCHED	LP4_PREFIX_ATTACHMENT_NMI	0.0312	-0.0445275	0.00494665	15.3089	0.25	3
koeln-edd-c-119-12.xml	NULL_RANDOM_DELETION_MATCHED	LP4_SUFFIX_ATTACHMENT_NMI	0.0832913	-0.00500514	0.0058379	15.1247	0.25	3
koeln-edd-c-119-12.xml	NULL_FREQUENCY_MATCHED_DELETION	LP4_SUFFIX_ATTACHMENT_NMI	0.0832913	0.0139396	0.00541464	12.8082	0.25	3
koeln-edd-c-119-12.xml	NULL_POSITION_MATCHED	LP4_SUFFIX_ATTACHMENT_NMI	0.0832913	0.000390372	0.00297465	27.8691	0.25	3
koeln-edd-c-119-12.xml	NULL_RANDOM_DELETION_MATCHED	LS1_LINE_LENGTH_CV	0	0	0	0	1	3
koeln-edd-c-119-12.xml	NULL_FREQUENCY_MATCHED_DELETION	LS1_LINE_LENGTH_CV	0	0	0	0	1	3
koeln-edd-c-119-12.xml	NULL_POSITION_MATCHED	LS1_LINE_LENGTH_CV	0	0	0	0	1	3
koeln-edd-c-119-12.xml	NULL_RANDOM_DELETION_MATCHED	LS4_WITHIN_LINE_EXACT_REPETITION	0	0	0	0	1	3
koeln-edd-c-119-12.xml	NULL_FREQUENCY_MATCHED_DELETION	LS4_WITHIN_LINE_EXACT_REPETITION	0	0	0	0	1	3
koeln-edd-c-119-12.xml	NULL_POSITION_MATCHED	LS4_WITHIN_LINE_EXACT_REPETITION	0	0	0	0	1	3
koeln-edd-c-119-12.xml	NULL_RANDOM_DELETION_MATCHED	cs6/family-diversity-x-line-length	0	0	0	0	1	3
koeln-edd-c-119-12.xml	NULL_FREQUENCY_MATCHED_DELETION	cs6/family-diversity-x-line-length	0	0	0	0	1	3
koeln-edd-c-119-12.xml	NULL_POSITION_MATCHED	cs6/family-diversity-x-line-length	0	0	0	0	1	3
koeln-edd-c-119-12.xml	NULL_RANDOM_DELETION_MATCHED	cs7/edit-distance-x-structural-distance	0.018441	0.000128631	0.00796615	2.29877	0.25	3
koeln-edd-c-119-12.xml	NULL_FREQUENCY_MATCHED_DELETION	cs7/edit-distance-x-structural-distance	0.018441	0.000854359	0.00787679	2.23272	0.25	3
koeln-edd-c-119-12.xml	NULL_POSITION_MATCHED	cs7/edit-distance-x-structural-distance	0.018441	0.00214712	0.00994884	1.63777	0.25	3
koeln-edd-c-119-13.xml	NULL_RANDOM_DELETION_MATCHED	EF1_GIANT_COMPONENT_SHARE	0.0193505	0.280371	0.0152718	-17.0917	0.25	3
koeln-edd-c-119-13.xml	NULL_FREQUENCY_MATCHED_DELETION	EF1_GIANT_COMPONENT_SHARE	0.0193505	0.272749	0.0251279	-10.0843	0.25	3
koeln-edd-c-119-13.xml	NULL_POSITION_MATCHED	EF1_GIANT_COMPONENT_SHARE	0.0193505	0.274686	0.0116654	-21.8883	0.25	3
koeln-edd-c-119-13.xml	NULL_RANDOM_DELETION_MATCHED	EF2_GLOBAL_CLUSTERING	0.221295	0.0940732	0.0283518	4.48725	0.25	3
koeln-edd-c-119-13.xml	NULL_FREQUENCY_MATCHED_DELETION	EF2_GLOBAL_CLUSTERING	0.221295	0.0736041	0.0412268	3.5824	0.25	3
koeln-edd-c-119-13.xml	NULL_POSITION_MATCHED	EF2_GLOBAL_CLUSTERING	0.221295	0.129756	0.0599047	1.52808	0.25	3
koeln-edd-c-119-13.xml	NULL_RANDOM_DELETION_MATCHED	EF3_DEGREE_FREQUENCY_SPEARMAN	0.129015	0.233539	0.0353396	-2.95771	0.25	3
koeln-edd-c-119-13.xml	NULL_FREQUENCY_MATCHED_DELETION	EF3_DEGREE_FREQUENCY_SPEARMAN	0.129015	0.248278	0.0471162	-2.53125	0.25	3
koeln-edd-c-119-13.xml	NULL_POSITION_MATCHED	EF3_DEGREE_FREQUENCY_SPEARMAN	0.129015	0.252261	0.021522	-5.72654	0.25	3
koeln-edd-c-119-13.xml	NULL_RANDOM_DELETION_MATCHED	2DL1_LAYOUT_POSITION_MI	0	0	0	0	1	3
koeln-edd-c-119-13.xml	NULL_FREQUENCY_MATCHED_DELETION	2DL1_LAYOUT_POSITION_MI	0	0	0	0	1	3
koeln-edd-c-119-13.xml	NULL_POSITION_MATCHED	2DL1_LAYOUT_POSITION_MI	0	0	0	0	1	3
koeln-edd-c-119-13.xml	NULL_RANDOM_DELETION_MATCHED	BP1_BOUNDARY_TOKEN_NMI	0	0	0	0	1	3
koeln-edd-c-119-13.xml	NULL_FREQUENCY_MATCHED_DELETION	BP1_BOUNDARY_TOKEN_NMI	0	0	0	0	1	3
koeln-edd-c-119-13.xml	NULL_POSITION_MATCHED	BP1_BOUNDARY_TOKEN_NMI	0	0	0	0	1	3
koeln-edd-c-119-13.xml	NULL_RANDOM_DELETION_MATCHED	LS2_POSITIONAL_LEXICON_NMI	0	0	0	0	1	3
koeln-edd-c-119-13.xml	NULL_FREQUENCY_MATCHED_DELETION	LS2_POSITIONAL_LEXICON_NMI	0	0	0	0	1	3
koeln-edd-c-119-13.xml	NULL_POSITION_MATCHED	LS2_POSITIONAL_LEXICON_NMI	0	0	0	0	1	3
koeln-edd-c-119-13.xml	NULL_RANDOM_DELETION_MATCHED	LS3_BOUNDARY_LENGTH_ASYMMETRY	0	0	0	0	1	3
koeln-edd-c-119-13.xml	NULL_FREQUENCY_MATCHED_DELETION	LS3_BOUNDARY_LENGTH_ASYMMETRY	0	0	0	0	1	3
koeln-edd-c-119-13.xml	NULL_POSITION_MATCHED	LS3_BOUNDARY_LENGTH_ASYMMETRY	0	0	0	0	1	3
koeln-edd-c-119-13.xml	NULL_RANDOM_DELETION_MATCHED	EF1_ISOLATE_SHARE	-0.0484702	-0.206125	0.0145232	10.8553	0.25	3
koeln-edd-c-119-13.xml	NULL_FREQUENCY_MATCHED_DELETION	EF1_ISOLATE_SHARE	-0.0484702	-0.190239	0.00760875	18.6323	0.25	3
koeln-edd-c-119-13.xml	NULL_POSITION_MATCHED	EF1_ISOLATE_SHARE	-0.0484702	-0.199808	0.0173014	8.74711	0.25	3
koeln-edd-c-119-13.xml	NULL_RANDOM_DELETION_MATCHED	LP1_RULE_SUPPORT_GINI	-0.065258	0.0764203	0.0180625	-7.84379	0.25	3
koeln-edd-c-119-13.xml	NULL_FREQUENCY_MATCHED_DELETION	LP1_RULE_SUPPORT_GINI	-0.065258	0.0782199	0.032231	-4.45154	0.25	3
koeln-edd-c-119-13.xml	NULL_POSITION_MATCHED	LP1_RULE_SUPPORT_GINI	-0.065258	0.0660774	0.0202506	-6.48549	0.25	3
koeln-edd-c-119-13.xml	NULL_RANDOM_DELETION_MATCHED	LP4_PREFIX_ATTACHMENT_NMI	0.0269403	-0.0336291	0.00416111	14.5561	0.25	3
koeln-edd-c-119-13.xml	NULL_FREQUENCY_MATCHED_DELETION	LP4_PREFIX_ATTACHMENT_NMI	0.0269403	-0.0350925	0.00244615	25.3594	0.25	3
koeln-edd-c-119-13.xml	NULL_POSITION_MATCHED	LP4_PREFIX_ATTACHMENT_NMI	0.0269403	-0.0333093	0.00477445	12.6192	0.25	3
koeln-edd-c-119-13.xml	NULL_RANDOM_DELETION_MATCHED	LP4_SUFFIX_ATTACHMENT_NMI	0.0838729	0.0139603	0.00862545	8.10539	0.25	3
koeln-edd-c-119-13.xml	NULL_FREQUENCY_MATCHED_DELETION	LP4_SUFFIX_ATTACHMENT_NMI	0.0838729	0.0298292	0.0109585	4.93166	0.25	3
koeln-edd-c-119-13.xml	NULL_POSITION_MATCHED	LP4_SUFFIX_ATTACHMENT_NMI	0.0838729	0.0206254	0.00570863	11.0793	0.25	3
koeln-edd-c-119-13.xml	NULL_RANDOM_DELETION_MATCHED	LS1_LINE_LENGTH_CV	0	0	0	0	1	3
koeln-edd-c-119-13.xml	NULL_FREQUENCY_MATCHED_DELETION	LS1_LINE_LENGTH_CV	0	0	0	0	1	3
koeln-edd-c-119-13.xml	NULL_POSITION_MATCHED	LS1_LINE_LENGTH_CV	0	0	0	0	1	3
koeln-edd-c-119-13.xml	NULL_RANDOM_DELETION_MATCHED	LS4_WITHIN_LINE_EXACT_REPETITION	0	0	0	0	1	3
koeln-edd-c-119-13.xml	NULL_FREQUENCY_MATCHED_DELETION	LS4_WITHIN_LINE_EXACT_REPETITION	0	0	0	0	1	3
koeln-edd-c-119-13.xml	NULL_POSITION_MATCHED	LS4_WITHIN_LINE_EXACT_REPETITION	0	0	0	0	1	3
koeln-edd-c-119-13.xml	NULL_RANDOM_DELETION_MATCHED	cs6/family-diversity-x-line-length	0	0	0	0	1	3
koeln-edd-c-119-13.xml	NULL_FREQUENCY_MATCHED_DELETION	cs6/family-diversity-x-line-length	0	0	0	0	1	3
koeln-edd-c-119-13.xml	NULL_POSITION_MATCHED	cs6/family-diversity-x-line-length	0	0	0	0	1	3
koeln-edd-c-119-13.xml	NULL_RANDOM_DELETION_MATCHED	cs7/edit-distance-x-structural-distance	0.0525798	0.0301578	0.0338302	0.66278	0.75	3
koeln-edd-c-119-13.xml	NULL_FREQUENCY_MATCHED_DELETION	cs7/edit-distance-x-structural-distance	0.0525798	0.0334172	0.00841685	2.2767	0.25	3
koeln-edd-c-119-13.xml	NULL_POSITION_MATCHED	cs7/edit-distance-x-structural-distance	0.0525798	0.0362028	0.0119042	1.37574	0.25	3
