sequence	realizations	enrichment_min	enrichment_max	enrichment_median	enrichment_sd	cmi_min	cmi_max	cmi_median	cmi_sd	delta_log_loss_min	delta_log_loss_max	delta_log_loss_median	delta_log_loss_sd	single_block_sensitive
ol s aiin	1	0	0	0	0	5.4378409907394465	5.4378409907394465	5.4378409907394465	0	-1.2110619595469592	-1.2110619595469592	-1.2110619595469592	0	true
or or aiin	1	0	0	0	0	5.680984611235542	5.680984611235542	5.680984611235542	0	-1.7542528588015944	-1.7542528588015944	-1.7542528588015944	0	true
s aiin chey	3	2.944444444444444	6	5.175	1.2906683384762836	4.924733106407539	5.080272986698707	5.049681404765716	0.0672809833697109	0.4817432526664974	0.599840207003181	0.563938833266441	0.04943223501808379	false
