position	support_50	support_100	support_200	support_500	support_1000	support_count	support_fraction	mean_position	mean_jump_strength	max_jump_strength	position_uncertainty
4360	0	1	1	0	0	2	0.4	4360	0.0942202525253771	0.09622556248918268	20
32178	1	0	1	0	0	2	0.4	32177.5	0.09421351189613666	0.09999999999999999	2.5
29640	0	1	1	0	0	2	0.4	29640	0.09417190128359088	0.09622556248918268	0
4850	0	1	1	0	0	2	0.4	4850	0.09415109597731801	0.09622556248918268	10
34045	0	1	1	0	0	2	0.4	34045	0.09413703130028554	0.09622556248918268	5
3960	0	1	1	0	0	2	0.4	3960	0.094124943489839	0.09622556248918268	20
8450	0	1	1	0	0	2	0.4	8450	0.09408868005849934	0.10000000000000002	10
27655	0	1	1	0	0	2	0.4	27655	0.09408868005849934	0.09622556248918268	5
17870	0	1	1	0	0	2	0.4	17870	0.09403457041994046	0.09622556248918268	10
24935	0	1	1	0	0	2	0.4	24935	0.094007515600661	0.09622556248918268	5
29175	0	1	1	0	0	2	0.4	29175	0.09400545883340777	0.09622556248918268	15
5085	0	1	1	0	0	2	0.4	5085	0.09398046078138157	0.09622556248918268	5
38045	0	1	1	0	0	2	0.4	38045	0.09397058885010241	0.09622556248918268	25
38605	0	1	1	0	0	2	0.4	38605	0.093963848220862	0.0957262351386333	5
3573	1	0	1	0	0	2	0.4	3572.5	0.09395521062570297	0.09999999999999999	7.5
8850	0	1	1	0	0	2	0.4	8850	0.09391154324590396	0.10000000000000002	10
19150	0	1	1	0	0	2	0.4	19150	0.09384660167895491	0.09622556248918268	10
4445	0	1	1	0	0	2	0.4	4445	0.09383901638322464	0.09572623513863329	5
33710	0	1	0	1	0	2	0.4	33710	0.09382488107975145	0.10000000000000002	10
30050	0	1	1	0	0	2	0.4	30050	0.09369364048725265	0.09622556248918268	10
20135	0	1	1	0	0	2	0.4	20135	0.09368015922877178	0.09622556248918268	15
2185	0	1	1	0	0	2	0.4	2185	0.09362604959021291	0.09622556248918268	15
17200	0	1	1	0	0	2	0.4	17200	0.09362604959021291	0.09622556248918268	20
27555	0	1	1	0	0	2	0.4	27555	0.09360073065154535	0.09622556248918268	25
25220	0	1	1	0	0	2	0.4	25220	0.09360073065154534	0.09622556248918267	20
33430	0	1	1	0	0	2	0.4	33430	0.09347158001632852	0.09622556248918268	10
37170	0	1	1	0	0	2	0.4	37170	0.09345960714002977	0.09622556248918268	10
20700	0	1	1	0	0	2	0.4	20700	0.09343808084922735	0.09622556248918268	0
21975	0	1	1	0	0	2	0.4	21975	0.09339473435606968	0.09622556248918268	15
30565	0	1	1	0	0	2	0.4	30565	0.09339473435606968	0.09622556248918267	25
37890	0	1	1	0	0	2	0.4	37890	0.0933763859149382	0.09622556248918268	10
11815	0	1	1	0	0	2	0.4	11815	0.09337128886399196	0.09551701523880121	5
10250	0	1	0	1	0	2	0.4	10250	0.09334178613557473	0.10000000000000002	0
16160	0	1	1	0	0	2	0.4	16160	0.09334151593163287	0.09622556248918268	20
26405	0	1	1	0	0	2	0.4	26405	0.09334151593163287	0.09622556248918268	5
24450	0	1	1	0	0	2	0.4	24450	0.09329316468984665	0.09572623513863329	10
5820	0	1	1	0	0	2	0.4	5820	0.09327163839904422	0.09622556248918267	20
14965	0	1	1	0	0	2	0.4	14965	0.09326990251843233	0.09622556248918267	5
30945	0	1	1	0	0	2	0.4	30945	0.09316931508467707	0.09622556248918267	15
5275	0	1	1	0	0	2	0.4	5275	0.093145070680795	0.09622556248918268	5
15925	0	1	1	0	0	2	0.4	15925	0.09302023884315765	0.09622556248918268	5
27930	0	1	1	0	0	2	0.4	27930	0.09302023884315763	0.09622556248918267	10
4645	0	1	1	0	0	2	0.4	4645	0.09296793386819963	0.09622556248918268	5
22365	0	1	1	0	0	2	0.4	22365	0.09291562889324162	0.09551701523880121	15
21105	0	1	1	0	0	2	0.4	21105	0.09278195311147835	0.09622556248918268	5
21490	0	1	1	0	0	2	0.4	21490	0.09273568191076151	0.09622556248918268	10
20080	0	1	0	1	0	2	0.4	20080	0.09262329969442946	0.1	20
33055	0	1	1	0	0	2	0.4	33055	0.09260481629888298	0.09622556248918268	25
18900	0	1	1	0	0	2	0.4	18900	0.0925695268573413	0.10000000000000002	20
15875	0	1	1	0	0	2	0.4	15875	0.09247998446124564	0.09622556248918268	5
11280	0	1	1	0	0	2	0.4	11280	0.09245112497836536	0.09622556248918267	0
27125	0	1	0	1	0	2	0.4	27125	0.09234079851326386	0.10000000000000002	25
3215	0	1	1	0	0	2	0.4	3215	0.09232629314072802	0.09622556248918268	5
27300	0	1	1	0	0	2	0.4	27300	0.09232629314072802	0.09622556248918268	20
34320	0	1	1	0	0	2	0.4	34320	0.092326293140728	0.09622556248918268	20
12355	0	1	1	0	0	2	0.4	12355	0.09227398816576998	0.09622556248918268	5
36340	0	1	1	0	0	2	0.4	36340	0.09225397262701557	0.09572623513863329	20
42915	0	1	1	0	0	2	0.4	42915	0.09220146130309065	0.09622556248918268	5
19205	0	1	1	0	0	2	0.4	19205	0.09218541975947231	0.09622556248918268	5
33825	0	1	1	0	0	2	0.4	33825	0.09207662946545331	0.09622556248918268	15
7345	0	1	1	0	0	2	0.4	7345	0.09201421354663462	0.09622556248918268	35
26005	0	1	1	0	0	2	0.4	26005	0.09195179762781597	0.09572623513863329	15
40125	0	1	1	0	0	2	0.4	40125	0.09194316003265698	0.09622556248918268	5
35510	0	1	1	0	0	2	0.4	35510	0.09189949265285795	0.09622556248918268	10
39260	0	1	1	0	0	2	0.4	39260	0.09182696579017863	0.09572623513863329	0
19765	0	1	1	0	0	2	0.4	19765	0.09173883083480423	0.09622556248918268	5
1425	1	0	1	0	0	2	0.4	1425	0.09165560960971264	0.09245112497836531	5
14095	0	1	1	0	0	2	0.4	14095	0.09129677559576237	0.09622556248918268	25
30365	0	1	1	0	0	2	0.4	30365	0.0912055469504283	0.09195179762781595	5
10785	0	1	0	1	0	2	0.4	10785	0.09091725554479455	0.09622556248918268	15
17795	0	1	0	1	0	2	0.4	17795	0.09087532902524136	0.09622556248918268	5
22445	0	1	1	0	0	2	0.4	22445	0.09080959392970282	0.09572623513863329	5
