checkpoint_n	observed	null_mean	null_sd	effect	empirical_p
100	92	90.909999999999997	3.101918761025181	0.35139540522323659	0.44554455445544555
200	167	168.49000000000001	5.2754051977075642	-0.28244275921165091	0.62376237623762376
500	364	367.88999999999999	8.5579144655692865	-0.45454999762506004	0.69306930693069302
1000	641	644.27999999999997	12.38311753961821	-0.26487675575282477	0.65346534653465349
2000	1082	1101.0999999999999	18.441529220756067	-1.0357058664366472	0.85148514851485146
4000	1883	1852.52	25.093218207316493	1.2146708225377361	0.14851485148514851
8000	3213	3059.3600000000001	32.218479169569747	4.7686918799417564	0.0099009900990099011
16000	5079	4967.9899999999998	34.765354880973092	3.1931214388596807	0.0099009900990099011
32000	8027	7869.8800000000001	33.033098552815161	4.7564414748676294	0.0099009900990099011
43713	9599	9599	0	0	1
