dimension	group_a	group_b	common_edges	edge_sign_agreement	effect_correlation	profile_similarity
joint	G0/generic	G1/generic	1769	0.810062182	0.6109274235	0.8054637117
joint	G0/generic	G2/generic	1828	0.7926695842	0.5838367029	0.7919183514
joint	G0/generic	G3/generic	1884	0.7760084926	0.5852209204	0.7926104602
joint	G1/generic	G2/generic	1811	0.8089453341	0.6395635722	0.8197817861
joint	G1/generic	G3/generic	1913	0.7893361213	0.6361245763	0.8180622881
joint	G2/generic	G3/generic	1952	0.7761270492	0.5865829538	0.7932914769
