corpus	mapping	metric	observed	null_mean	null_median	null_ci_2_5	null_ci_97_5	standardized_effect	empirical_p	bh_fdr_q	status
ZL3b	OPTIMIZED	N3_POSITION_VALUE_RHO	-0.136200058	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	OPTIMIZED	N4_LAG1_RHO	0.202162242	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	OPTIMIZED	N4_LAG2_RHO	0.0782806479	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	OPTIMIZED	N4_LAG3_RHO	0.0666409279	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	OPTIMIZED	N4_LAG4_RHO	0.0610258322	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	OPTIMIZED	N4_LAG5_RHO	0.0607464332	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	OPTIMIZED	N5_AP_CLOSENESS	0.389601762	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	OPTIMIZED	N6_RATIO_REPEAT	0.821153846	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	OPTIMIZED	NUMERIC_REGULARITY_SCORE	0.323774191	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	BASELINE	COLLISION_FRACTION	0.0327178089	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	BASELINE	EDIT_SUBSTITUTION_CONSISTENCY	1	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	BASELINE	LEADING_ZERO_FRACTION	0.0519172486	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	BASELINE	N1_ADJACENT_LENGTH_DIFF_MEAN	1.70505223	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	BASELINE	N1_LENGTH_MEAN	5.04796416	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	BASELINE	N1_LOG_B_N_PLUS_1_MEAN	4.64121259	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	BASELINE	N1_POSITION_LENGTH_RHO	-0.117716844	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	BASELINE	N2_ABS_DELTA_MEAN	7.90879268e+15	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	BASELINE	N2_DELTA_ENTROPY	7.61742133	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	BASELINE	N2_NORMALIZED_DELTA_MEAN	0.822869338	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	BASELINE	N2_REPEATED_DELTA_FRACTION	0.969576639	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	BASELINE	N2_SIGNED_DELTA_MEAN	-1.29438803e+13	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	BASELINE	N3_DECREASING_FRACTION	0.0467862821	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	BASELINE	N3_INCREASING_FRACTION	0.0240744947	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	BASELINE	N3_LONGEST_MONOTONIC_RUN	7	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	BASELINE	N3_POSITION_VALUE_RHO	-0.137536247	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	BASELINE	N4_LAG1_RHO	0.193611148	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	BASELINE	N4_LAG2_RHO	0.0752245086	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	BASELINE	N4_LAG3_RHO	0.069575965	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
