corpus	control	replicate	seed	baseline_score	optimized_score	sequential	difference	document	edit_consistency
ZL3b	C3_GLYPH_BIGRAM_MARKOV	3	20560831	0.31002995	0.310963839	0.173286908	0.680651557	0.0789530526	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	4	20560832	0.31002119	0.311647846	0.175014483	0.680347686	0.0795813678	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	5	20560833	0.309425478	0.311863937	0.173900325	0.683561378	0.0781301067	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	6	20560834	0.311013047	0.311013047	0.175082907	0.678997613	0.0789586222	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	7	20560835	0.310258252	0.312522783	0.176237243	0.682583701	0.0787474048	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	8	20560836	0.309183679	0.312812577	0.174408312	0.684650217	0.0793792032	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	9	20560837	0.308614747	0.311408745	0.172301873	0.68239304	0.0795313213	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	10	20560838	0.309744279	0.313013192	0.176665817	0.683564837	0.0788089218	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	11	20560839	0.308630325	0.312901078	0.176448621	0.68284305	0.0794115625	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	12	20560840	0.30953802	0.310976224	0.173211125	0.681879051	0.0778384973	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	13	20560841	0.309559543	0.311524735	0.173181637	0.682606615	0.0787859541	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	14	20560842	0.310022644	0.312379145	0.173504455	0.684333429	0.0792995512	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	15	20560843	0.3099358	0.312504686	0.175062143	0.684242749	0.0782091646	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	16	20560844	0.308880001	0.310552272	0.172159557	0.680147148	0.0793501111	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	17	20560845	0.310323055	0.311002435	0.173678862	0.680858804	0.0784696397	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	18	20560846	0.31025975	0.312470294	0.175134422	0.683103431	0.0791730294	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	19	20560847	0.309926636	0.312649504	0.175645518	0.683300893	0.0790021011	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	20	20560848	0.309658793	0.31176768	0.174486146	0.681976211	0.0788406846	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	21	20560849	0.3092886	0.311434354	0.174690239	0.679786958	0.079825865	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	22	20560850	0.308737788	0.311785747	0.174238483	0.682239172	0.0788795849	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	23	20560851	0.309586093	0.311966432	0.175736939	0.681800839	0.0783615195	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	24	20560852	0.308869607	0.312736402	0.175089603	0.683000882	0.0801187213	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	25	20560853	0.308331797	0.310876006	0.175720471	0.678040923	0.0788666225	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	26	20560854	0.310024964	0.311981722	0.173120177	0.684024702	0.0788002855	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	27	20560855	0.309678107	0.312367176	0.17613693	0.681364773	0.079599825	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	28	20560856	0.309083215	0.311315506	0.176157738	0.67805014	0.0797386413	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	29	20560857	0.309627776	0.309627776	0.171358125	0.679444997	0.0780802058	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	30	20560858	0.309446707	0.312992412	0.175273729	0.684888983	0.0788145247	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	31	20560859	0.309454414	0.312419628	0.174338834	0.684464542	0.0784555068	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	32	20560860	0.307986768	0.31394957	0.178330067	0.68400012	0.0795185216	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	33	20560861	0.307858638	0.31060887	0.171895431	0.682042595	0.077888584	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	34	20560862	0.309885352	0.312542698	0.175399757	0.682076051	0.0801522869	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	35	20560863	0.309746057	0.311583159	0.173837797	0.682089812	0.0788218679	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	36	20560864	0.309814792	0.310935149	0.171998967	0.681704238	0.0791022426	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	37	20560865	0.310593271	0.311716988	0.17501437	0.681382619	0.0787539738	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	38	20560866	0.309395581	0.312174519	0.174888906	0.682794739	0.078839911	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	39	20560867	0.309399236	0.312251454	0.174173469	0.683807934	0.0787729586	1
ZL3b	C3_GLYPH_BIGRAM_MARKOV	40	20560868	0.310104386	0.311829346	0.173475234	0.682942189	0.0790706163	1
IT2a	OBSERVED	0	20260829	0.322395868	0.322395868	0.193611148	0.68173933	0.0918371266	1
LATIN_NATURAL	NATURAL_TEXT	0	20260829	0.278353762	0.28793481	0.147100375	0.685860394	0.0308436617	1
