page_id	physical_leaf	page_order	visual_code	visual_class	currier	scribe	quire	token_count	line_count	unique_tokens	mean_token_length	type_token_ratio	token_entropy	exact_adjacent_repetition	near_edit_adjacent_repetition	mean_line_transition_entropy	mean_line_tokens	line_length_cv	boundary_length_asymmetry	mean_line_token_entropy
f56r	f56r	108	H	Herbal	A	1	G	107	19	83	3.58878505	0.775700935	6.23890215	0.0113636364	0.0909090909	2.36014397	5.63157895	0.402363916	0.578947368	2.55719626
f56v	f56v	109	H	Herbal	A	1	G	91	16	67	3.64835165	0.736263736	5.75720384	0.04	0.0933333333	2.28687958	5.6875	0.237796375	1.125	2.43686593
f57r	f57r	110	H	Herbal	B	5	H	87	11	77	4.44827586	0.885057471	6.1957047	0	0.0526315789	2.91038172	7.90909091	0.341400595	0.727272727	3.02685725
f57v	f57v	111	C	Cosmological	NA	1	H	203	13	87	2.33497537	0.428571429	5.74494749	0.00526315789	0.436842105	4.90593485	15.6153846	1.56111268	0.230769231	4.35580893
f58r	f58r	112	S	Stars	A	3	H	380	41	290	4.36315789	0.763157895	7.93432123	0.00589970501	0.0501474926	3.07008712	9.26829268	0.178962848	0.585365854	3.20327877
f58v	f58v	113	S	Stars	A	3	H	383	39	240	4.09138381	0.626631854	7.52692407	0.00581395349	0.0319767442	3.19238278	9.82051282	0.225128746	0.333333333	3.28926949
f65r	f65r	114	H	Herbal	NA	3	H	3	1	3	4	1	1.5849625	0	0	1	3	0	1	1.5849625
f65v	f65v	115	H	Herbal	NA	3	H	45	6	44	3.88888889	0.977777778	5.44740865	0	0	2.71620922	7.5	0.13984118	0.666666667	2.91871264
f66r	f66r	116	T	Text	B	5	H	349	82	251	4.12034384	0.719197708	7.70990731	0.0112359551	0.0411985019	3.06316201	4.25609756	0.980160605	0.207317073	2.71675221
f66v	f66v	117	H	Herbal	B	5	H	114	13	94	4.35087719	0.824561404	6.42043782	0.0099009901	0.0297029703	2.98428905	8.76923077	0.168845408	0.615384615	3.09371617
f67r1	f67r	118	A	Astronomical	NA	4	I	167	19	129	4.05389222	0.77245509	6.7983833	0.00675675676	0.0540540541	4.4964471	8.78947368	1.46810017	0.526315789	4.12342314
f67r2	f67r	119	A	Astronomical	NA	4	I	191	74	159	3.91623037	0.832460733	7.16523482	0.00854700855	0.0769230769	1.63740847	2.58108108	0.84835833	0.445945946	1.69521748
f67v2	f67v	120	C	Cosmological	NA	4	I	64	22	59	4.25	0.921875	5.83195488	0	0.0476190476	1.39355536	2.90909091	0.518715934	0.0454545455	1.71703618
f67v1	f67v	121	A	Astronomical	NA	4	I	73	29	73	4.73972603	1	6.18982456	0	0.0227272727	1.21100483	2.51724138	0.493680407	0.586206897	1.50875295
f68r1	f68r	122	A	Astronomical	NA	4	I	69	37	68	4.72463768	0.985507246	6.07953895	0	0.03125	2.62550039	1.86486486	1.21336848	0.027027027	1.54446993
f68r2	f68r	123	A	Astronomical	NA	4	I	89	31	84	4.59550562	0.943820225	6.354892	0	0.0862068966	2.89253788	2.87096774	1.21907437	0.193548387	2.24722977
f68r3	f68r	124	A	Astronomical	NA	4	I	110	22	103	4.47272727	0.936363636	6.65408699	0	0.0454545455	3.5612394	5	1.64461604	0.318181818	3.26196038
f68v3	f68v	125	C	Cosmological	NA	4	I	171	19	138	4.14619883	0.807017544	6.96031549	0.00657894737	0.0197368421	3.89873095	9	1.30052221	0.421052632	3.73298747
f68v2	f68v	126	A	Astronomical	NA	4	I	104	18	95	4.45192308	0.913461538	6.5273628	0	0.011627907	3.37936304	5.77777778	1.36997349	1	3.29227974
f68v1	f68v	127	A	Astronomical	NA	4	I	98	10	81	3.94897959	0.826530612	6.2078292	0.0113636364	0.0113636364	4.6767265	9.8	1.59885655	0.4	4.2986987
f69r	f69r	128	C	Cosmological	NA	4	J	160	49	126	3.86875	0.7875	6.77333786	0	0.0720720721	1.78663992	3.26530612	0.706633607	0.163265306	1.97356793
f69v	f69v	129	C	Cosmological	NA	4	J	146	31	111	3.85616438	0.760273973	6.57146377	0.0173913043	0.0608695652	4.94487794	4.70967742	2.34665304	0.322580645	3.87570638
f70r1	f70r	130	C	Cosmological	NA	4	J	112	19	96	4.44642857	0.857142857	6.47244622	0	0.0322580645	4.32303335	5.89473684	1.80146083	0.894736842	3.85721801
f70r2	f70r	131	C	Cosmological	NA	4	J	247	19	177	3.89878543	0.71659919	7.19117799	0.0131578947	0.0263157895	4.0633325	13	0.860790273	0.631578947	3.9861127
f70v2	f70v	132	Z	Zodiac	NA	4	J	135	33	114	4.41481481	0.844444444	6.71566828	0	0.0490196078	4.82385349	4.09090909	2.39378052	0.151515152	3.80219425
f70v1	f70v	133	Z	Zodiac	NA	4	J	87	17	79	4.63218391	0.908045977	6.25035858	0	0.0142857143	4.36495124	5.11764706	1.97211452	0.235294118	3.78126575
f71r	f71r	134	Z	Zodiac	NA	4	K	90	18	76	4.76666667	0.844444444	6.14719143	0	0.0694444444	4.60164166	5	2.02339261	0.666666667	3.72474618
f71v	f71v	135	Z	Zodiac	NA	4	K	100	18	84	4.15	0.84	6.25630731	0	0.0609756098	4.44168329	5.55555556	1.89009804	0.222222222	3.80765128
f72r1	f72r	136	Z	Zodiac	NA	4	K	106	18	87	4.24528302	0.820754717	6.30570453	0.0113636364	0.0909090909	4.49668539	5.88888889	1.91667786	0.444444444	3.85445237
f72r2	f72r	137	Z	Zodiac	NA	4	K	115	32	95	4.16521739	0.826086957	6.4540157	0	0.0602409639	4.74327609	3.59375	2.39041116	0.34375	3.47205832
f72r3	f72r	138	Z	Zodiac	NA	4	K	169	34	143	4.32544379	0.846153846	7.04212683	0.00740740741	0.037037037	4.6824107	4.97058824	2.23506871	0.176470588	3.93457357
f72v3	f72v	139	Z	Zodiac	NA	4	K	120	33	104	4.75	0.866666667	6.62764247	0.0114942529	0.0229885057	4.64955123	3.63636364	2.40999708	0.0303030303	3.52232652
f72v2	f72v	140	Z	Zodiac	NA	4	K	110	33	100	4.64545455	0.909090909	6.59267892	0.012987013	0.038961039	4.75138904	3.33333333	2.43913407	0.0606060606	3.45232886
f72v1	f72v	141	Z	Zodiac	NA	4	K	108	33	101	4.48148148	0.935185185	6.61826817	0	0.0133333333	4.60156772	3.27272727	2.44834758	0.0303030303	3.35776458
f73r	f73r	142	Z	Zodiac	NA	4	L	96	33	85	4.67708333	0.885416667	6.3349625	0	0.0317460317	4.63514097	2.90909091	2.41599589	0.0606060606	3.10382019
