page_id	physical_leaf	page_order	visual_code	visual_class	currier	scribe	quire	token_count	line_count	unique_tokens	mean_token_length	type_token_ratio	token_entropy	exact_adjacent_repetition	near_edit_adjacent_repetition	mean_line_transition_entropy	mean_line_tokens	line_length_cv	boundary_length_asymmetry	mean_line_token_entropy
f101v	f101v	198	P	Pharmaceutical	A	1	S	222	28	164	3.77027027	0.738738739	7.09532751	0.0103092784	0.0412371134	4.32933865	7.92857143	1.25232066	0.0357142857	3.88578325
f102r1	f102r	199	P	Pharmaceutical	A	1	S	107	17	93	4.72897196	0.869158879	6.43534654	0.0111111111	0.0111111111	2.84427253	6.29411765	0.546818828	0.529411765	2.89408105
f102r2	f102r	200	P	Pharmaceutical	A	1	S	151	22	119	3.90066225	0.78807947	6.74158653	0.00775193798	0.0465116279	3.02993456	6.86363636	0.595300725	0.0909090909	3.00237645
f102v2	f102v	201	P	Pharmaceutical	A	1	S	190	39	146	3.74736842	0.768421053	6.98995661	0.0198675497	0.0794701987	3.21426971	4.87179487	0.993577568	0.512820513	2.85643623
f102v1	f102v	202	P	Pharmaceutical	A	1	S	130	24	106	4.33846154	0.815384615	6.5759132	0.00943396226	0.0188679245	2.93281336	5.41666667	0.742297728	0.125	2.84837783
f103r	f103r	203	S	Stars	B	3	T	533	54	289	4.17260788	0.542213884	7.58927164	0.00835073069	0.0313152401	3.23856877	9.87037037	0.30108873	0.407407407	3.29094415
f103v	f103v	204	S	Stars	B	3	T	456	46	239	3.92982456	0.524122807	7.39478545	0.0170731707	0.0268292683	3.20214843	9.91304348	0.220832837	0.456521739	3.28485823
f104r	f104r	205	S	Stars	B	3	T	449	45	314	4.36302895	0.699331849	7.98055848	0.00742574257	0.0346534653	3.23490078	9.97777778	0.25949828	0.0222222222	3.28761825
f104v	f104v	206	S	Stars	B	3	T	480	44	311	4.18541667	0.647916667	7.93972161	0.0160550459	0.0527522936	3.35531551	10.9090909	0.246775065	0.659090909	3.41482894
f105r	f105r	207	S	Stars	B	3	T	382	37	275	4.29057592	0.719895288	7.83485812	0.00289855072	0.0347826087	3.29714409	10.3243243	0.27017798	0.324324324	3.38976157
f105v	f105v	208	S	Stars	B	3	T	400	38	285	4.18	0.7125	7.79368394	0.00552486188	0.0414364641	3.29911798	10.5263158	0.223872551	0.105263158	3.38902766
f106r	f106r	209	S	Stars	B	3	T	433	47	307	4.43418014	0.709006928	7.95544509	0.00518134715	0.0336787565	3.11898083	9.21276596	0.275285432	0.170212766	3.2179139
f106v	f106v	210	S	Stars	B	3	T	445	47	314	4.29662921	0.705617978	7.99757208	0.00251256281	0.0427135678	3.17170802	9.46808511	0.291211196	0.14893617	3.25402217
f107r	f107r	211	S	Stars	B	3	T	488	51	318	4.12704918	0.651639344	7.94555838	0.00915331808	0.0503432494	3.1953711	9.56862745	0.302355707	0.333333333	3.25410013
f107v	f107v	212	S	Stars	B	3	T	462	49	260	4.15584416	0.562770563	7.56418526	0.00968523002	0.0411622276	3.13643484	9.42857143	0.248734169	0.326530612	3.21146469
f108r	f108r	213	S	Stars	B	3	T	498	50	282	4.44578313	0.56626506	7.55025959	0.015625	0.0691964286	3.22626172	9.96	0.250047353	0.66	3.27302038
f108v	f108v	214	S	Stars	B	3	T	581	53	299	4.24268503	0.514629948	7.54284889	0.0208333333	0.0700757576	3.3472821	10.9622642	0.184157189	0	3.35874693
f111r	f111r	215	S	Stars	B	3	T	626	54	356	4.15974441	0.568690096	7.87397109	0.0104895105	0.0454545455	3.44421798	11.5925926	0.208298795	0.111111111	3.49685382
f111v	f111v	216	S	Stars	B	3	T	568	51	305	3.83802817	0.536971831	7.65831406	0.00386847195	0.0367504836	3.37746384	11.1372549	0.197551216	0.294117647	3.3949696
f112r	f112r	217	S	Stars	B	3	T	404	45	258	4.06188119	0.638613861	7.64500754	0.00835654596	0.0529247911	3.05506718	8.97777778	0.238055835	0.0444444444	3.16221178
f112v	f112v	218	S	Stars	B	3	T	420	47	261	4.1547619	0.621428571	7.6712936	0.00268096515	0.0294906166	3.03599917	8.93617021	0.21814785	0.29787234	3.14887213
f113r	f113r	219	S	Stars	B	3	T	531	51	371	4.22787194	0.698681733	8.22203507	0.00416666667	0.0291666667	3.3094155	10.4117647	0.273130976	0.0784313725	3.40230786
f113v	f113v	220	S	Stars	B	3	T	507	49	320	4.07100592	0.631163708	7.8532558	0.00873362445	0.0327510917	3.29378341	10.3469388	0.276579604	0.673469388	3.35218875
f114r	f114r	221	S	Stars	B	3	T	463	45	319	4.33909287	0.688984881	8.00873515	0.0023923445	0.0358851675	3.3147888	10.2888889	0.295687366	0.511111111	3.39622713
f114v	f114v	222	S	Stars	B	3	T	378	41	266	4.37566138	0.703703704	7.77855677	0.00296735905	0.0385756677	3.0892688	9.2195122	0.22558786	0.292682927	3.22278675
f115r	f115r	223	S	Stars	B	3_dominant_mixed_2_3	T	464	45	312	4.27801724	0.672413793	7.92723102	0.00715990453	0.0405727924	3.26995331	10.3111111	0.232852482	0.511111111	3.33393915
f115v	f115v	224	S	Stars	B	3	T	411	45	318	4.36009732	0.773722628	8.14281631	0.00546448087	0.0327868852	3.08050458	9.13333333	0.239878492	0.133333333	3.21401273
f116r	f116r	225	S	Stars	B	3	T	560	50	276	3.55178571	0.492857143	7.50605589	0.00588235294	0.0549019608	3.38119576	11.2	0.1934407	0.24	3.45311767
f116v	f116v	226	T	Text	NA	3	T	2	1	2	3.5	1	1	0	0	0	2	0	1	1
