family	metric	visual_code	visual_class	pages	mean	sd	median	min	max
line_block	mean_line_tokens	P	Pharmaceutical	16	6.63347876	4.58061835	5.33796296	3.73076923	23.2
line_block	mean_line_tokens	S	Stars	25	10.0306155	0.747142403	9.96	8.93617021	11.5925926
line_block	mean_line_tokens	T	Text	6	8.89427023	2.50068463	9.98571429	4.25609756	11.0666667
line_block	mean_line_tokens	Z	Zodiac	12	4.1974045	1.05227874	3.86363636	2.90909091	5.88888889
line_block	line_length_cv	A	Astronomical	8	1.23200348	0.391412579	1.29452393	0.493680407	1.64461604
line_block	line_length_cv	B	Biological	19	0.405295364	0.197258393	0.421474242	0.126367107	0.891328947
line_block	line_length_cv	C	Cosmological	11	1.21822478	0.719405187	0.988611827	0.286605752	2.36977668
line_block	line_length_cv	H	Herbal	128	0.299480111	0.0995535157	0.288683697	0.10915292	0.828588841
line_block	line_length_cv	P	Pharmaceutical	16	0.83353651	0.265768299	0.869428006	0.14903796	1.25232066
line_block	line_length_cv	S	Stars	25	0.24309357	0.0363470695	0.239878492	0.178962848	0.302355707
line_block	line_length_cv	T	Text	6	0.404168589	0.303125515	0.327986701	0.170580688	0.980160605
line_block	line_length_cv	Z	Zodiac	12	2.23890523	0.222241472	2.36112796	1.89009804	2.44834758
line_block	boundary_length_asymmetry	A	Astronomical	8	0.437153233	0.290350069	0.422972973	0.027027027	1
line_block	boundary_length_asymmetry	B	Biological	19	0.426310085	0.251996328	0.419354839	0.0208333333	0.955555556
line_block	boundary_length_asymmetry	C	Cosmological	11	0.453951448	0.390634348	0.416666667	0.00625	1.33333333
line_block	boundary_length_asymmetry	H	Herbal	128	0.591493652	0.465031983	0.5	0	2.42857143
line_block	boundary_length_asymmetry	P	Pharmaceutical	16	0.190230976	0.216594113	0.105555556	0	0.75
line_block	boundary_length_asymmetry	S	Stars	25	0.308809065	0.207415346	0.29787234	0	0.673469388
line_block	boundary_length_asymmetry	T	Text	6	0.445765707	0.162039514	0.503571429	0.207317073	0.607142857
line_block	boundary_length_asymmetry	Z	Zodiac	12	0.219525215	0.189464898	0.1942959	0.0303030303	0.666666667
sequence	mean_line_token_entropy	A	Astronomical	8	2.74650401	1.14643378	2.75459507	1.50875295	4.2986987
sequence	mean_line_token_entropy	B	Biological	19	2.9750104	0.164541647	2.97622625	2.69243907	3.22567529
sequence	mean_line_token_entropy	C	Cosmological	11	3.39395339	0.908409584	3.73298747	1.71703618	4.52106412
sequence	mean_line_token_entropy	H	Herbal	128	2.87942271	0.311796457	2.92460785	1.99820725	3.51176301
sequence	mean_line_token_entropy	P	Pharmaceutical	16	3.02502481	0.48605245	2.85240703	2.55082986	4.29586969
sequence	mean_line_token_entropy	S	Stars	25	3.30785371	0.0936608759	3.28926949	3.14887213	3.49685382
sequence	mean_line_token_entropy	T	Text	6	3.20021088	0.269108211	3.28767384	2.71675221	3.42918997
sequence	mean_line_token_entropy	Z	Zodiac	12	3.58349424	0.273702801	3.62353635	3.10382019	3.93457357
