position	support_50	support_100	support_200	support_500	support_1000	support_count	support_fraction	mean_position	mean_jump_strength	max_jump_strength	position_uncertainty
2968	0	1	1	1	1	4	0.8	2967.5	0.08979596643747959	0.10000000000000002	47.5
21018	0	1	1	1	1	4	0.8	21017.5	0.08806877182839702	0.10000000000000002	32.5
4273	0	1	1	1	1	4	0.8	4272.5	0.08750345022501411	0.09622556248918268	27.5
17088	0	1	1	1	1	4	0.8	17087.5	0.08522249209830245	0.09622556248918268	37.5
17443	1	1	1	0	0	3	0.6	17443.333333333332	0.09686278124459136	0.10000000000000002	33.33333333333212
27203	1	1	1	0	0	3	0.6	27203.333333333332	0.09655307350520947	0.10000000000000002	26.66666666666788
28120	1	1	1	0	0	3	0.6	28120	0.0963628933528331	0.09999999999999999	0
23393	0	1	1	1	0	3	0.6	23393.333333333332	0.09477205542074035	0.10000000000000002	33.33333333333212
20575	1	1	1	0	0	3	0.6	20575	0.093958816925958	0.10000000000000002	35
23833	0	1	1	1	0	3	0.6	23833.333333333332	0.0936465891713089	0.10000000000000002	23.33333333333212
10210	0	1	1	1	0	3	0.6	10210	0.09356650087935474	0.10000000000000002	10
17147	1	1	0	1	0	3	0.6	17146.666666666668	0.09352452920567748	0.09999999999999999	6.666666666667879
14990	0	1	1	1	0	3	0.6	14990	0.0932621670162047	0.10000000000000003	40
17313	0	1	1	1	0	3	0.6	17313.333333333332	0.09317508209913165	0.10000000000000002	13.33333333333212
29343	0	1	1	1	0	3	0.6	29343.333333333332	0.09306313490661638	0.10000000000000002	6.666666666667879
25017	0	1	1	1	0	3	0.6	25016.666666666668	0.09288242147277104	0.10000000000000002	36.66666666666788
5240	0	1	1	1	0	3	0.6	5240	0.09265569849866698	0.10000000000000002	10
35277	0	1	1	1	0	3	0.6	35276.666666666664	0.09223085191714511	0.10000000000000002	26.66666666666424
14377	0	1	1	1	0	3	0.6	14376.666666666666	0.09207855689096336	0.10000000000000002	36.66666666666606
2273	0	1	1	1	0	3	0.6	2273.3333333333335	0.09199615716747431	0.10000000000000002	46.666666666666515
20067	0	1	1	1	0	3	0.6	20066.666666666668	0.09181622500221737	0.09622556248918268	33.33333333333212
23257	0	1	1	1	0	3	0.6	23256.666666666668	0.09171496081232322	0.10000000000000002	23.33333333333212
26080	0	1	1	1	0	3	0.6	26080	0.09159619582794791	0.10000000000000002	40
12967	0	1	1	1	0	3	0.6	12966.666666666666	0.09147395849100864	0.10000000000000002	16.66666666666606
31070	0	1	1	1	0	3	0.6	31070	0.09144171138632079	0.09622556248918268	30
11993	0	1	1	0	1	3	0.6	11993.333333333334	0.09132139947083935	0.10000000000000002	13.33333333333394
20260	0	1	1	1	0	3	0.6	20260	0.09121850262619842	0.09622556248918268	10
17670	0	1	1	1	0	3	0.6	17670	0.09113518471856953	0.09622556248918267	20
29927	0	1	1	1	0	3	0.6	29926.666666666668	0.09102211742013797	0.09622556248918268	33.33333333333212
25917	0	1	1	1	0	3	0.6	25916.666666666668	0.09096166914063455	0.10000000000000002	36.66666666666788
21947	0	1	1	1	0	3	0.6	21946.666666666668	0.09077673542132035	0.10000000000000002	16.66666666666788
28273	0	1	1	1	0	3	0.6	28273.333333333332	0.09071740490580343	0.10000000000000002	26.66666666666788
30013	0	1	1	0	1	3	0.6	30013.333333333332	0.0904784543775169	0.10000000000000002	26.66666666666788
12183	1	1	0	1	0	3	0.6	12183.333333333334	0.09044730106138524	0.10000000000000002	16.66666666666606
10797	0	1	1	1	0	3	0.6	10796.666666666666	0.09032081550130475	0.09622556248918268	26.66666666666606
6493	0	1	1	0	1	3	0.6	6493.333333333333	0.09031076427930504	0.10000000000000002	13.33333333333303
41273	0	1	1	1	0	3	0.6	41273.333333333336	0.09029020779973405	0.1	36.66666666666424
10677	0	1	1	1	0	3	0.6	10676.666666666666	0.09028608850632755	0.09622556248918268	26.66666666666606
25797	0	1	1	1	0	3	0.6	25796.666666666668	0.09022125349734814	0.09622556248918268	16.66666666666788
8670	0	1	1	1	0	3	0.6	8670	0.09021161832544869	0.09622556248918268	30
313	0	1	1	1	0	3	0.6	313.3333333333333	0.08999432972560353	0.09622556248918268	26.666666666666686
4083	0	1	1	1	0	3	0.6	4083.3333333333335	0.0899276659689301	0.09622556248918268	23.333333333333485
26938	1	1	0	1	0	3	0.6	26938.333333333332	0.08989215520730456	0.10000000000000002	11.66666666666788
6083	0	1	1	0	1	3	0.6	6083.333333333333	0.08973186822883628	0.10000000000000002	33.33333333333303
9780	0	1	1	0	1	3	0.6	9780	0.08922500877715181	0.10000000000000002	40
5723	0	1	1	1	0	3	0.6	5723.333333333333	0.08921488411966583	0.10000000000000002	26.66666666666697
