record_type	token	count	token_a	token_b	distance	property	raw_value	normalized_value	mean_a	mean_b	delta	raw_mean_a	raw_mean_b	trajectory_correlation	mean_absolute_difference
token_property	x000104	238				effective_predecessor_count	151.1615175803521	2.5713127076979454							
token_property	x000104	238				effective_successor_count	202.59122060399181	3.089912439106189							
token_property	x000104	238				frequency_rank	10	-1.6821906697564437							
token_property	x000104	238				global_count	238	2.826883314285641							
token_property	x000104	238				global_frequency_probability	0.0054446045798732644	3.8537105141267487							
token_property	x000104	238				grapheme_length	7	0							
token_property	x000104	238				line_end_probability	0.08823529411764706	0.10557412642042531							
token_property	x000104	238				line_start_probability	0.046218487394957986	-0.4216658143729413							
token_property	x000104	238				log_global_count	5.476463551931511	2.826883314285641							
token_property	x000104	238				max_predecessor_probability	0.02643171806167401	-1.06537204284266							
token_property	x000104	238				max_structural_similarity	0.5199687267026517	1.232370045939445							
token_property	x000104	238				max_successor_probability	0.013824884792626729	-1.5155621084595514							
token_property	x000104	238				mean_position	6.588235294117647	0.5490933403890732							
token_property	x000104	238				mean_structural_similarity_to_all	0.29267534435326004	1.395313002142811							
token_property	x000104	238				median_position	6	0.09902360330956614							
token_property	x000104	238				normalized_frequency_rank	0.015151515151515152	-1.6821906697564424							
token_property	x000104	238				normalized_mean_position	0.5491267746643428	0.6455669560103269							
token_property	x000104	238				positional_entropy	3.7223586725855555	1.5258699982400776							
token_property	x000104	238				positional_specialization	0.04723242653131454	-0.38952620441599894							
token_property	x000104	238				predecessor_entropy	7.2399470974403695	2.532542398793192							
token_property	x000104	238				structural_degree_above_0_5	4	1.881160345950798							
token_property	x000104	238				structural_degree_above_0_6	0	-0.1343614913315813							
token_property	x000104	238				structural_degree_above_0_7	0	0							
token_property	x000104	238				successor_entropy	7.66242784532778	3.0370767756398065							
token_property	x000104	238				top3_predecessor_mass	0.06607929515418502	-1.2736810434803614							
token_property	x000104	238				top3_successor_mass	0.03686635944700461	-1.7982418327552028							
token_property	x000104	238				top5_predecessor_mass	0.09691629955947137	-1.3851241145372708							
token_property	x000104	238				top5_successor_mass	0.055299539170506916	-1.8642268807281712							
token_property	x000104	238				unique_grapheme_count	4	-2.096206446565205							
token_property	x000104	238				unique_predecessor_count	170	2.648549145762993							
token_property	x000104	238				unique_successor_count	207	2.988599091961215							
token_property	x000105	183				effective_predecessor_count	131.82467503674718	2.3933841421309294							
token_property	x000105	183				effective_successor_count	156.20570800569678	2.737023957234292							
token_property	x000105	183				frequency_rank	21	-1.624455576566675							
token_property	x000105	183				global_count	183	2.495679137226114							
token_property	x000105	183				global_frequency_probability	0.0041863976391462495	2.7954953783202745							
token_property	x000105	183				grapheme_length	7	0							
token_property	x000105	183				line_end_probability	0.07103825136612021	-0.15179238632592443							
token_property	x000105	183				line_start_probability	0.03825136612021858	-0.535362332411581							
token_property	x000105	183				log_global_count	5.214935757608986	2.495679137226114							
token_property	x000105	183				max_predecessor_probability	0.028409090909090908	-1.0342384370364115							
token_property	x000105	183				max_structural_similarity	0.516625672884813	1.1897480668574674							
