position	support_50	support_100	support_200	support_500	support_1000	support_count	support_fraction	mean_position	mean_jump_strength	max_jump_strength	position_uncertainty
1445	1	0	1	0	0	2	0.4	1445	0.0787229566053271	0.08490224995673064	5
7940	0	0	1	1	0	2	0.4	7940	0.07812897459041449	0.08487304686082704	40
7493	1	0	0	0	1	2	0.4	7492.5	0.07796310109729829	0.09999999999999999	7.5
13690	0	1	0	0	1	2	0.4	13690	0.07659387454010819	0.09195179762781595	10
14705	0	1	0	0	1	2	0.4	14705	0.0765139954656974	0.09195179762781595	5
15690	1	0	0	1	0	2	0.4	15690	0.07474867112304309	0.08390359525563187	10
1115	0	1	0	0	1	2	0.4	1115	0.06795247879806288	0.09622556248918268	15
550	1	0	0	0	0	1	0.2	550	0.1	0.1	0
13950	1	0	0	0	0	1	0.2	13950	0.1	0.1	0
14000	1	0	0	0	0	1	0.2	14000	0.1	0.1	0
20325	1	0	0	0	0	1	0.2	20325	0.1	0.1	0
36295	1	0	0	0	0	1	0.2	36295	0.1	0.1	0
39040	1	0	0	0	0	1	0.2	39040	0.1	0.1	0
25945	1	0	0	0	0	1	0.2	25945	0.09999999999999999	0.1	0
36795	1	0	0	0	0	1	0.2	36795	0.09999999999999999	0.1	0
39170	1	0	0	0	0	1	0.2	39170	0.09999999999999999	0.1	0
155	1	0	0	0	0	1	0.2	155	0.09999999999999999	0.09999999999999999	0
1515	1	0	0	0	0	1	0.2	1515	0.09999999999999999	0.09999999999999999	0
1570	1	0	0	0	0	1	0.2	1570	0.09999999999999999	0.09999999999999999	0
1705	1	0	0	0	0	1	0.2	1705	0.09999999999999999	0.09999999999999999	0
1755	1	0	0	0	0	1	0.2	1755	0.09999999999999999	0.09999999999999999	0
1845	1	0	0	0	0	1	0.2	1845	0.09999999999999999	0.09999999999999999	0
2315	1	0	0	0	0	1	0.2	2315	0.09999999999999999	0.09999999999999999	0
2535	1	0	0	0	0	1	0.2	2535	0.09999999999999999	0.09999999999999999	0
