target_a	target_b	control_rank	control_a	control_b	match_cost	count_a	count_b	structural_similarity	reliability	normalized_graphemic_distance	position_similarity	left_similarity	right_similarity	predecessor_js_similarity	successor_js_similarity
x009968	x020559	1	x008945	x009971	1.345847244331536	145	110	0.30202496668915235	0.86951915452463	0.42857142857142855	0.891056498761953	0.015018401305504072	0	0.024336806265528144	0
x009968	x020559	2	x008688	x012121	1.348098695454269	94	102	0.29977447155567827	0.823692139176854	0.7142857142857143	0.8649186294571587	0.034404785209876165	0	0.04737632798864788	0
x009968	x020559	3	x008706	x015853	1.3696366476216482	148	59	0.29007999460157713	0.8096082841539674	0.7142857142857143	0.835479838247021	0.01589054156663182	0.018869603991078662	0.021971563264217675	0.01745032720916284
x009971	x020558	1	x008688	x012121	1.0854331166122861	94	102	0.29977447155567827	0.823692139176854	0.7142857142857143	0.8649186294571587	0.034404785209876165	0	0.04737632798864799	0
x009971	x020558	2	x008706	x015853	1.1069710687796652	148	59	0.29007999460157713	0.8096082841539674	0.7142857142857143	0.835479838247021	0.01589054156663182	0.018869603991078662	0.02197156326421723	0.017450327209163174
x009971	x020558	3	x015853	x021400	1.146525446854434	59	131	0.2799980662054249	0.7999936448153662	0.7142857142857143	0.7911840856633438	0.03784886372024397	0.010961249232686892	0.040083848669447475	0.023177212126344493
x009970	x020559	1	x008945	x009971	1.2146302116005265	145	110	0.30202496668915235	0.86951915452463	0.42857142857142855	0.891056498761953	0.015018401305504072	0	0.02433680626552792	0
x009970	x020559	2	x008688	x012121	1.2168816627232597	94	102	0.29977447155567827	0.823692139176854	0.7142857142857143	0.8649186294571587	0.034404785209876165	0	0.047376327988648215	0
x009970	x020559	3	x008706	x015853	1.2384196148906388	148	59	0.29007999460157713	0.8096082841539674	0.7142857142857143	0.835479838247021	0.01589054156663182	0.018869603991078662	0.021971563264217453	0.017450327209163174
x009971	x020556	1	x008688	x012121	0.9873775392665515	94	102	0.29977447155567827	0.823692139176854	0.7142857142857143	0.8649186294571587	0.034404785209876165	0	0.047376327988648215	0
x009971	x020556	2	x015853	x021400	1.0484698695086991	59	131	0.2799980662054249	0.7999936448153662	0.7142857142857143	0.7911840856633438	0.03784886372024397	0.010961249232686892	0.04008384866944692	0.023177212126344493
x009971	x020556	3	x015855	x021400	1.0768723784172565	62	131	0.2887154462749352	0.8049842086239228	0.7142857142857143	0.8412651065507921	0.009273581401244287	0.01560765087276921	0.012001440175984812	0.0337970769365048
x009969	x020558	1	x008688	x012121	0.9608001190801733	94	102	0.29977447155567827	0.823692139176854	0.7142857142857143	0.8649186294571587	0.034404785209876165	0	0.04737632798864799	0
x009969	x020558	2	x008706	x015853	0.9823380712475522	148	59	0.29007999460157713	0.8096082841539674	0.7142857142857143	0.835479838247021	0.01589054156663182	0.018869603991078662	0.02197156326421712	0.01745032720916262
x009969	x020558	3	x015853	x021400	1.021892449322321	59	131	0.2799980662054249	0.7999936448153662	0.7142857142857143	0.7911840856633438	0.03784886372024397	0.010961249232686892	0.04008384866944703	0.02317721212634416
x009970	x020556	1	x008688	x012121	1.0800595457619377	94	102	0.29977447155567827	0.823692139176854	0.7142857142857143	0.8649186294571587	0.034404785209876165	0	0.047376327988648215	0
x009970	x020556	2	x015853	x021400	1.1411518760040855	59	131	0.2799980662054249	0.7999936448153662	0.7142857142857143	0.7911840856633438	0.03784886372024397	0.010961249232686892	0.04008384866944692	0.023177212126344382
x009970	x020556	3	x015855	x021400	1.1695543849126429	62	131	0.2887154462749352	0.8049842086239228	0.7142857142857143	0.8412651065507921	0.009273581401244287	0.01560765087276921	0.012001440175985256	0.03379707693650458
x009971	x020559	1	x008688	x012121	1.1239416632148163	94	102	0.29977447155567827	0.823692139176854	0.7142857142857143	0.8649186294571587	0.034404785209876165	0	0.047376327988648215	0
x009971	x020559	2	x008706	x015853	1.1454796153821953	148	59	0.29007999460157713	0.8096082841539674	0.7142857142857143	0.835479838247021	0.01589054156663182	0.018869603991078662	0.02197156326421723	0.01745032720916284
x009971	x020559	3	x008707	x015853	1.1621592837606345	174	59	0.2847705304339356	0.8156621521417801	0.7142857142857143	0.8299010817331427	0.01975223679313025	0.004658272775533896	0.0294759685662086	0.009853899904189611
x009970	x020558	1	x008945	x009971	1.1760493466995754	145	110	0.30202496668915235	0.86951915452463	0.42857142857142855	0.891056498761953	0.015018401305504072	0	0.02433680626552792	0
x009970	x020558	2	x008688	x012121	1.1783007978223088	94	102	0.29977447155567827	0.823692139176854	0.7142857142857143	0.8649186294571587	0.034404785209876165	0	0.04737632798864799	0
x009970	x020558	3	x008706	x015853	1.1998387499896876	148	59	0.29007999460157713	0.8096082841539674	0.7142857142857143	0.835479838247021	0.01589054156663182	0.018869603991078662	0.021971563264217675	0.017450327209163174
