corpus_id	representation_id	family	metric_id	regime	checkpoint	mean	median	sd	ci_low	ci_high	n_valid
C06	MUSIC-R1	S	S06_PREFERRED_TRANSITION_FRACTION	TOP_100	5000	0.100535714286	0	0.189340150362	0	0.666666666667	100
C06	MUSIC-R1	S	S07_DEPLETED_TRANSITION_FRACTION	TOP_100	5000	0.149536949162	0.118055555556	0.175953104134	0	0.5	100
C06	MUSIC-R1	S	S08_HIGHER_ORDER_PREDICTIVE_GAIN	TOP_100	5000	0.480735622436	0.480545797867	0.00563786946708	0.470743586051	0.491053278684	100
C06	MUSIC-R1	S	S01_TRANSITION_DENSITY	TOP_250	5000	0.04206112	0.042112	0.000589462149421	0.0408716	0.0430644	100
C06	MUSIC-R1	S	S02_TRANSITION_ZERO_DENSITY	TOP_250	5000	0.95793888	0.957888	0.000589462149421	0.9569356	0.9591284	100
C06	MUSIC-R1	S	S03_TRANSITION_ENTROPY_NORM	TOP_250	5000	0.682460750539	0.682518494949	0.00206256077427	0.678560935501	0.686182432723	100
C06	MUSIC-R1	S	S06_PREFERRED_TRANSITION_FRACTION	TOP_250	5000	0.0669563492063	0	0.152861632883	0	0.5	100
C06	MUSIC-R1	S	S07_DEPLETED_TRANSITION_FRACTION	TOP_250	5000	0.109821428571	0	0.186670946789	0	0.5	100
C06	MUSIC-R1	S	S08_HIGHER_ORDER_PREDICTIVE_GAIN	TOP_250	5000	0.407421306909	0.406734711032	0.00433093835189	0.39868999792	0.415126933596	100
C06	MUSIC-R1	S	S01_TRANSITION_DENSITY	MATCHED_VOCAB	5000	0.0334576926324	0.0332628677282	0.00269889831703	0.0288693604544	0.0385700256347	100
C06	MUSIC-R1	S	S02_TRANSITION_ZERO_DENSITY	MATCHED_VOCAB	5000	0.966542307368	0.966737132272	0.00269889831703	0.961429974365	0.971130639546	100
C06	MUSIC-R1	S	S03_TRANSITION_ENTROPY_NORM	MATCHED_VOCAB	5000	0.669288137836	0.669217295575	0.00455749937368	0.661541274974	0.678883331678	100
C06	MUSIC-R1	S	S06_PREFERRED_TRANSITION_FRACTION	MATCHED_VOCAB	5000	0.0668922466422	0	0.152047319475	0	0.5	100
C06	MUSIC-R1	S	S07_DEPLETED_TRANSITION_FRACTION	MATCHED_VOCAB	5000	0.0963507326007	0	0.187897506456	0	0.5	100
C06	MUSIC-R1	S	S08_HIGHER_ORDER_PREDICTIVE_GAIN	MATCHED_VOCAB	5000	0.39713045735	0.397069325455	0.00510695275817	0.388180949583	0.408030531764	100
C06	MUSIC-R1	S	S04_REPEATED_BIGRAM_TYPES		5000	827.9	828.5	18.7800425985	791.325	867.1	100
C06	MUSIC-R1	S	S05_REPEATED_TRIGRAM_TYPES		5000	446.41	444	25.062360224	400.425	494.1	100
C06	MUSIC-R1	D	D_LINE_COHERENCE		5000	0.285869449922	0.280546868711	0.0285188562001	0.240035148967	0.352530643305	100
C06	MUSIC-R1	D	D_LINE_EXCLUSIVITY		5000	0.284202674515	0.285714285714	0.0248285516385	0.244439108721	0.333997077289	100
C06	MUSIC-R1	D	D_LINE_VARIANCE_SHARE		5000	0.0658780588297	0.066361219382	0.00571460658571	0.0533342382651	0.076475051476	100
C06	MUSIC-R1	D	D_LINE_PROGRESSION		5000	-7.73019462606e-05	-7.69137611942e-05	2.88047540723e-05	-0.000126285124335	-1.19866495542e-05	100
C06	MUSIC-R1	D	D_SECTION_COHERENCE		5000	0	0	0	0	0	0
C06	MUSIC-R1	D	D_SECTION_EXCLUSIVITY		5000	0	0	0	0	0	0
C06	MUSIC-R1	D	D_SECTION_VARIANCE_SHARE		5000	0	0	0	0	0	0
C06	MUSIC-R1	D	D_SECTION_PROGRESSION		5000	0	0	0	0	0	0
C06	MUSIC-R1	D	D_PAGE_COHERENCE		5000	0.278650268894	0.252969524443	0.0645493474499	0.206693371827	0.428023834074	100
C06	MUSIC-R1	D	D_PAGE_EXCLUSIVITY		5000	0.404593227931	0.405749232317	0.0300091996496	0.349712327396	0.459796747967	100
C06	MUSIC-R1	D	D_PAGE_VARIANCE_SHARE		5000	0.0388918590251	0.0384715660588	0.00482787326819	0.0304565413421	0.0483268001831	100
C06	MUSIC-R1	D	D_PAGE_PROGRESSION		5000	-0.000132353610387	-0.000138431802414	5.40019914695e-05	-0.00024094300643	-3.16640400969e-05	100
C06	MUSIC-R1	D	D_LOCUS_COHERENCE		5000	0	0	0	0	0	0
C06	MUSIC-R1	D	D_LOCUS_EXCLUSIVITY		5000	0	0	0	0	0	0
C06	MUSIC-R1	D	D_LOCUS_VARIANCE_SHARE		5000	0	0	0	0	0	0
C06	MUSIC-R1	D	D_LOCUS_PROGRESSION		5000	0	0	0	0	0	0
C06	MUSIC-R1	CURVE	A2_BIGRAM_TYPES		5000	89.34	89	3.52766211534	83.475	95.525	100
C06	MUSIC-R1	CURVE	A3_TRIGRAM_TYPES		5000	225.75	225.5	11.2582192198	202.9	245.525	100
C06	MUSIC-R1	CURVE	AT_TRANSITION_TYPES		5000	2690.99	2690	41.0776082556	2609.475	2763.625	100
C06	MUSIC-R1	L	L01_LINE_TOKEN_COUNT_MEAN		5000	23.4865265718	23.4812206573	0.261485307116	22.9776677377	23.9802993881	100
C06	MUSIC-R1	L	L02_LINE_SYMBOL_COUNT_MEAN		5000	95.025352418	95.0258215962	1.08188956567	92.8263946434	96.9669034091	100
C06	MUSIC-R1	L	L03_BOUNDARY_SPECIALIZATION		5000	0.69511770154	0.695124626729	0.0199784152065	0.656580559311	0.731560914307	100
C06	MUSIC-R1	L	L04_POSITION_PROGRESSION		5000	0.0417683174366	0.0409258272835	0.0124877067445	0.020197732913	0.0667810126297	100
