metric_id	family	vm_value	candidate_value	candidate_ci	distance	comparable	reason_if_not_comparable
S07_DEPLETED_TRANSITION_FRACTION[FREQ_GE_10]	S	0	0.565217391304		0	NOT_COMPARABLE	metric absent from pre-frozen scale
S07_DEPLETED_TRANSITION_FRACTION[FREQ_GE_5]	S	0	0.592592592593		0	NOT_COMPARABLE	metric absent from pre-frozen scale
S07_DEPLETED_TRANSITION_FRACTION[MATCHED_VOCAB]	S	0	0.576923076923		0	NOT_COMPARABLE	metric absent from pre-frozen scale
S07_DEPLETED_TRANSITION_FRACTION[TOP_100]	S	0	0.541666666667		0	NOT_COMPARABLE	metric absent from pre-frozen scale
S07_DEPLETED_TRANSITION_FRACTION[TOP_250]	S	0	0.56		0	NOT_COMPARABLE	metric absent from pre-frozen scale
S08_HIGHER_ORDER_PREDICTIVE_GAIN[FREQ_GE_10]	S	0.49255600864	0.346654778465		1.98057167606	COMPARABLE	
S08_HIGHER_ORDER_PREDICTIVE_GAIN[FREQ_GE_5]	S	0.4465275951	0.311972701553		2.77423481251	COMPARABLE	
S08_HIGHER_ORDER_PREDICTIVE_GAIN[MATCHED_VOCAB]	S	0.49255600864	0.314989811605		13.3473818133	COMPARABLE	
S08_HIGHER_ORDER_PREDICTIVE_GAIN[TOP_100]	S	0.582878688499	0.380517220046		6.78454252218	COMPARABLE	
S08_HIGHER_ORDER_PREDICTIVE_GAIN[TOP_250]	S	0.547614214256	0.343553312929		12.1506994715	COMPARABLE	
T01_MEAN_TOKEN_LENGTH	T	4.94629253428	5.56821032825		10.8955274074	COMPARABLE	
T02_TOKEN_LENGTH_SD	T	1.83794584085	2.95511393791		33.9195243773	COMPARABLE	
T03_UNIQUE_TOKEN_RATIO	T	0.209344845099	0.349414593351		6.65322189285	COMPARABLE	
T04_HAPAX_RATIO	T	0.690077632217	0.679581151832		1.46489119368	COMPARABLE	
T05_PREFIX_DIVERSITY	T	0.00327510917031	0.00448765893792		4.81693115032	COMPARABLE	
T06_SUFFIX_DIVERSITY	T	0.00436681222707	0.00403889304413		1.56136292779	COMPARABLE	
T07_EDIT_GRAPH_DENSITY	T	0.000880667248108	0.000305757013813		5.53990091854	COMPARABLE	
T08_EDIT_GRAPH_GIANT_SHARE	T	0.83770014556	0.260732984293		36.5950093895	COMPARABLE	
T09_EDIT_GRAPH_CLUSTERING	T	0.3099957714	0.360076276044		5.02999417456	COMPARABLE	
T10_EDIT_DEGREE_FREQUENCY_SPEARMAN	T	0.641587925628	0.311833073088		26.6005231832	COMPARABLE	
T11_POSITIONAL_RESTRICTION_DENSITY	T	0	0.0860215053763		0	NOT_COMPARABLE	metric absent from pre-frozen scale
d_G	G				4.43146553277	COMPARABLE	
d_T	T				13.3076886615	COMPARABLE	
d_S	S				29.0532564993	COMPARABLE	
d_L	L				0	NOT_COMPARABLE	no mutually comparable scaled metrics
d_D	D				0	NOT_COMPARABLE	no mutually comparable scaled metrics
