left_glyph	right_glyph	observed_count	left_opportunities	p_right_given_left	expected_count	effect_size	p_raw	q_value	observed_status	corpus_rule	inferred_status
g	p	0	12	0	0.08717866221	0	0.9165133347	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
g	q	0	12	0	0.002702615746	0	0.997301033	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
g	r	1	12	0.08333333333	0.5455422927	1.833038452	0.4204725754	0.7932059064	OBSERVED	OBSERVED	EXPECTED
g	s	0	12	0	0.2128116856	0	0.808308339	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
g	t	0	12	0	0.461297899	0	0.6304648346	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
g	u	0	12	0	0.0006177407419	0	0.99938245	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
g	v	0	12	0	0	0	1	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
g	x	0	12	0	0.001544351855	0	0.99845684	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
g	y	1	12	0.08333333333	1.227605289	0.8145940789	0.6526735865	1	OBSERVED	OBSERVED	EXPECTED
g	z	0	12	0	0.0005405231492	0	0.9994596229	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
h	0	0	17879	0	3.56648113	0	0.02825510499	0.08265299938	UNOBSERVED	NEVER_OBSERVED	EXPECTED
h	1	0	17879	0	2.646098903	0	0.07092736861	0.1868330685	UNOBSERVED	NEVER_OBSERVED	EXPECTED
h	2	0	17879	0	3.56648113	0	0.02825510499	0.08265299938	UNOBSERVED	NEVER_OBSERVED	EXPECTED
h	3	0	17879	0	6.672771146	0	0.001264888698	0.005013136859	UNOBSERVED	NEVER_OBSERVED	STRONGLY_AVOIDED
h	4	0	17879	0	4.371815579	0	0.01262829208	0.04001532162	UNOBSERVED	NEVER_OBSERVED	AVOIDED
h	5	0	17879	0	3.221337795	0	0.03990164233	0.1136539087	UNOBSERVED	NEVER_OBSERVED	EXPECTED
h	6	0	17879	0	5.177150027	0	0.005644068957	0.01935109357	UNOBSERVED	NEVER_OBSERVED	AVOIDED
h	7	0	17879	0	4.601911135	0	0.01003264367	0.03210445975	UNOBSERVED	NEVER_OBSERVED	AVOIDED
h	8	0	17879	0	2.646098903	0	0.07092736861	0.1868330685	UNOBSERVED	NEVER_OBSERVED	EXPECTED
h	9	0	17879	0	3.56648113	0	0.02825510499	0.08265299938	UNOBSERVED	NEVER_OBSERVED	EXPECTED
h	I	0	17879	0	0	0	1	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
h	a	780	17879	0.04362660104	1455.354397	0.5359519316	0	0	OBSERVED	OBSERVED	DEPLETED
h	b	0	17879	0	1.725716676	0	0.1780454052	0.4113134495	UNOBSERVED	NEVER_OBSERVED	EXPECTED
h	c	629	17879	0.03518093853	726.6417683	0.8656259899	0.0001568736194	0.0006495469994	OBSERVED	OBSERVED	DEPLETED
h	d	1116	17879	0.06241959841	1097.210662	1.01712464	0.2801707938	0.5862031778	OBSERVED	OBSERVED	EXPECTED
h	e	8274	17879	0.4627775603	2330.637895	3.550101034	0	0	OBSERVED	OBSERVED	STRONGLY_PREFERRED
h	f	9	17879	0.0005033838582	43.94825134	0.2047863049	1.724886947e-10	8.906189176e-10	OBSERVED	OBSERVED	DEPLETED
h	g	8	17879	0.0004474523184	15.76154564	0.5075644346	0.02502216834	0.07489314125	OBSERVED	OBSERVED	EXPECTED
h	h	100	17879	0.00559315398	2065.107622	0.04842362642	0	0	OBSERVED	OBSERVED	DEPLETED
h	i	6	17879	0.0003355892388	1373.900569	0.004367128258	0	0	OBSERVED	OBSERVED	DEPLETED
h	j	0	17879	0	1.380573341	0	0.2514343542	0.5350721232	UNOBSERVED	NEVER_OBSERVED	EXPECTED
h	k	215	17879	0.01202528106	1128.618706	0.1904983489	0	0	OBSERVED	OBSERVED	DEPLETED
h	l	67	17879	0.003747413166	1057.97937	0.06332826698	0	0	OBSERVED	OBSERVED	DEPLETED
h	m	0	17879	0	121.6055018	0	0	0	UNOBSERVED	NEVER_OBSERVED	STRONGLY_AVOIDED
h	n	0	17879	0	711.1103182	0	0	0	UNOBSERVED	NEVER_OBSERVED	STRONGLY_AVOIDED
h	o	4047	17879	0.2263549416	1923.82895	2.103617372	0	0	OBSERVED	OBSERVED	STRONGLY_PREFERRED
h	p	32	17879	0.001789809273	129.8889418	0.2463643137	0	0	OBSERVED	OBSERVED	DEPLETED
h	q	0	17879	0	4.026672243	0	0.01783357712	0.05476852121	UNOBSERVED	NEVER_OBSERVED	EXPECTED
h	r	22	17879	0.001230493875	812.8125543	0.02706651107	0	0	OBSERVED	OBSERVED	DEPLETED
h	s	144	17879	0.008054141731	317.0716772	0.4541559854	0	0	OBSERVED	OBSERVED	DEPLETED
h	t	103	17879	0.005760948599	687.2954281	0.1498627749	0	0	OBSERVED	OBSERVED	DEPLETED
h	u	0	17879	0	0.9203822271	0	0.3983667454	0.7648641512	UNOBSERVED	NEVER_OBSERVED	EXPECTED
h	v	0	17879	0	0	0	1	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
h	x	7	17879	0.0003915207786	2.300955568	3.04221433	0.009381646879	0.03032073405	OBSERVED	OBSERVED	PREFERRED
h	y	2319	17879	0.1297052408	1829.029581	1.267885454	0	0	OBSERVED	OBSERVED	STRONGLY_PREFERRED
h	z	1	17879	5.59315398e-05	0.8053344487	1.241720135	0.5530615764	0.9633384338	OBSERVED	OBSERVED	EXPECTED
i	0	0	11933	0	2.380380297	0	0.09251538753	0.2328154218	UNOBSERVED	NEVER_OBSERVED	EXPECTED
i	1	0	11933	0	1.766088607	0	0.1710005327	0.3964520401	UNOBSERVED	NEVER_OBSERVED	EXPECTED
i	2	0	11933	0	2.380380297	0	0.09251538753	0.2328154218	UNOBSERVED	NEVER_OBSERVED	EXPECTED
i	3	0	11933	0	4.453614749	0	0.01163642809	0.03705358921	UNOBSERVED	NEVER_OBSERVED	AVOIDED
i	4	0	11933	0	2.917885525	0	0.05404784939	0.1474652901	UNOBSERVED	NEVER_OBSERVED	EXPECTED
i	5	0	11933	0	2.150020913	0	0.1164817218	0.2821688063	UNOBSERVED	NEVER_OBSERVED	EXPECTED
i	6	0	11933	0	3.455390753	0	0.03157496393	0.09154620414	UNOBSERVED	NEVER_OBSERVED	EXPECTED
i	7	0	11933	0	3.071458447	0	0.0463535014	0.1300306013	UNOBSERVED	NEVER_OBSERVED	EXPECTED
i	8	0	11933	0	1.766088607	0	0.1710005327	0.3964520401	UNOBSERVED	NEVER_OBSERVED	EXPECTED
i	9	0	11933	0	2.380380297	0	0.09251538753	0.2328154218	UNOBSERVED	NEVER_OBSERVED	EXPECTED
i	I	0	11933	0	0	0	1	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
i	a	4	11933	0.000335204894	971.348734	0.004117985498	0	0	OBSERVED	OBSERVED	DEPLETED
i	b	0	11933	0	1.151796918	0	0.31606831	0.6350767904	UNOBSERVED	NEVER_OBSERVED	EXPECTED
i	c	9	11933	0.0007542110115	484.9832888	0.01855734044	0	0	OBSERVED	OBSERVED	DEPLETED
i	d	25	11933	0.002095030587	732.3124803	0.03413843226	0	0	OBSERVED	OBSERVED	DEPLETED
