rank	token_a	token_b	count_a	count_b	persistence_1_5	mean_js_1_5	mean_js_6_10	mean_js_11_20	js_d1	percentile_d1	js_d2	percentile_d2	js_d3	percentile_d3	js_d5	percentile_d5	js_d10	percentile_d10	js_d20	percentile_d20
1	chedy	qokeey	504	306	99.91362313397804	0.4717849228598883	0.45608293798747246	0.44363488815461044	0.49906514812590863	99.94366726129002	0.4722000272021196	99.94366726129002	0.47605106519042506	99.91550089193503	0.46524847662704905	99.90611210215003	0.47820910324430355	99.90611210215003	0.4467360825438842	99.91550089193503
2	chol	daiin	395	847	99.79344662473008	0.4432910340284826	0.4450911207339495	0.4232328480272888	0.4216256976022934	99.7371138860201	0.44722793713222575	99.81222420430007	0.47891246410857347	99.94366726129002	0.42914010818051485	99.65261477795512	0.46784088450237904	99.87794573279504	0.4196772089406703	99.74650267580509
3	ol	y	557	304	99.71270303257911	0.431385255035595	0.4222223410376621	0.40110632063296914	0.4305081259482266	99.77466904516008	0.44906701591475706	99.83100178387006	0.43772963968908596	99.74650267580509	0.4225365338174004	99.56811566989015	0.38719225546188407	98.99539949300535	0.3869674642097939	99.44606140268519
4	chey	ol	346	557	99.59815979720216	0.4382367459895109	0.44970259173871374	0.4438971208094877	0.33881628747955606	98.42268331612055	0.4766798036072133	99.95305605107502	0.4501617758093346	99.82161299408506	0.44962460163884777	99.83100178387006	0.4400490361817473	99.7371138860201	0.44706995700044105	99.92488968172003
5	dar	ol	323	557	99.56060463806214	0.41530170157394053	0.42192764865904636	0.4194285289779476	0.42030534216725246	99.72772509623509	0.38526366044165894	99.20195286827528	0.4342502372823759	99.7089475166651	0.43058682220261546	99.66200356774011	0.4112690120963255	99.46483898225519	0.41066969987131774	99.63383719838512
6	ar	ol	402	557	99.49676086752417	0.4054561177531487	0.4339634376577635	0.40670858708037844	0.408165299174747	99.65261477795512	0.39503833825507595	99.4272838231152	0.4109779505813863	99.57750445967515	0.4103981865074001	99.37095108440522	0.4146981069542234	99.49300535161018	0.36955043301034485	99.00478828279034
7	dal	ol	242	557	99.48361656182519	0.40982008026535466	0.4009187797985437	0.39166547990903916	0.4064270678978783	99.62444840860013	0.36655974909483624	98.76067974838044	0.40944163375546827	99.55872688010516	0.4500728891250886	99.84977936344005	0.36992734327543464	98.49779363440052	0.41386301246694424	99.67139235752512
8	qokain	qol	273	139	99.4610834663412	0.40216871504101376	0.41631140306642933	0.41012101073969004	0.39934809988648	99.53994930053516	0.4062931217441077	99.54933809032016	0.3901838936341494	99.35217350483522	0.42530103948003695	99.58689324946015	0.41136720292980145	99.47422777204018	0.4179013475957085	99.7371138860201
9	aiin	ar	504	402	99.4085062435452	0.4018374551125531	0.4210428855876279	0.3939142876564534	0.36667597186817136	99.06112102150033	0.4031990026176113	99.52117172096517	0.43634616824285977	99.7183363064501	0.41282627124956073	99.4366726129002	0.45364124866617295	99.84977936344005	0.3559332574850703	98.66679185053047
10	okaiin	ol	215	557	99.14749788752229	0.3892408499552723	0.3821951996355872	0.3767793941178609	0.35927922607232243	98.93906675429537	0.4181493189377046	99.61505961881514	0.3945442833725288	99.4366726129002	0.35577194351979746	98.05652051450568	0.3417351493728279	97.50258191719088	0.37008796760699736	99.03295465214534
11	chor	daiin	211	847	98.96347760773635	0.3799235549147288	0.3714019083529629	0.3639270281069787	0.3596157762909814	98.93906675429537	0.3808409707317377	99.11745376021031	0.4188731097053252	99.63383719838512	0.3517391321322897	97.87813350859074	0.34970318218531116	97.80302319031077	0.3669514734379069	98.93906675429537
12	or	s	388	350	98.88461177354239	0.40387278113712055	0.3670297018969468	0.3481912560585897	0.542532762133984	99.99061121021501	0.34875909993539667	98.23490752042062	0.37221416538558816	98.90151159515538	0.40587203138094763	99.33339592526524	0.3696670810197198	98.48840484461553	0.32249035770761136	97.24908459299596
13	qokaiin	qol	264	139	98.80762369730542	0.3688406992998944	0.36954670496607733	0.3476494940313635	0.32823217495580903	98.12224204300065	0.3806794355478086	99.10806497042532	0.3845847165824916	99.22073044784527	0.3656747998339831	98.44146089569054	0.377492617655232	98.80762369730542	0.33514935397133316	97.85935592902075
14	qokedy	qol	276	139	98.61233686977748	0.3654213939182175	0.4170826207712947	0.3940150908559862	0.3388621161679123	98.43207210590555	0.3273743285978922	97.27725096235095	0.39864221811107203	99.48361656182519	0.3828841875049531	98.89212280537039	0.41659967587391233	99.50239414139517	0.38562083284075577	99.4178950333302
15	lchedy	qokain	116	273	98.5541263731105	0.3716327299817914	0.36757156143986036	0.3563726167478814	0.2849251420690643	95.68115669890152	0.3885802931879845	99.28645197634025	0.401634634811052	99.50239414139517	0.40107599819279915	99.24889681720026	0.39491291705758624	99.1737864989203	0.34948857250996057	98.41329452633556
16	lchedy	qokeey	116	306	98.53910430945452	0.36151381492080653	0.3549371162135097	0.3376816104735933	0.3657495938709193	99.02356586236034	0.3510395065090435	98.24429631020561	0.3624586037245481	98.66679185053047	0.3789472064383004	98.82640127687542	0.3399446965189673	97.4180828091259	0.33717856970542315	97.92507745751573
17	qokar	qol	156	139	98.19359684536664	0.3569241742371143	0.32661844249177274	0.3005376180698061	0.3831002260791465	99.33339592526524	0.3739213419724515	98.98601070322036	0.310187636060999	96.14120739836635	0.36489312406115204	98.42268331612055	0.32773715846920226	96.8547554220261	0.32685741186117834	97.48380433762088
18	r	s	168	350	98.0076988076237	0.3660110444914461	0.29333917842402574	0.2824672338869828	0.4640674437364576	99.85916815322506	0.3638456068444963	98.64801427096047	0.3554974038648133	98.44146089569054	0.3243653795940419	96.71392357525114	0.3143395659120072	96.2914280349263	0.2379292797272039	89.1277814289738
19	okain	ol	140	557	97.62275842643882	0.34405471548974453	0.3838263814815722	0.35992525439853035	0.3730606863630941	99.18317528870529	0.35869799088967014	98.5541263731105	0.30924371681697593	96.07548586987137	0.3621060238548617	98.34757299784057	0.35453452924373574	98.02835414515069	0.35522260843949083	98.61984790160548
20	lchedy	qol	116	139	96.80968923105812	0.3337987947054722	0.3322495387513282	0.32910085694352575	0.244304262810896	91.48436766500798	0.36359741094869913	98.63862548117548	0.3183473123297871	96.61064688761618	0.37631857407731206	98.72312458924044	0.30040507085380985	95.50276969298658	0.3582293993400526	98.72312458924044
21	or	r	388	168	96.62566895127217	0.34428327911589246	0.3234309332043025	0.28865334546911287	0.4813162614165617	99.89672331236504	0.31593716782222814	96.5730917284762	0.30226284003509063	95.64360153976152	0.2726987416704063	93.08046192845742	0.34022346725890007	97.43686038869589	0.2841185263555044	94.66716740212186
22	lchedy	qokar	116	156	95.91024316965544	0.3078737501528126	0.26725054629631906	0.29081638376007035	0.28422625143351565	95.62482396019153	0.2832477688212629	93.96300816824711	0.3054732183451352	95.83137733546145	0.3323372157151169	97.01436484837105	0.2454833860103397	89.72866397521359	0.2578913263578214	91.62519951178294
23	daiin	dol	847	109	95.63421274997653	0.3045479719991181	0.3226529794527832	0.31537898289033695	0.3123488076873552	97.45563796826589	0.31937669383726297	96.82658905267111	0.32131421834250395	96.77025631396113	0.2602202916906321	91.66275467092292	0.30415936061716453	95.7281006478265	0.3012719656802957	96.0097643413764
24	chol	cthy	395	103	95.39198197352361	0.3033052144413252	0.29770936899656564	0.2716353537336852	0.3204508393751614	97.82180076988077	0.31800175282425414	96.73270115482114	0.2519638042514909	90.41404562951836	0.311267715978238	96.11304102901136	0.3299123448667546	96.97680968923106	0.3210117060775475	97.22091822364098
25	ain	ar	109	402	92.80818702469251	0.2907450462323637	0.28298048319694863	0.26775391232373896	0.4072417916413079	99.63383719838512	0.2567368933924584	90.69570932306826	0.23225450680325854	87.25941226175946	0.2792149461491297	93.61562294620224	0.29393782462063944	95.02394141395175	0.2724213011114822	93.49356867899728
26	qol	qotain	139	60	92.45892404469063	0.26786343604477175	0.31671869918365536	0.259442531982201	0.2524397779199695	92.52652333114261	0.2862609742060085	94.29161581072199	0.2397434831062102	88.53628767251901	0.27634424365658616	93.4372359402873	0.3395779941928201	97.40869401934091	0.25260353053146245	90.91165148812318
27	ain	al	109	257	89.1014928175758	0.24497016323877735	0.26827004082339445	0.25732434652326636	0.27917584726665345	95.22110599943667	0.2338654087404064	86.92141582949958	0.22778694973454772	86.66791850530467	0.21932751972764342	85.30654398648014	0.29363778137173013	94.99577504459675	0.31185887008789226	96.69514599568116
28	okar	otain	140	95	80.78865834193974	0.236624065761053	0.24600153064632718	0.22792459525282344	0.3850789470344652	99.35217350483522	0.21941168758069307	83.85128156980565	0.2611685876719414	91.7284761994179	0.15503961202510552	62.93305792883297	0.2431985663800662	89.34372359402873	0.2321224617717036	88.14195850154915
