candidate	corpus	error_channel	error_rate	replicate	seed	injected_errors	glyph_recovery	token_recovery	word_error_rate	exact_message_recovery	output_tokens
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	41	67043281	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	42	67044290	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	43	67045299	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	44	67046308	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	45	67047317	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	46	67048326	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	47	67049335	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	48	67050344	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	49	67051353	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	50	67052362	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	51	67053371	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	52	67054380	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	53	67055389	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	54	67056398	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	55	67057407	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	56	67058416	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	57	67059425	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	58	67060434	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	59	67061443	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	60	67062452	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	61	67063461	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	62	67064470	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	63	67065479	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	64	67066488	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	65	67067497	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	66	67068506	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	67	67069515	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	68	67070524	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	69	67071533	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	70	67072542	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	71	67073551	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	72	67074560	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	73	67075569	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	74	67076578	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	75	67077587	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	76	67078596	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	77	67079605	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	78	67080614	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	79	67081623	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	80	67082632	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	81	67083641	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	82	67084650	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	83	67085659	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	84	67086668	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	85	67087677	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	86	67088686	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	87	67089695	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	88	67090704	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	89	67091713	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	90	67092722	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	91	67093731	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	92	67094740	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	93	67095749	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	94	67096758	0	1.00000000	1.00000000	0.00000000	1	128
