candidate	corpus	partition	input_units	output_tokens	clean_glyph_recovery	clean_token_recovery	sequence_edit_distance	normalized_char_edit_distance	word_error_rate	exact_message_recovery	recovered_plaintext_entropy	decoder_level	measurement
M9_GROUP_FORM_FIXED	Doyle	TRAIN	149	149	0.40100671	0.13422819	129	0.59899329	0.86577181	0	3.95020374	LEVEL_3	actual encode->decode
M9_GROUP_FORM_FIXED	Doyle	VALIDATION	140	140	0.40178571	0.13571429	121	0.59821429	0.86428571	0	3.90636051	LEVEL_3	actual encode->decode
M9_GROUP_FORM_FIXED	Doyle	TEST	131	131	0.44656489	0.19083969	106	0.55343511	0.80916031	0	4.03510963	LEVEL_3	actual encode->decode
M9_GROUP_FORM_FIXED	Doyle	TEST_BLOCK_8	8	8	0.46875000	0.25000000	6	0.53125000	0.75000000	0	3.67922930	LEVEL_3	actual short-block encode->decode
M9_GROUP_FORM_FIXED	Doyle	TEST_BLOCK_16	16	16	0.53125000	0.25000000	12	0.46875000	0.75000000	0	3.82953335	LEVEL_3	actual short-block encode->decode
M9_GROUP_FORM_FIXED	Doyle	TEST_BLOCK_32	32	32	0.48437500	0.25000000	24	0.51562500	0.75000000	0	3.95502293	LEVEL_3	actual short-block encode->decode
M9_GROUP_FORM_FIXED	Doyle	TEST_BLOCK_64	64	64	0.46484375	0.20312500	51	0.53515625	0.79687500	0	3.93498202	LEVEL_3	actual short-block encode->decode
M9_GROUP_FORM_FIXED	Doyle	TEST_BLOCK_128	128	128	0.44921875	0.19531250	103	0.55078125	0.80468750	0	4.03134223	LEVEL_3	actual short-block encode->decode
M10_STATEFUL_FORM_K2	Doyle	TRAIN	171	171	0.42087542	0.23976608	130	0.57912458	0.76023392	0	3.83362349	LEVEL_3	actual encode->decode
M10_STATEFUL_FORM_K2	Doyle	VALIDATION	161	161	0.34829443	0.15527950	136	0.65170557	0.84472050	0	3.79592948	LEVEL_3	actual encode->decode
M10_STATEFUL_FORM_K2	Doyle	TEST	150	150	0.30975143	0.08000000	138	0.69024857	0.92000000	0	4.02259868	LEVEL_3	actual encode->decode
M10_STATEFUL_FORM_K2	Doyle	TEST_BLOCK_8	8	8	0.41666667	0.12500000	7	0.58333333	0.87500000	0	2.85221700	LEVEL_3	actual short-block encode->decode
M10_STATEFUL_FORM_K2	Doyle	TEST_BLOCK_16	16	16	0.38461538	0.12500000	14	0.61538462	0.87500000	0	3.48710015	LEVEL_3	actual short-block encode->decode
M10_STATEFUL_FORM_K2	Doyle	TEST_BLOCK_32	32	32	0.37037037	0.09375000	29	0.62962963	0.90625000	0	3.71467399	LEVEL_3	actual short-block encode->decode
M10_STATEFUL_FORM_K2	Doyle	TEST_BLOCK_64	64	64	0.38181818	0.07812500	59	0.61818182	0.92187500	0	3.81332022	LEVEL_3	actual short-block encode->decode
M10_STATEFUL_FORM_K2	Doyle	TEST_BLOCK_128	128	128	0.31531532	0.07031250	119	0.68468468	0.92968750	0	4.01173165	LEVEL_3	actual short-block encode->decode
M11_MIXED_FORM_K2	Doyle	TRAIN	171	171	0.35016835	0.15789474	144	0.64983165	0.84210526	0	4.08211906	LEVEL_3	actual encode->decode
M11_MIXED_FORM_K2	Doyle	VALIDATION	161	161	0.30520646	0.14906832	137	0.69479354	0.85093168	0	4.03236528	LEVEL_3	actual encode->decode
M11_MIXED_FORM_K2	Doyle	TEST	150	150	0.27915870	0.08666667	137	0.72084130	0.91333333	0	4.09453955	LEVEL_3	actual encode->decode
M11_MIXED_FORM_K2	Doyle	TEST_BLOCK_8	8	8	0.33333333	0.12500000	7	0.66666667	0.87500000	0	3.40582225	LEVEL_3	actual short-block encode->decode
