candidate	corpus	metric	value	method	note
M0_IDENTITY	ALL	TRANSCRIPTION_CONFLATION	1.000000	synthetic known-plaintext	see REPORT.md
M1_MONOALPHABETIC	ALL	TRANSCRIPTION_CONFLATION	1.000000	synthetic known-plaintext	see REPORT.md
M2_HOMOPHONY_H2	ALL	TRANSCRIPTION_CONFLATION	0.500000	synthetic known-plaintext	see REPORT.md
G_FORM_MEDIUM	ALL	TRANSCRIPTION_CONFLATION	0.180000	synthetic known-plaintext	see REPORT.md
M9_GROUP_FORM_FIXED	ALL	TRANSCRIPTION_CONFLATION	0.120000	synthetic known-plaintext	see REPORT.md
M10_STATEFUL_FORM_K2	ALL	TRANSCRIPTION_CONFLATION	0.080000	synthetic known-plaintext	see REPORT.md
M11_MIXED_FORM_K2	ALL	TRANSCRIPTION_CONFLATION	0.060000	synthetic known-plaintext	see REPORT.md
