candidate	corpus	block_length	log2_N	log2_N_per_input	growth_class	source
M11_MIXED_FORM_K2	Doyle	16	68.12098219	4.25756139	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M11_MIXED_FORM_K2	Doyle	32	133.83834241	4.18244820	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M11_MIXED_FORM_K2	Doyle	64	258.41545181	4.03774143	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M11_MIXED_FORM_K2	Doyle	128	511.68247038	3.99751930	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M0_IDENTITY	Longfellow	8	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M0_IDENTITY	Longfellow	16	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M0_IDENTITY	Longfellow	32	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M0_IDENTITY	Longfellow	64	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M0_IDENTITY	Longfellow	128	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M1_MONOALPHABETIC	Longfellow	8	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M1_MONOALPHABETIC	Longfellow	16	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M1_MONOALPHABETIC	Longfellow	32	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M1_MONOALPHABETIC	Longfellow	64	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M1_MONOALPHABETIC	Longfellow	128	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M2_HOMOPHONY_H2	Longfellow	8	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M2_HOMOPHONY_H2	Longfellow	16	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M2_HOMOPHONY_H2	Longfellow	32	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M2_HOMOPHONY_H2	Longfellow	64	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M2_HOMOPHONY_H2	Longfellow	128	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
G_FORM_MEDIUM	Longfellow	8	26.78206848	3.34775856	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
G_FORM_MEDIUM	Longfellow	16	51.19241217	3.19952576	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
G_FORM_MEDIUM	Longfellow	32	107.11924728	3.34747648	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
G_FORM_MEDIUM	Longfellow	64	224.10737739	3.50167777	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
G_FORM_MEDIUM	Longfellow	128	412.21389176	3.22042103	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M9_GROUP_FORM_FIXED	Longfellow	8	49.02709494	6.12838687	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M9_GROUP_FORM_FIXED	Longfellow	16	93.74356510	5.85897282	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M9_GROUP_FORM_FIXED	Longfellow	32	198.70709530	6.20959673	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M9_GROUP_FORM_FIXED	Longfellow	64	398.59914966	6.22811171	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M9_GROUP_FORM_FIXED	Longfellow	128	785.24633650	6.13473700	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M10_STATEFUL_FORM_K2	Longfellow	8	37.01902309	4.62737789	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M10_STATEFUL_FORM_K2	Longfellow	16	80.81610389	5.05100649	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M10_STATEFUL_FORM_K2	Longfellow	32	169.44943884	5.29529496	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M10_STATEFUL_FORM_K2	Longfellow	64	343.49551976	5.36711750	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M10_STATEFUL_FORM_K2	Longfellow	128	656.00716750	5.12505600	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M11_MIXED_FORM_K2	Longfellow	8	26.75581912	3.34447739	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M11_MIXED_FORM_K2	Longfellow	16	55.25018853	3.45313678	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M11_MIXED_FORM_K2	Longfellow	32	121.78665158	3.80583286	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M11_MIXED_FORM_K2	Longfellow	64	244.54526270	3.82101973	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M11_MIXED_FORM_K2	Longfellow	128	458.58808100	3.58271938	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M0_IDENTITY	Astafiev	8	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M0_IDENTITY	Astafiev	16	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M0_IDENTITY	Astafiev	32	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M0_IDENTITY	Astafiev	64	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M0_IDENTITY	Astafiev	128	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M1_MONOALPHABETIC	Astafiev	8	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M1_MONOALPHABETIC	Astafiev	16	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M1_MONOALPHABETIC	Astafiev	32	1.00000000	0.03125000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M1_MONOALPHABETIC	Astafiev	64	1.00000000	0.01562500	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M1_MONOALPHABETIC	Astafiev	128	4.00000000	0.03125000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M2_HOMOPHONY_H2	Astafiev	8	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M2_HOMOPHONY_H2	Astafiev	16	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M2_HOMOPHONY_H2	Astafiev	32	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M2_HOMOPHONY_H2	Astafiev	64	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M2_HOMOPHONY_H2	Astafiev	128	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
G_FORM_MEDIUM	Astafiev	8	33.54340795	4.19292599	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
G_FORM_MEDIUM	Astafiev	16	62.02068748	3.87629297	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
G_FORM_MEDIUM	Astafiev	32	130.74529785	4.08579056	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
G_FORM_MEDIUM	Astafiev	64	271.01558518	4.23461852	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
G_FORM_MEDIUM	Astafiev	128	525.67130069	4.10680704	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M9_GROUP_FORM_FIXED	Astafiev	8	56.85335317	7.10666915	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M9_GROUP_FORM_FIXED	Astafiev	16	111.29938906	6.95621182	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M9_GROUP_FORM_FIXED	Astafiev	32	224.22948866	7.00717152	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M9_GROUP_FORM_FIXED	Astafiev	64	430.44879236	6.72576238	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M9_GROUP_FORM_FIXED	Astafiev	128	854.47362991	6.67557523	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M10_STATEFUL_FORM_K2	Astafiev	8	49.36080104	6.17010013	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M10_STATEFUL_FORM_K2	Astafiev	16	106.89567471	6.68097967	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M10_STATEFUL_FORM_K2	Astafiev	32	218.33918748	6.82309961	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M10_STATEFUL_FORM_K2	Astafiev	64	420.02878572	6.56294978	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M10_STATEFUL_FORM_K2	Astafiev	128	816.09929584	6.37577575	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M11_MIXED_FORM_K2	Astafiev	8	38.01376170	4.75172021	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M11_MIXED_FORM_K2	Astafiev	16	81.32594258	5.08287141	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M11_MIXED_FORM_K2	Astafiev	32	170.41785515	5.32555797	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M11_MIXED_FORM_K2	Astafiev	64	323.82157009	5.05971203	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M11_MIXED_FORM_K2	Astafiev	128	629.30585543	4.91645200	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
