block_a	block_b	edges_a	edges_b	intersection	edge_jaccard	degree_rank_correlation	scc_overlap
G1/generic#0	G3/generic#5	94	98	71	0.5867768595	0.7271604623	0
G1/generic#0	G0/generic#6	94	89	75	0.6944444444	0.7999046497	0
G1/generic#0	G1/generic#6	94	84	68	0.6181818182	0.7622604791	0
G1/generic#0	G2/generic#6	94	62	55	0.5445544554	0.7456428103	1
G1/generic#0	G3/generic#6	94	67	55	0.5188679245	0.6874772773	0
G1/generic#0	G0/generic#7	94	99	72	0.5950413223	0.7194522163	0
G1/generic#0	G1/generic#7	94	100	73	0.6033057851	0.7438082809	0
G1/generic#0	G2/generic#7	94	66	52	0.4814814815	0.6353433503	0
G1/generic#0	G3/generic#7	94	70	55	0.504587156	0.6770204246	0
G1/generic#0	G0/generic#8	94	81	67	0.6203703704	0.7563749436	0
G1/generic#0	G1/generic#8	94	75	65	0.625	0.7554467558	0
G1/generic#0	G2/generic#8	94	56	40	0.3636363636	0.5626735621	0
G1/generic#0	G3/generic#8	94	80	72	0.7058823529	0.7909735461	0
G1/generic#0	G0/generic#9	94	66	45	0.3913043478	0.5445387458	0
G1/generic#0	G1/generic#9	94	88	70	0.625	0.7311670268	0
G1/generic#0	G2/generic#9	94	83	69	0.6388888889	0.7801133325	0
G1/generic#0	G3/generic#9	94	107	78	0.6341463415	0.7208567983	0
G1/generic#0	G0/generic#10	94	102	78	0.6610169492	0.7719602456	0
G1/generic#0	G1/generic#10	94	77	57	0.5	0.6561401385	0
G1/generic#0	G2/generic#10	94	69	59	0.5673076923	0.7145892489	0
G1/generic#0	G3/generic#10	94	104	76	0.6229508197	0.7211624144	0
G1/generic#0	G0/generic#11	94	96	77	0.6814159292	0.7699217946	0
G1/generic#0	G1/generic#11	94	61	47	0.4351851852	0.6388769127	0
G1/generic#0	G2/generic#11	94	98	63	0.488372093	0.6577303282	0
G1/generic#0	G3/generic#11	94	121	77	0.5579710145	0.704731982	0
G1/generic#0	G0/generic#12	94	97	71	0.5916666667	0.7020473946	0
G1/generic#0	G1/generic#12	94	91	75	0.6818181818	0.8025335084	0
