source	target	sign	permutations	empirical_p	fdr_q	max_block_observation_fraction	max_block_effect_weight_fraction	status
x004625	x008796	preferred	1000	1	1	1	0.02335154302	EXPECTED_FROM_NULL
x004625	x008958	preferred	1000	1	1	1	0.02554563774	EXPECTED_FROM_NULL
x004625	x008991	preferred	1000	0.06093906094	0.2599797553	1	0.02288336994	EXPECTED_FROM_NULL
x004625	x009398	preferred	1000	1	1	1	0.02434617304	EXPECTED_FROM_NULL
x004625	x009464	depleted	10000	0.001099890011	0.4535213145	1	0.02272136489	EXPECTED_FROM_NULL
x004625	x009478	preferred	1000	0.5574425574	1	1	0.03548826451	EXPECTED_FROM_NULL
x004625	x009514	preferred	1000	0.01798201798	0.1458944079	0.2	0.02774658423	EXPECTED_FROM_NULL
x004625	x009515	preferred	10000	0.009399060094	0.1146756536	0.1666666667	0.02657535146	EXPECTED_FROM_NULL
x004625	x009542	preferred	1000	0.01998001998	0.1514250455	0.2	0.02567832428	EXPECTED_FROM_NULL
x004625	x009543	preferred	10000	9.9990001e-05	0.006076750815	0.3333333333	0.02545969533	BACKBONE_PREFERRED
x004625	x009566	preferred	1000	1	1	1	0.02646534969	EXPECTED_FROM_NULL
x004625	x009654	preferred	1000	1	1	1	0.02246913873	EXPECTED_FROM_NULL
x004625	x009668	preferred	1000	1	1	1	0.02864504136	EXPECTED_FROM_NULL
x004625	x009669	preferred	1000	0.1718281718	0.460831425	0.5	0.02397645558	EXPECTED_FROM_NULL
x004625	x009874	preferred	1000	1	1	1	0.02307031214	EXPECTED_FROM_NULL
x004625	x010159	preferred	1000	0.6523476523	1	1	0.03868935105	EXPECTED_FROM_NULL
x004625	x010260	preferred	1000	0.05094905095	0.2334379703	0.25	0.02210828617	EXPECTED_FROM_NULL
x004625	x010278	depleted	1000	0.987012987	1	0.1818181818	0.03837702006	EXPECTED_FROM_NULL
x004625	x010279	depleted	1000	1	1	0.2222222222	0.04013316143	EXPECTED_FROM_NULL
x004625	x010360	preferred	1000	0.4775224775	1	1	0.03441274504	EXPECTED_FROM_NULL
x004625	x010364	preferred	1000	0.07992007992	0.2955483093	1	0.02451398921	EXPECTED_FROM_NULL
x004625	x010366	preferred	1000	0.1508491508	0.4243538121	0.5	0.03348919942	EXPECTED_FROM_NULL
x004625	x010485	preferred	1000	1	1	1	0.03120377749	EXPECTED_FROM_NULL
x004625	x010616	preferred	1000	0.5744255744	1	1	0.03861627422	EXPECTED_FROM_NULL
x004625	x010617	preferred	1000	0.02597402597	0.167996662	0.4	0.03474672976	EXPECTED_FROM_NULL
x004625	x010704	preferred	1000	0.5574425574	1	1	0.03217036906	EXPECTED_FROM_NULL
x004640	x000027	depleted	1000	0.9180819181	1	0	1	INSUFFICIENT_SUPPORT
x004640	x000272	depleted	1000	0.984015984	1	0	1	INSUFFICIENT_SUPPORT
x004640	x000408	preferred	1000	1	1	0	1	INSUFFICIENT_SUPPORT
x004640	x000409	preferred	1000	1	1	0	1	INSUFFICIENT_SUPPORT
x004640	x000413	preferred	1000	1	1	0	1	INSUFFICIENT_SUPPORT
x004640	x003213	preferred	1000	1	1	0	1	INSUFFICIENT_SUPPORT
x004640	x004352	preferred	1000	1	1	0	1	INSUFFICIENT_SUPPORT
x004640	x004353	depleted	1000	0.973026973	1	0	1	INSUFFICIENT_SUPPORT
x004640	x004624	depleted	1000	0.987012987	1	1	1	INSUFFICIENT_SUPPORT
x004640	x004625	depleted	1000	0.9190809191	1	0	1	INSUFFICIENT_SUPPORT
x004640	x005004	depleted	1000	0.999000999	1	1	1	INSUFFICIENT_SUPPORT
x004640	x005005	depleted	1000	0.9330669331	1	0	1	INSUFFICIENT_SUPPORT
x004640	x006061	depleted	1000	0.9490509491	1	0	1	INSUFFICIENT_SUPPORT
x004640	x006201	depleted	1000	0.986013986	1	0	1	INSUFFICIENT_SUPPORT
x004640	x009464	depleted	1000	0.8871128871	1	0	1	INSUFFICIENT_SUPPORT
x004640	x009465	depleted	1000	0.9110889111	1	0	1	INSUFFICIENT_SUPPORT
x004640	x009489	depleted	1000	0.968031968	1	0	1	INSUFFICIENT_SUPPORT
x004640	x009496	preferred	1000	1	1	0	1	INSUFFICIENT_SUPPORT
x004640	x009634	depleted	1000	0.962037962	1	0	1	INSUFFICIENT_SUPPORT
x004640	x010314	depleted	1000	0.979020979	1	0	1	INSUFFICIENT_SUPPORT
x004640	x010315	preferred	1000	1	1	0	1	INSUFFICIENT_SUPPORT
x004640	x010700	preferred	1000	0.05094905095	1	1	1	INSUFFICIENT_SUPPORT
x004640	x010701	depleted	1000	0.998001998	1	1	1	INSUFFICIENT_SUPPORT
x004641	x000026	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004641	x004352	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004641	x004353	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004641	x004498	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004641	x004499	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004641	x004624	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004641	x004625	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004641	x005004	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004641	x005005	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004641	x006018	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004641	x006060	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004641	x006061	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004641	x006232	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004641	x006440	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
