Corpus	ChainLength	Chain
Voynich	87	aithar -> ithar -> ihar -> har -> cphar -> cphaiin -> ckhaiin -> ckhal -> ckham -> ctham -> cthaiin -> cthal -> cphal -> cphan -> chan -> chap -> chep -> cheain -> chedain -> cheda -> chedaiin -> chechdaiin -> cheodaiin -> chdodaiin -> chdolaiin -> cholaiin -> chalaiin -> charaiin -> araiin -> arag -> aral -> aralg -> araly -> alaly -> alaldy -> olaldy -> okaldy -> kaldy -> cphaldy -> cpholdy -> ckholdy -> ckhody -> chody -> chcthody -> chcthory -> cheory -> cheary -> chary -> ary -> amy -> asy -> alsy -> alcphy -> aloy -> aloiin -> aloiiin -> aroiiin -> araiiin -> daraiiin -> darai -> dara -> dama -> dam -> chdam -> chchdam -> chedam -> cheam -> cheamy -> chealy -> chckhaly -> chdaly -> chdaldy -> chdalchdy -> dalchdy -> dalchckhy -> dalchey -> dalched -> dalchd -> dalchy -> daichy -> daiiy -> daiig -> daiim -> daiio -> daiiol -> daiisol -> saiisol
Voynich	19	akeom -> keom -> cheom -> cheo -> checkho -> checkhol -> chedol -> chedal -> checthal -> chectham -> chekam -> chekad -> chekaiin -> cheekaiin -> cheeaiin -> cheear -> chear -> chean -> chckhan
Voynich	35	alals -> alols -> aloees -> alshees -> lshees -> dshees -> dchees -> dcheeo -> dcheeol -> dcheeor -> cheeor -> cheeod -> cheeods -> cheeody -> chdody -> chdoly -> cheoly -> cheocphy -> cheocphey -> cheockhey -> cheocthey -> cheocthy -> cheody -> cfheody -> ckheody -> ckhedy -> ckhdy -> ckheey -> cheey -> cheeg -> cheeog -> cheeos -> cheeoy -> cheesy -> cheesg
Voynich	18	alchedar -> lchedar -> chedar -> chcphdar -> cheedar -> cheedaiin -> cheepaiin -> chepaiin -> chefaiin -> chefal -> chefar -> cheefar -> cheekar -> cheetar -> cheeta -> cheet -> chet -> chchet
Voynich	54	alcheeg -> olcheeg -> okcheeg -> okcheeo -> okcheey -> chokcheey -> chekcheey -> chekchey -> chekchoy -> chekoy -> chekey -> chedey -> chedky -> chedkain -> chekain -> cheekain -> cheedain -> chodain -> cheodain -> cheod -> cheoc -> cheog -> cheg -> chef -> chefain -> chefy -> cheky -> chek -> chekl -> chedl -> cheds -> chedas -> chedan -> chetan -> cheta -> chetaiin -> cheitaiin -> cheotaiin -> chchotaiin -> chotaiin -> choaiin -> cfhoaiin -> cphoaiin -> cphoal -> choal -> cheoal -> chekoal -> chekeal -> chekea -> cheked -> chekeod -> chekeol -> chekeos -> chekeys
Voynich	20	alekeey -> alkeey -> chalkeey -> chalkeedy -> cholkeedy -> cheolkeedy -> cheolkeey -> cheoekeey -> cheokeey -> cheeokeey -> cheeokeeo -> cheokeeo -> cheokeo -> cheokcheo -> cheokchet -> cheokchey -> cheokchy -> cheodchy -> cheodeey -> cheodeeey
Voynich	20	alkeeor -> lkeeor -> dkeeor -> deeor -> daor -> daar -> daiinar -> dalar -> dalaiin -> dadaiin -> dadam -> dalam -> dalom -> alom -> aloin -> alor -> alory -> aloky -> aloly -> alold
Voynich	11	alpchdy -> lpchdy -> lchdy -> dchdy -> dchchy -> dchckhy -> dchcthy -> dcheey -> dcheedy -> dchedy -> dchckhedy
Voynich	5	alshdr -> alshdy -> alshey -> alshy -> alyshy
Voynich	14	alsheod -> olsheod -> olshed -> dolshed -> dolshedy -> dalshedy -> dalchedy -> dalkedy -> dalkshdy -> dalshdy -> daldy -> daiindy -> daiinody -> daiinoty
