Locus	LabelID	RawLabel	ParsedTokens
fRos.fRos.95	741	<!3:5>okaramal	okaramal
fRos.fRos.96	742	<!3:6>opchdy	opchdy
fRos.fRos.97	743	<!3:7>ofdora[m:?]	ofdoram
fRos.fRos.98	744	<!3:8>oda	oda
fRos.fRos.99	745	<!3:16>ofchdar	ofchdar
fRos.fRos.100	746	<!3:9>otedam	otedam
fRos.fRos.101	747	<!3:10>lokedshs	lokedshs
fRos.fRos.102	748	<!3:11>otodar	otodar
fRos.fRos.103	749	<!3:12>otedaiin	otedaiin
fRos.fRos.104	750	<!3:13>okedy	okedy
fRos.fRos.105	751	<!3:14>xoltedy	xoltedy
fRos.fRos.106	752	<!3:15>op[ch:a]dam	opchdam
fRos.fRos.107	753	<!3:19>otedy,oporam	otedy oporam
fRos.fRos.108	754	<!3:17>ot[ch:?]dy	otchdy
fRos.fRos.109	755	<!3:18>otody	otody
fRos.fRos.110	756	<!3:20>chdain	chdain
fRos.fRos.111	757	<!3:21>oted[y:?]	otedy
fRos.fRos.112	758	<!left of clock>opa{i'h}efchdy	opai'hefchdy
fRos.fRos.115	759	<!right of clock>oteoly	oteoly
fRos.fRos.116	760	<!3:1>ofod[a:y]dy	ofodady
fRos.fRos.117	761	<!3:2>opd[a:y]dy	opdady
fRos.fRos.118	762	<!3:3>otodey	otodey
fRos.fRos.119	763	<!3:4>otodedy	otodedy
fRos.fRos.120	764	<!6:1>opchdain	opchdain
fRos.fRos.121	765	<!6:2>otdar.shed	otdar shed
fRos.fRos.123	766	<!6:3>ofaraiin	ofaraiin
fRos.fRos.124	767	<!6:4>okolar	okolar
fRos.fRos.125	768	<!6:5>okchdy	okchdy
fRos.fRos.126	769	<!6:6>ykedy	ykedy
fRos.fRos.127	770	<!6:7>oteedy	oteedy
fRos.fRos.128	771	<!6:8>otosaiin	otosaiin
fRos.fRos.129	772	<!6:9>otchdam	otchdam
fRos.fRos.130	773	<!6:10>[o:?]tedy	otedy
fRos.fRos.131	774	<!6:11>okar	okar
fRos.fRos.132	775	<!6:12>lashalg	lashalg
fRos.fRos.134	776	<!9:6>o@214;alda	o@214;alda
fRos.fRos.135	777	<!9:1>osaram	osaram
fRos.fRos.136	778	<!9:7>oparodam	oparodam
fRos.fRos.146	779	<!I>dor	dor
fRos.fRos.147	780	oky	oky
fRos.fRos.148	781	roo	roo
fRos.fRos.149	782	<!II>otol	otol
fRos.fRos.150	783	ardas	ardas
fRos.fRos.151	784	l,chdy	l chdy
fRos.fRos.152	785	<!III>oparod	oparod
fRos.fRos.153	786	shckhdy	shckhdy
fRos.fRos.154	787	tshda	tshda
fRos.fRos.155	788	<!IV>opchd	opchd
fRos.fRos.156	789	opchdy	opchdy
fRos.fRos.157	790	qokal	qokal
fRos.fRos.158	791	<!V>shet[?:a]	shet?
fRos.fRos.159	792	opchsy	opchsy
fRos.fRos.160	793	che[?:o]ky	che?ky
f88r.f88r.1	794	otorchety	otorchety
f88r.f88r.2	795	osal	osal
f88r.f88r.3	796	orald	orald
f88r.f88r.4	797	oldar	oldar
f88r.f88r.5	798	otoky	otoky
f88r.f88r.6	799	otaly	otaly
f88r.f88r.12	800	otaldy	otaldy
f88r.f88r.13	801	oram	oram
f88r.f88r.14	802	dary	dary
f88r.f88r.15	803	okol	okol
f88r.f88r.16	804	sorory	sorory
f88r.f88r.17	805	otyda	otyda
f88r.f88r.23	806	ofyskydal	ofyskydal
f88r.f88r.24	807	otor,am	otor am
f88r.f88r.25	808	ofaldo	ofaldo
f88v.f88v.1	809	okalyd	okalyd
f88v.f88v.2	810	cheocthy	cheocthy
f88v.f88v.3	811	cpheor	cpheor
f88v.f88v.4	812	otar.arody	otar arody
f88v.f88v.5	813	otokol	otokol
f88v.f88v.11	814	otoram	otoram
f88v.f88v.12	815	otor[a:y]	otora
f88v.f88v.13	816	cheosdy	cheosdy
f88v.f88v.14	817	okaiin	okaiin
f88v.f88v.27	818	daramdal	daramdal
f88v.f88v.28	819	otydary	otydary
f88v.f88v.29	820	otdordy	otdordy
f88v.f88v.30	821	dararda[?:]	dararda?
f89r1.f89r1.1	822	okchshy	okchshy
f89r1.f89r1.2	823	qkol	qkol
f89r1.f89r1.3	824	oldam	oldam
f89r1.f89r1.4	825	otoldy	otoldy
f89r1.f89r1.5	826	ararchodaiin	ararchodaiin
f89r1.f89r1.11	827	ykyd	ykyd
f89r1.f89r1.12	828	chol,ches	chol ches
f89r1.f89r1.13	829	otorain	otorain
f89r1.f89r1.14	830	okaiin,dan	okaiin dan
f89r1.f89r1.24	831	ykocfhy	ykocfhy
f89r1.f89r1.25	832	saldam	saldam
f89r1.f89r1.26	833	[s:r]ydarary	sydarary
f89r1.f89r1.27	834	yd{cpo}dy	ydcpody
f89r2.f89r2.1	835	odory	odory
f89r2.f89r2.2	836	doly	doly
f89r2.f89r2.3	837	opchosam	opchosam
f89r2.f89r2.4	838	saloiinsheol	saloiinsheol
f89r2.f89r2.5	839	opcheor	opcheor
f89r2.f89r2.9	840	otold[:y]	otold
f89r2.f89r2.10	841	okol.shol.dy	okol shol dy
f89r2.f89r2.11	842	opchoroiin	opchoroiin
f89r2.f89r2.16	843	korainy	korainy
f89r2.f89r2.17	844	sodar	sodar
f89r2.f89r2.18	845	cheys	cheys
f89r2.f89r2.19	846	cheody	cheody
f89r2.f89r2.20	847	oporain	oporain
f89r2.f89r2.21	848	okshdchos	okshdchos
f89r2.f89r2.29	849	okain	okain
f89r2.f89r2.30	850	yorain	yorain
f89r2.f89r2.31	851	ofakal	ofakal
f89r2.f89r2.32	852	otalsy<!faint>	otalsy
f89r2.f89r2.33	853	ytarem	ytarem
f89r2.f89r2.34	854	otolarol	otolarol
f89v2.f89v2.1	855	choeesy	choeesy
f89v2.f89v2.2	856	okam	okam
f89v2.f89v2.3	857	darcheor	darcheor
f89v2.f89v2.4	858	chokaro	chokaro
f89v2.f89v2.5	859	sheol	sheol
f89v2.f89v2.6	860	chokam	chokam
f89v2.f89v2.11	861	otory	otory
f89v2.f89v2.12	862	otair.chody	otair chody
f89v2.f89v2.13	863	dykaran	dykaran
f89v2.f89v2.14	864	opcheedey	opcheedey
f89v2.f89v2.23	865	<!58a>opaloiiry	opaloiiry
f89v2.f89v2.24	866	<!58b>otaram	otaram
f89v2.f89v2.25	867	<!59a>chtchy	chtchy
f89v2.f89v2.27	868	<!60>sada?	sada?
f89v2.f89v2.28	869	<!61>daseky	daseky
f89v1.f89v1.1	870	okoraldy	okoraldy
f89v1.f89v1.2	871	oto{ikh}y	otoikhy
f89v1.f89v1.3	872	otchar	otchar
f89v1.f89v1.4	873	darshody	darshody
f89v1.f89v1.21	874	koeeorain	koeeorain
f89v1.f89v1.22	875	otorshos	otorshos
f89v1.f89v1.23	876	opol,olaiin	opol olaiin
f89v1.f89v1.24	877	opaldaiin	opaldaiin
f99r.f99r.1	878	<!68a>okaradag	okaradag
f99r.f99r.2	879	<!68b>okar,y	okar y
f99r.f99r.3	880	<!69>darar	darar
f99r.f99r.4	881	<!70>oky	oky
f99r.f99r.5	882	<!71>salo	salo
f99r.f99r.6	883	<!72>aro	aro
f99r.f99r.7	884	<!72>ain	ain
f99r.f99r.8	885	<!73>okor	okor
f99r.f99r.9	886	<!74>ralol	ralol
f99r.f99r.10	887	<!75>skeeal	skeeal
f99r.f99r.11	888	<!76>okary	okary
f99r.f99r.12	889	<!77>okolo	okolo
f99r.f99r.13	890	<!78>otalam	otalam
f99r.f99r.14	891	<!79>otoldy	otoldy
f99r.f99r.19	892	<!80a>oparal	oparal
f99r.f99r.20	893	<!80b>oaro	oaro
f99r.f99r.21	894	<!81>aloly	aloly
f99r.f99r.22	895	<!82>aora[?:r]	aora?
f99r.f99r.23	896	<!83>choky	choky
f99r.f99r.24	897	<!84>oky	oky
f99r.f99r.25	898	<!85a>okeoly	okeoly
f99r.f99r.26	899	<!85b>yteold	yteold
f99r.f99r.27	900	<!86a>cheotchy	cheotchy
f99r.f99r.32	901	<!87a>tsholdy	tsholdy
f99r.f99r.33	902	<!87b>okos	okos
f99r.f99r.34	903	<!87c>oekey	oekey
f99r.f99r.35	904	<!88>dar	dar
f99r.f99r.36	905	<!89>chockhi[a:y]	chockhia
f99r.f99r.37	906	<!90>r,cheyet	r cheyet
f99r.f99r.38	907	<!91>saiiny	saiiny
f99r.f99r.39	908	<!92>sory	sory
f99r.f99r.40	909	<!93>dam	dam
f99r.f99r.45	910	<!94a>yteoldy	yteoldy
f99r.f99r.46	911	<!94b>tolsasy	tolsasy
f99v.f99v.1	912	<!95a>okaramy	okaramy
f99v.f99v.2	913	<!95b>otoldy	otoldy
f99v.f99v.3	914	<!96>otor<->chy	otor chy
f99v.f99v.4	915	<!97>oldy	oldy
f99v.f99v.5	916	<!98>dar<->ary	dar ary
f99v.f99v.6	917	<!99>otaly	otaly
f99v.f99v.7	918	<!100>olsy	olsy
f99v.f99v.8	919	<!101>arol	arol
f99v.f99v.9	920	<!102>otoky	otoky
f99v.f99v.14	921	<!103a>okoldody	okoldody
f99v.f99v.15	922	<!103b>oeeesary	oeeesary
f99v.f99v.16	923	<!104>daiiinc	daiiinc
f99v.f99v.17	924	<!105>sary	sary
f99v.f99v.18	925	<!106>saiino	saiino
f99v.f99v.19	926	<!107>otolsar	otolsar
f99v.f99v.20	927	<!108>osary	osary
f99v.f99v.25	928	<!109a>darolaly	darolaly
f99v.f99v.26	929	<!109b>okechy	okechy
f99v.f99v.27	930	<!110>otal	otal
f99v.f99v.28	931	<!110b>chor.olekor	chor olekor
f99v.f99v.29	932	<!111>okeodor	okeodor
f99v.f99v.30	933	<!112>olky	olky
f99v.f99v.31	934	<!113>doldam	doldam
f99v.f99v.36	935	<!114a>oralas	oralas
f99v.f99v.44	936	<!114b>koleearol	koleearol
f100r.f100r.1	937	<!115>chosaroshol	chosaroshol
f100r.f100r.2	938	<!116>sochorcfhy	sochorcfhy
f100r.f100r.3	939	<!117>otear	otear
f100r.f100r.4	940	<!118>chofa[r:n]y	chofary
f100r.f100r.5	941	<!119>sar,char<->daiindy	sar char daiindy
f100r.f100r.6	942	<!120>o[r:s]aro	oraro
f100r.f100r.7	943	<!121>chalsain	chalsain
f100r.f100r.8	944	<!122>soity	soity
f100r.f100r.9	945	<!123>sosam	sosam
f100r.f100r.10	946	<!124>dakocth	dakocth
f100r.f100r.11	947	<!125>sofam	sofam
f100r.f100r.16	948	<!126/1st half>okeeos	okeeos
f100r.f100r.17	949	<!127>shockhey	shockhey
f100r.f100r.18	950	<!126/2nd half>orol	orol
f100r.f100r.19	951	<!128>olcheom	olcheom
f100r.f100r.20	952	<!130>oteol	oteol
f100r.f100r.21	953	<!129>okols	okols
f100v.f100v.1	954	<!131>tolchd	tolchd
f100v.f100v.2	955	<!132>chols	chols
f100v.f100v.3	956	<!133>opchor	opchor
f100v.f100v.4	957	<!134>solsy	solsy
f100v.f100v.5	958	<!135>soleesos	soleesos
f100v.f100v.6	959	<!136>ykchochdy	ykchochdy
f100v.f100v.7	960	<!137>ykchdy	ykchdy
f100v.f100v.8	961	<!138>dchdy	dchdy
f100v.f100v.9	962	<!139>dalsy	dalsy
f100v.f100v.10	963	<!140>okcheor	okcheor
f100v.f100v.11	964	<!141>ytchol	ytchol
f100v.f100v.12	965	<!142>dykchal	dykchal
f100v.f100v.13	966	<!143>chos.ctharal	chos ctharal
f101v.f101v.1	967	[s:r]airaly	sairaly
f101v.f101v.2	968	otaldy	otaldy
f101v.f101v.3	969	otol	otol
f101v.f101v.4	970	ytal	ytal
f101v.f101v.5	971	dokor	dokor
f101v.f101v.6	972	orar	orar
f101v.f101v.7	973	otarar	otarar
f101v.f101v.8	974	ot[o:a]ly	otoly
f101v.f101v.9	975	soraly	soraly
f101v.f101v.10	976	okol	okol
f101v.f101v.11	977	arom	arom
f101v.f101v.12	978	oraram	oraram
f101v.f101v.13	979	oraeep	oraeep
f101v.f101v.14	980	dytolg	dytolg
f101v.f101v.15	981	olkor	olkor
f101v.f101v.16	982	dolary	dolary
f101v.f101v.17	983	odor	odor
f101v.f101v.18	984	olaran	olaran
f102r1.f102r1.1	985	<!201a>daarod	daarod
f102r1.f102r1.2	986	<!201b>otodeeodor	otodeeodor
f102r1.f102r1.7	987	<!202a>okolaly	okolaly
f102r1.f102r1.12	988	<!203a>ddardsh	ddardsh
f102r2.f102r2.1	989	kodaiig	kodaiig
f102r2.f102r2.7	990	ok[?:o]rolda	ok?rolda
f102r2.f102r2.13	991	loeekadag<!top word>	loeekadag
f102r2.f102r2.14	992	oshea??l<!middle word>	oshea??l
f102r2.f102r2.15	993	so???dch<!bottom word>	so???dch
f102r2.f102r2.21	994	<!212>koldarod	koldarod
f102r2.f102r2.22	995	<!213>odalydary	odalydary
f102v2.f102v2.1	996	<!214a>porshols	porshols
f102v2.f102v2.2	997	<!214b>soaimy	soaimy
f102v2.f102v2.3	998	<!214c>oror	oror
f102v2.f102v2.4	999	<!215>chor	chor
f102v2.f102v2.5	1000	<!216>sachy	sachy
f102v2.f102v2.6	1001	<!217>okeo[s:r]	okeos
f102v2.f102v2.7	1002	<!218>okol	okol
f102v2.f102v2.8	1003	<!219>otory	otory
f102v2.f102v2.9	1004	<!220>ok?	ok?
f102v2.f102v2.10	1005	<!221>okody	okody
f102v2.f102v2.11	1006	<!222>cheor	cheor
f102v2.f102v2.12	1007	<!223>okoroeey	okoroeey
f102v2.f102v2.13	1008	<!224>opchy	opchy
f102v2.f102v2.14	1009	<!225>sarol	sarol
f102v2.f102v2.15	1010	<!226>olrodar	olrodar
f102v2.f102v2.16	1011	<!227>to[d:?]?	tod?
f102v2.f102v2.24	1012	<!229a>okolky	okolky
f102v2.f102v2.25	1013	<!229>osain	osain
f102v2.f102v2.26	1014	<!230>aiky	aiky
f102v2.f102v2.27	1015	<!231>okeeoraiin	okeeoraiin
f102v2.f102v2.28	1016	<!232>okockhy	okockhy
f102v2.f102v2.29	1017	<!233>os	os
f102v1.f102v1.1	1018	<!234a>keoraiiin	keoraiiin
f102v1.f102v1.2	1019	<!234b>okeody	okeody
f102v1.f102v1.3	1020	<!235>okeody	okeody
f102v1.f102v1.4	1021	<!236>daiisaly	daiisaly
f102v1.f102v1.5	1022	<!237>ypary	ypary
f102v1.f102v1.6	1023	<!238>opchyt{cy}	opchytcy
f102v1.f102v1.15	1024	<!239a>d?indy	d?indy
f102v1.f102v1.16	1025	<!239b>ypcholdy	ypcholdy
f102v1.f102v1.17	1026	<!240>loralody	loralody
f102v1.f102v1.18	1027	<!241>opchdard	opchdard
f116v.f116v.1	1028	oror.sheey<!valsch vbren so nim gaf mich o>	oror sheey
