position	support_50	support_100	support_200	support_500	support_1000	support_count	support_fraction	mean_position	mean_jump_strength	max_jump_strength	position_uncertainty
2100	1	1	0	0	0	2	0.4	2100	0.09798794940695399	0.09999999999999999	10
4140	1	1	0	0	0	2	0.4	4140	0.09798794940695399	0.09999999999999999	0
11458	1	1	0	0	0	2	0.4	11457.5	0.09798794940695399	0.09999999999999999	2.5
27220	1	1	0	0	0	2	0.4	27220	0.09798794940695399	0.09999999999999999	10
40765	1	1	0	0	0	2	0.4	40765	0.09798794940695399	0.09999999999999999	5
18468	1	1	0	0	0	2	0.4	18467.5	0.09793564443199596	0.09999999999999999	2.5
40433	1	1	0	0	0	2	0.4	40432.5	0.09793564443199596	0.09999999999999999	2.5
9078	1	1	0	0	0	2	0.4	9077.5	0.09790678494911567	0.09999999999999999	2.5
13043	1	1	0	0	0	2	0.4	13042.5	0.09786311756931665	0.09999999999999999	2.5
14913	1	1	0	0	0	2	0.4	14912.5	0.09786311756931665	0.09999999999999999	2.5
21093	1	1	0	0	0	2	0.4	21092.5	0.09786311756931665	0.09999999999999999	7.5
24275	1	1	0	0	0	2	0.4	24275	0.09786311756931665	0.09999999999999999	5
29453	1	1	0	0	0	2	0.4	29452.5	0.09786311756931665	0.09999999999999999	2.5
42923	1	1	0	0	0	2	0.4	42922.5	0.09786311756931665	0.09999999999999999	2.5
27703	1	1	0	0	0	2	0.4	27702.5	0.09781081259435861	0.09999999999999999	7.5
28528	1	1	0	0	0	2	0.4	28527.5	0.09781081259435861	0.09999999999999999	12.5
395	1	1	0	0	0	2	0.4	395	0.09775850761940061	0.09999999999999999	5
43535	1	1	0	0	0	2	0.4	43535	0.09775850761940061	0.09999999999999999	15
250	1	1	0	0	0	2	0.4	250	0.0975	0.09999999999999999	10
2065	1	1	0	0	0	2	0.4	2065	0.09748370832612178	0.09999999999999999	15
3208	1	1	0	0	0	2	0.4	3207.5	0.09748370832612178	0.09999999999999999	2.5
3633	1	1	0	0	0	2	0.4	3632.5	0.09748370832612178	0.09999999999999999	12.5
4710	1	1	0	0	0	2	0.4	4710	0.09748370832612178	0.09999999999999999	0
5140	1	1	0	0	0	2	0.4	5140	0.09748370832612178	0.09999999999999999	10
6960	1	1	0	0	0	2	0.4	6960	0.09748370832612178	0.09999999999999999	0
8745	1	1	0	0	0	2	0.4	8745	0.09748370832612178	0.09999999999999999	15
13600	1	1	0	0	0	2	0.4	13600	0.09748370832612178	0.09999999999999999	0
13790	1	1	0	0	0	2	0.4	13790	0.09748370832612178	0.09999999999999999	0
15170	1	1	0	0	0	2	0.4	15170	0.09748370832612178	0.09999999999999999	0
16128	1	1	0	0	0	2	0.4	16127.5	0.09748370832612178	0.09999999999999999	12.5
16320	1	1	0	0	0	2	0.4	16320	0.09748370832612178	0.09999999999999999	0
16578	1	1	0	0	0	2	0.4	16577.5	0.09748370832612178	0.09999999999999999	2.5
19533	1	1	0	0	0	2	0.4	19532.5	0.09748370832612178	0.09999999999999999	2.5
19618	1	1	0	0	0	2	0.4	19617.5	0.09748370832612178	0.09999999999999999	2.5
20798	1	1	0	0	0	2	0.4	20797.5	0.09748370832612178	0.09999999999999999	12.5
21425	1	1	0	0	0	2	0.4	21425	0.09748370832612178	0.09999999999999999	5
22048	1	1	0	0	0	2	0.4	22047.5	0.09748370832612178	0.09999999999999999	12.5
22448	1	1	0	0	0	2	0.4	22447.5	0.09748370832612178	0.09999999999999999	2.5
28683	1	1	0	0	0	2	0.4	28682.5	0.09748370832612178	0.09999999999999999	7.5
29688	1	1	0	0	0	2	0.4	29687.5	0.09748370832612178	0.09999999999999999	7.5
29868	1	1	0	0	0	2	0.4	29867.5	0.09748370832612178	0.09999999999999999	2.5
32060	1	1	0	0	0	2	0.4	32060	0.09748370832612178	0.09999999999999999	0
33645	1	1	0	0	0	2	0.4	33645	0.09748370832612178	0.09999999999999999	5
38983	1	1	0	0	0	2	0.4	38982.5	0.09748370832612178	0.09999999999999999	2.5
40225	1	1	0	0	0	2	0.4	40225	0.09748370832612178	0.09999999999999999	5
42318	1	1	0	0	0	2	0.4	42317.5	0.09748370832612178	0.09999999999999999	12.5
43198	1	1	0	0	0	2	0.4	43197.5	0.09748370832612178	0.09999999999999999	7.5
15963	1	1	0	0	0	2	0.4	15962.5	0.09737516816236266	0.09999999999999999	7.5
11820	1	0	1	0	0	2	0.4	11820	0.0973345859334435	0.09999999999999999	0
12440	1	1	0	0	0	2	0.4	12440	0.09731726587593865	0.10000000000000002	0
4515	1	1	0	0	0	2	0.4	4515	0.09731726587593865	0.09999999999999999	15
20555	1	1	0	0	0	2	0.4	20555	0.09731726587593865	0.09999999999999999	5
8083	1	1	0	0	0	2	0.4	8082.5	0.09731726587593864	0.09999999999999999	2.5
10605	1	1	0	0	0	2	0.4	10605	0.09731726587593864	0.09999999999999999	15
10733	1	1	0	0	0	2	0.4	10732.5	0.09731726587593864	0.09999999999999999	7.5
12815	1	1	0	0	0	2	0.4	12815	0.09731726587593864	0.09999999999999999	15
15475	1	1	0	0	0	2	0.4	15475	0.09731726587593864	0.09999999999999999	15
16743	1	1	0	0	0	2	0.4	16742.5	0.09731726587593864	0.09999999999999999	2.5
17700	1	1	0	0	0	2	0.4	17700	0.09731726587593864	0.09999999999999999	0
19215	1	1	0	0	0	2	0.4	19215	0.09731726587593864	0.09999999999999999	5
21280	1	1	0	0	0	2	0.4	21280	0.09731726587593864	0.09999999999999999	0
22123	1	1	0	0	0	2	0.4	22122.5	0.09731726587593864	0.09999999999999999	7.5
22258	1	1	0	0	0	2	0.4	22257.5	0.09731726587593864	0.09999999999999999	7.5
22873	1	1	0	0	0	2	0.4	22872.5	0.09731726587593864	0.09999999999999999	7.5
25680	1	1	0	0	0	2	0.4	25680	0.09731726587593864	0.09999999999999999	0
27833	1	1	0	0	0	2	0.4	27832.5	0.09731726587593864	0.09999999999999999	7.5
28865	1	1	0	0	0	2	0.4	28865	0.09731726587593864	0.09999999999999999	5
36733	1	1	0	0	0	2	0.4	36732.5	0.09731726587593864	0.09999999999999999	2.5
37313	1	1	0	0	0	2	0.4	37312.5	0.09731726587593864	0.09999999999999999	2.5
38493	1	1	0	0	0	2	0.4	38492.5	0.09731726587593864	0.09999999999999999	2.5
40950	1	1	0	0	0	2	0.4	40950	0.09731726587593864	0.09999999999999999	10
11725	1	0	1	0	0	2	0.4	11725	0.0972764999298827	0.09999999999999999	15
31818	1	1	0	0	0	2	0.4	31817.5	0.09724752590932795	0.09999999999999999	12.5
35435	1	1	0	0	0	2	0.4	35435	0.09724752590932795	0.09999999999999999	5
42275	1	1	0	0	0	2	0.4	42275	0.09724752590932795	0.09999999999999999	15
45	1	1	0	0	0	2	0.4	45	0.09716917186688699	0.09999999999999999	15
8503	1	1	0	0	0	2	0.4	8502.5	0.09715082342575553	0.09999999999999999	7.5
12698	1	1	0	0	0	2	0.4	12697.5	0.09715082342575553	0.09999999999999999	12.5
35858	1	1	0	0	0	2	0.4	35857.5	0.09715082342575553	0.09999999999999999	7.5
14628	1	1	0	0	0	2	0.4	14627.5	0.09711941547876375	0.09999999999999999	2.5
28425	1	1	0	0	0	2	0.4	28425	0.09704434002924965	0.09999999999999999	15
773	1	1	0	0	0	2	0.4	772.5	0.09704260414863776	0.09999999999999999	2.5
11093	1	1	0	0	0	2	0.4	11092.5	0.09701134349253414	0.09999999999999999	2.5
42120	1	1	0	0	0	2	0.4	42120	0.09688721875540868	0.09999999999999999	0
29265	1	1	0	0	0	2	0.4	29265	0.09688058452123625	0.09999999999999999	15
17005	1	1	0	0	0	2	0.4	17005	0.09682003399914584	0.09999999999999999	5
43573	1	1	0	0	0	2	0.4	43572.5	0.0966808535810165	0.09999999999999999	2.5
358	1	1	0	0	0	2	0.4	357.5	0.09666666666666668	0.09999999999999999	2.5
41218	1	1	0	0	0	2	0.4	41217.5	0.09666666666666668	0.09999999999999999	2.5
20928	1	1	0	0	0	2	0.4	20927.5	0.09666666666666666	0.09999999999999999	12.5
30858	1	1	0	0	0	2	0.4	30857.5	0.09666666666666666	0.09999999999999999	7.5
33600	1	1	0	0	0	2	0.4	33600	0.09666666666666666	0.09999999999999999	0
37730	1	1	0	0	0	2	0.4	37730	0.09666666666666666	0.09999999999999999	10
14955	1	0	1	0	0	2	0.4	14955	0.09654638285291847	0.09999999999999999	5
23415	1	0	1	0	0	2	0.4	23415	0.09648688052398062	0.09999999999999999	5
18288	1	0	1	0	0	2	0.4	18287.5	0.09646953719265966	0.09999999999999999	12.5
2653	1	0	1	0	0	2	0.4	2652.5	0.09644338470518064	0.09999999999999999	7.5
21130	1	0	1	0	0	2	0.4	21130	0.09639539852780213	0.09999999999999999	10
9028	1	1	0	0	0	2	0.4	9027.5	0.0963903595255632	0.09999999999999999	2.5
22900	1	0	1	0	0	2	0.4	22900	0.0963285606369205	0.09999999999999999	0
4295	1	0	1	0	0	2	0.4	4295	0.09628141748406788	0.09999999999999999	5
3920	1	1	0	0	0	2	0.4	3920	0.09622556248918267	0.09999999999999999	10
21568	1	1	0	0	0	2	0.4	21567.5	0.09622556248918267	0.09999999999999999	7.5
32210	1	1	0	0	0	2	0.4	32210	0.09622556248918267	0.09999999999999999	10
40098	1	1	0	0	0	2	0.4	40097.5	0.09622556248918267	0.09999999999999999	7.5
455	1	1	0	0	0	2	0.4	455	0.09622556248918265	0.09999999999999999	5
1043	1	1	0	0	0	2	0.4	1042.5	0.09622556248918265	0.09999999999999999	7.5
2215	1	1	0	0	0	2	0.4	2215	0.09622556248918265	0.09999999999999999	5
10328	1	1	0	0	0	2	0.4	10327.5	0.09622556248918265	0.09999999999999999	12.5
11373	1	1	0	0	0	2	0.4	11372.5	0.09622556248918265	0.09999999999999999	7.5
11765	1	1	0	0	0	2	0.4	11765	0.09622556248918265	0.09999999999999999	5
13575	1	1	0	0	0	2	0.4	13575	0.09622556248918265	0.09999999999999999	5
13640	1	1	0	0	0	2	0.4	13640	0.09622556248918265	0.09999999999999999	10
14260	1	1	0	0	0	2	0.4	14260	0.09622556248918265	0.09999999999999999	10
14358	1	1	0	0	0	2	0.4	14357.5	0.09622556248918265	0.09999999999999999	7.5
14393	1	1	0	0	0	2	0.4	14392.5	0.09622556248918265	0.09999999999999999	2.5
17933	1	1	0	0	0	2	0.4	17932.5	0.09622556248918265	0.09999999999999999	7.5
21933	1	1	0	0	0	2	0.4	21932.5	0.09622556248918265	0.09999999999999999	2.5
25495	1	1	0	0	0	2	0.4	25495	0.09622556248918265	0.09999999999999999	5
26510	1	1	0	0	0	2	0.4	26510	0.09622556248918265	0.09999999999999999	10
26640	1	1	0	0	0	2	0.4	26640	0.09622556248918265	0.09999999999999999	0
31850	1	1	0	0	0	2	0.4	31850	0.09622556248918265	0.09999999999999999	0
33890	1	1	0	0	0	2	0.4	33890	0.09622556248918265	0.09999999999999999	10
37073	1	1	0	0	0	2	0.4	37072.5	0.09622556248918265	0.09999999999999999	7.5
37465	1	1	0	0	0	2	0.4	37465	0.09622556248918265	0.09999999999999999	5
39193	1	1	0	0	0	2	0.4	39192.5	0.09622556248918265	0.09999999999999999	7.5
39913	1	1	0	0	0	2	0.4	39912.5	0.09622556248918265	0.09999999999999999	2.5
41523	1	1	0	0	0	2	0.4	41522.5	0.09622556248918265	0.09999999999999999	2.5
43023	1	1	0	0	0	2	0.4	43022.5	0.09622556248918265	0.09999999999999999	7.5
23870	1	0	1	0	0	2	0.4	23870	0.09614131288046449	0.09999999999999999	10
