target	model	split	balanced_accuracy	macro_f1	cross_entropy	block_permutation_p	permutations
currier	multinomial_logistic	leave_physical_block_out	0.0019083969465648854	0.0018450184501845018	3.719755207460293	1	1000
currier	second_order_logistic	leave_physical_block_out	0.11144578313253012	0.14122137404580154	29.80568572857689	0.6173826173826173	1000
currier	majority_baseline	leave_physical_block_out	0.25	0.16334164588528677	1.2582900407774555		0
currier	class_frequency_random	leave_physical_block_out	0.24594363031922029	0.24542823366352778	1.1726333547077616		0
hand	multinomial_logistic	leave_physical_block_out	0.044444444444444446	0.045977011494252866	2.251533675787859	0.9040959040959041	1000
hand	second_order_logistic	leave_physical_block_out	0.08016064257028112	0.12627318270793933	30.956977361364572	0.7382617382617382	1000
hand	majority_baseline	leave_physical_block_out	0.3333333333333333	0.2380952380952381	0.9950269901795231		0
hand	class_frequency_random	leave_physical_block_out	0.36507037157639566	0.3632069206203654	0.9615218577784083		0
joint	multinomial_logistic	leave_physical_block_out	0.0019083969465648854	0.0018450184501845018	3.719755207460293	1	1000
joint	second_order_logistic	leave_physical_block_out	0.11144578313253012	0.14122137404580154	29.80568572857689	0.6343656343656343	1000
joint	majority_baseline	leave_physical_block_out	0.25	0.16334164588528677	1.2582900407774555		0
joint	class_frequency_random	leave_physical_block_out	0.24286881817607375	0.24161099846637218	1.1726333547077616		0
