corpus_id	representation_id	family	metric_id	regime	checkpoint_requested	checkpoint_actual	replicate	seed	value	comparable
C06	MUSIC-R2	S	S01_TRANSITION_DENSITY	MATCHED_VOCAB	5000	4999	0	5819448862969934071	0.409972299169	true
C06	MUSIC-R2	S	S02_TRANSITION_ZERO_DENSITY	MATCHED_VOCAB	5000	4999	0	5819448862969934071	0.590027700831	true
C06	MUSIC-R2	S	S03_TRANSITION_ENTROPY_NORM	MATCHED_VOCAB	5000	4999	0	5819448862969934071	0.646733082568	true
C06	MUSIC-R2	S	S06_PREFERRED_TRANSITION_FRACTION	MATCHED_VOCAB	5000	4999	0	5819448862969934071	0.15306122449	true
C06	MUSIC-R2	S	S07_DEPLETED_TRANSITION_FRACTION	MATCHED_VOCAB	5000	4999	0	5819448862969934071	0.367346938776	true
C06	MUSIC-R2	S	S08_HIGHER_ORDER_PREDICTIVE_GAIN	MATCHED_VOCAB	5000	4999	0	5819448862969934071	0.101914515396	true
C06	MUSIC-R2	S	S04_REPEATED_BIGRAM_TYPES		5000	4999	0	5819448862969934071	117	true
C06	MUSIC-R2	S	S05_REPEATED_TRIGRAM_TYPES		5000	4999	0	5819448862969934071	322	true
C06	MUSIC-R2	D	D_LINE_COHERENCE		5000	4999	0	5819448862969934071	0.640574960731	true
C06	MUSIC-R2	D	D_LINE_EXCLUSIVITY		5000	4999	0	5819448862969934071	0.105263157895	true
C06	MUSIC-R2	D	D_LINE_VARIANCE_SHARE		5000	4999	0	5819448862969934071	0	true
C06	MUSIC-R2	D	D_LINE_PROGRESSION		5000	4999	0	5819448862969934071	0	true
C06	MUSIC-R2	D	D_SECTION_COHERENCE		5000	4999	0	5819448862969934071	0.789473684211	true
C06	MUSIC-R2	D	D_SECTION_EXCLUSIVITY		5000	4999	0	5819448862969934071	0.210526315789	true
C06	MUSIC-R2	D	D_SECTION_VARIANCE_SHARE		5000	4999	0	5819448862969934071	0	true
C06	MUSIC-R2	D	D_SECTION_PROGRESSION		5000	4999	0	5819448862969934071	0	true
C06	MUSIC-R2	D	D_PAGE_COHERENCE		5000	4999	0	5819448862969934071	0.579474389846	true
