transcription	model_class	candidate_id	failed	failure_reason	dev_pm2	complexity_total	structure_cost	lexicon_cost	exception_cost	free_params	states	rules	components
ZL3b	M4	M4-011	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
ZL3b	M4	M4-012	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
ZL3b	M4	M4-013	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
ZL3b	M4	M4-014	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
ZL3b	M4	M4-015	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
ZL3b	M4	M4-016	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
ZL3b	M4	M4-017	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
ZL3b	M4	M4-018	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
ZL3b	M4	M4-019	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
ZL3b	M4	M4-020	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
ZL3b	M4	M4-021	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
ZL3b	M4	M4-022	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
ZL3b	M4	M4-023	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
ZL3b	M4	M4-024	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
ZL3b	M4	M4-025	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
ZL3b	M4	M4-026	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
ZL3b	M4	M4-027	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
ZL3b	M5	M5-001	FALSE		2.141246215	88486.86892	78.75951928	4165.157793	84242.95161	0	0	12	382
ZL3b	M5	M5-002	FALSE		2.199049759	79359.92954	108.0579114	7535.246112	71716.62551	0	0	12	677
ZL3b	M5	M5-003	FALSE		2.141246215	88486.86892	78.75951928	4165.157793	84242.95161	0	0	12	382
ZL3b	M5	M5-004	FALSE		2.199049759	79359.92954	108.0579114	7535.246112	71716.62551	0	0	12	677
ZL3b	M5	M5-005	FALSE		2.141246215	88486.86892	78.75951928	4165.157793	84242.95161	0	0	12	382
ZL3b	M5	M5-006	FALSE		2.199049759	79359.92954	108.0579114	7535.246112	71716.62551	0	0	12	677
ZL3b	M5	M5-007	FALSE		2.334268035	57371.64192	282.1201239	15129.32692	41960.19488	0	0	34	1320
ZL3b	M5	M5-008	FALSE		2.379775762	50198.82385	443.9282116	29354.01167	20400.88397	0	0	39	2399
ZL3b	M5	M5-009	FALSE		2.334267199	57318.70801	282.0326611	15047.05724	41989.6181	0	0	32	1314
ZL3b	M5	M5-010	FALSE		2.379775762	50198.82385	443.9282116	29354.01167	20400.88397	0	0	39	2399
ZL3b	M5	M5-011	FALSE		2.334129701	57248.3225	273.9395517	14817.10702	42157.27592	0	0	30	1297
ZL3b	M5	M5-012	FALSE		2.379168698	49845.84123	422.9810313	28692.03235	20730.82784	0	0	36	2353
ZL3b	M5	M5-013	FALSE		2.462637037	47077.06015	701.8807924	36158.91916	10216.2602	0	0	74	2930
ZL3b	M5	M5-014	FALSE		2.448656222	60395.39148	992.1396302	55808.29243	3594.959424	0	0	87	4293
ZL3b	M5	M5-015	FALSE		2.46212419	46237.40468	663.9458354	34856.42702	10717.03182	0	0	62	2839
ZL3b	M5	M5-016	FALSE		2.447894155	59321.37466	941.7739982	54360.42768	4019.17298	0	0	77	4194
ZL3b	M5	M5-017	FALSE		2.460598417	45377.02267	606.6817578	33134.49384	11635.84707	0	0	53	2716
ZL3b	M5	M5-018	FALSE		2.443688734	56711.01812	816.5381227	50335.56893	5558.911075	0	0	63	3915
IT2a	M0	M0-001	FALSE		10.35973224	87347.58625	7.5	87340.08625	0	1	1	0	6255
IT2a	M0	M0-002	FALSE		10.37547422	87347.58625	7.5	87340.08625	0	1	1	0	6255
IT2a	M0	M0-003	FALSE		10.409319	87347.58625	7.5	87340.08625	0	1	1	0	6255
IT2a	M1	M1-001	FALSE		3.90209017	248.6006378	7.5	241.1006378	0	1	1	0	0
IT2a	M1	M1-002	FALSE		3.902091226	248.6006378	7.5	241.1006378	0	1	1	0	0
IT2a	M1	M1-003	FALSE		3.902096953	248.6006378	7.5	241.1006378	0	1	1	0	0
IT2a	M1	M1-004	FALSE		2.440022812	663.9869116	422.8862738	241.1006378	0	34	34	0	0
IT2a	M1	M1-005	FALSE		2.440031624	663.9869116	422.8862738	241.1006378	0	34	34	0	0
IT2a	M1	M1-006	FALSE		2.440070055	663.9869116	422.8862738	241.1006378	0	34	34	0	0
IT2a	M1	M1-007	FALSE		2.233519522	6894.781018	6653.68038	241.1006378	0	529	529	0	0
IT2a	M1	M1-008	FALSE		2.233648165	6894.781018	6653.68038	241.1006378	0	529	529	0	0
IT2a	M1	M1-009	FALSE		2.234158091	6894.781018	6653.68038	241.1006378	0	529	529	0	0
IT2a	M1	M1-010	FALSE		2.148205574	38778.82439	38537.72376	241.1006378	0	3062	3062	0	0
IT2a	M1	M1-011	FALSE		2.148907508	38778.82439	38537.72376	241.1006378	0	3062	3062	0	0
IT2a	M1	M1-012	FALSE		2.151617307	38778.82439	38537.72376	241.1006378	0	3062	3062	0	0
IT2a	M1	M1-013	FALSE		2.077315318	118822.5006	118581.4	241.1006378	0	9421	9421	0	0
IT2a	M1	M1-014	FALSE		2.078686701	118822.5006	118581.4	241.1006378	0	9421	9421	0	0
IT2a	M1	M1-015	FALSE		2.084213867	118822.5006	118581.4	241.1006378	0	9421	9421	0	0
IT2a	M1	M1-016	FALSE		2.041672869	241739.0752	241497.9746	241.1006378	0	19186	19186	0	0
IT2a	M1	M1-017	FALSE		2.042764165	241739.0752	241497.9746	241.1006378	0	19186	19186	0	0
IT2a	M1	M1-018	FALSE		2.047916217	241739.0752	241497.9746	241.1006378	0	19186	19186	0	0
IT2a	M2	M2-001	FALSE		2.262178784	6894.781018	6653.68038	241.1006378	0	529	529	0	0
IT2a	M2	M2-002	FALSE		2.262856952	5787.084288	5545.98365	241.1006378	0	441	441	0	0
IT2a	M2	M2-003	FALSE		2.2644756	4893.374426	4652.273788	241.1006378	0	370	370	0	0
IT2a	M2	M2-004	FALSE		2.191848385	118822.5006	118581.4	241.1006378	0	9421	9421	0	0
IT2a	M2	M2-005	FALSE		2.208407329	67213.90295	66972.80232	241.1006378	0	5321	5321	0	0
