token	global_count	eligible_blocks	joint_classes	outgoing_profile_stability	incoming_profile_stability	outgoing_entropy_effect	incoming_entropy_effect
x000001	602	58	4	0.6707684264	0.6480437887	0.4540737984	0.443696102
x000002	576	59	4	0.6737468518	0.6524520623	0.4601119462	0.4479883186
x000003	575	61	4	0.6693224884	0.6498736287	0.4546809961	0.4491552988
x000016	341	35	4	0.6699864277	0.6548242315	0.4705215403	0.467790475
x000026	182	13	4	0.6629730238	0.6209318668	0.4680635102	0.5017226924
x000036	186	13	4	0.6294109444	0.5981696632	0.4232594332	0.4306378195
