source	target	relation	eligible_blocks	joint_classes	currier_classes	hands	median_log2_enrichment	sign_consistency	transfer_fraction	empirical_p	fdr_q	status
x000039	x000386	preferred	8	4	G0,G1,G2,G3	generic	1.827846064	1	1	0.000399960004	0.02315846847	BACKBONE_PREFERRED
x000046	x000157	preferred	5	2	G0,G1	generic	1.572657991	0.8	0.8	0.000399960004	0.02315846847	BACKBONE_PREFERRED
x000048	x000158	preferred	7	4	G0,G1,G2,G3	generic	0.9631195228	0.8571428571	0.8571428571	9.9990001e-05	0.01230293637	BACKBONE_PREFERRED
x000052	x000086	preferred	4	3	G0,G2,G3	generic	0.9896696983	0.75	0.75	0.000299970003	0.02109074807	BACKBONE_PREFERRED
x000052	x000434	preferred	4	3	G0,G2,G3	generic	1.439722578	1	1	0.000299970003	0.02109074807	BACKBONE_PREFERRED
x000055	x000135	preferred	5	2	G0,G1	generic	1.194075614	0.8	0.8	0.000299970003	0.02109074807	BACKBONE_PREFERRED
x000055	x000261	preferred	5	2	G0,G1	generic	1.675206571	0.8	0.8	0.000399960004	0.02315846847	BACKBONE_PREFERRED
x000056	x000123	preferred	8	3	G0,G1,G2	generic	1.535394279	0.75	0.75	0.000899910009	0.03543245675	BACKBONE_PREFERRED
x000056	x000318	preferred	8	3	G0,G1,G2	generic	0.284520554	1	1	0.001299870013	0.04265017943	BACKBONE_PREFERRED
x000058	x000046	preferred	4	3	G0,G2,G3	generic	0.04519863302	0.75	0.75	0.001099890011	0.03866637146	BACKBONE_PREFERRED
x000058	x000159	preferred	4	3	G0,G2,G3	generic	0.9513851314	0.75	0.75	0.000599940006	0.02768160684	BACKBONE_PREFERRED
