record_type	token	count	token_a	token_b	distance	property	raw_value	normalized_value	mean_a	mean_b	delta	raw_mean_a	raw_mean_b	trajectory_correlation	mean_absolute_difference
token_property	x000026	520				effective_predecessor_count	139.0775823035654	2.357213569673854							
token_property	x000026	520				effective_successor_count	312.81250086777317	3.5892421617381625							
token_property	x000026	520				frequency_rank	12	-1.6609156546894204							
token_property	x000026	520				global_count	520	3.0610599970720487							
token_property	x000026	520				global_frequency_probability	0.01189577471232814	4.165739733539316							
token_property	x000026	520				grapheme_length	7	0							
token_property	x000026	520				line_end_probability	0.07884615384615384	-0.13256512931310668							
token_property	x000026	520				line_start_probability	0.04230769230769231	-0.5304471225734531							
token_property	x000026	520				log_global_count	6.255750041753367	3.0610599970720487							
token_property	x000026	520				max_predecessor_probability	0.04216867469879518	-1.0919648995092848							
token_property	x000026	520				max_structural_similarity	0.806171460384182	1.9102503863054983							
token_property	x000026	520				max_successor_probability	0.022964509394572025	-1.2148884396789736							
token_property	x000026	520				mean_position	6.571153846153846	0.7025391165541136							
token_property	x000026	520				mean_structural_similarity_to_all	0.31845666751033697	0.9308809589837443							
token_property	x000026	520				median_position	6	0.22135383676828416							
token_property	x000026	520				normalized_frequency_rank	0.02142857142857143	-1.6609156546894204							
token_property	x000026	520				normalized_mean_position	0.5378350421888315	0.574445493727265							
token_property	x000026	520				positional_entropy	3.743935953847769	1.3896687771150564							
token_property	x000026	520				positional_specialization	0.04170954823867257	-0.5586724879124788							
token_property	x000026	520				predecessor_entropy	7.119746082653409	2.3047399385308647							
token_property	x000026	520				structural_degree_above_0_5	15	0.930881549990438							
token_property	x000026	520				structural_degree_above_0_6	3	0.9863405072910884							
token_property	x000026	520				structural_degree_above_0_7	1	1.5366473845379804							
token_property	x000026	520				successor_entropy	8.289154357725536	3.4676550191092157							
token_property	x000026	520				top3_predecessor_mass	0.10843373493975904	-1.2661602213395329							
token_property	x000026	520				top3_successor_mass	0.05636743215031315	-1.6074027941060782							
token_property	x000026	520				top5_predecessor_mass	0.1646586345381526	-1.4104646291927594							
token_property	x000026	520				top5_successor_mass	0.08350730688935282	-1.8630952772827807							
token_property	x000026	520				unique_grapheme_count	4	-1.6051715782103253							
token_property	x000026	520				unique_predecessor_count	236	2.701657479989003							
token_property	x000026	520				unique_successor_count	371	3.365349773702398							
token_property	x000027	571				effective_predecessor_count	120.41090390612081	2.196497841340692							
token_property	x000027	571				effective_successor_count	334.5117788537869	3.6740734258824816							
token_property	x000027	571				frequency_rank	7	-1.6918451827097074							
token_property	x000027	571				global_count	571	3.1607165886863497							
token_property	x000027	571				global_frequency_probability	0.013062475693729553	4.623020677169332							
token_property	x000027	571				grapheme_length	7	0							
token_property	x000027	571				line_end_probability	0.07355516637478109	-0.20688640525310795							
