corpus_id	representation_id	family	metric_id	regime	estimate	bootstrap_mean	bootstrap_sd	ci_level	ci_low	ci_high	n_valid
C01	LATIN-EXPANDED	S	S02_TRANSITION_ZERO_DENSITY	TOP_100	0.9081	0.9339595	0.00181565683707	0.95	0.9305	0.9375025	200
C01	LATIN-EXPANDED	S	S03_TRANSITION_ENTROPY_NORM	TOP_100	0.670355150085	0.641393314806	0.0046466121805	0.95	0.632360982561	0.6497378812	200
C01	LATIN-EXPANDED	S	S06_PREFERRED_TRANSITION_FRACTION	TOP_100	0.125	0.116010290662	0.0474453049783	0.95	0.0357142857143	0.214363354037	200
C01	LATIN-EXPANDED	S	S07_DEPLETED_TRANSITION_FRACTION	TOP_100	0.541666666667	0.584551658724	0.0641204017279	0.95	0.478209109731	0.714532019704	200
C01	LATIN-EXPANDED	S	S08_HIGHER_ORDER_PREDICTIVE_GAIN	TOP_100	0.380517220046	0.348077388941	0.00972046912285	0.95	0.3265736748	0.365927472489	200
C01	LATIN-EXPANDED	S	S01_TRANSITION_DENSITY	TOP_250	0.02928	0.02077448	0.000420276777374	0.95	0.019984	0.0214408	200
C01	LATIN-EXPANDED	S	S02_TRANSITION_ZERO_DENSITY	TOP_250	0.97072	0.97922552	0.000420276777374	0.95	0.9785592	0.980016	200
C01	LATIN-EXPANDED	S	S03_TRANSITION_ENTROPY_NORM	TOP_250	0.634963206388	0.608125579358	0.00275881426367	0.95	0.602742076977	0.612965071682	200
C01	LATIN-EXPANDED	S	S06_PREFERRED_TRANSITION_FRACTION	TOP_250	0.08	0.113694530612	0.0489019062988	0.95	0.0384259259259	0.217391304348	200
C01	LATIN-EXPANDED	S	S07_DEPLETED_TRANSITION_FRACTION	TOP_250	0.56	0.582128464803	0.0572099568254	0.95	0.477971014493	0.689805097451	200
C01	LATIN-EXPANDED	S	S08_HIGHER_ORDER_PREDICTIVE_GAIN	TOP_250	0.343553312929	0.310796575241	0.00661901932993	0.95	0.297195454591	0.324197892752	200
C01	LATIN-EXPANDED	S	S01_TRANSITION_DENSITY	MATCHED_VOCAB	0.0105588782541	0.00730184526943	0.000120555348725	0.95	0.00705988051365	0.00753084441596	200
C01	LATIN-EXPANDED	S	S02_TRANSITION_ZERO_DENSITY	MATCHED_VOCAB	0.989441121746	0.992698154731	0.000120555348725	0.95	0.992469155584	0.992940119486	200
C01	LATIN-EXPANDED	S	S03_TRANSITION_ENTROPY_NORM	MATCHED_VOCAB	0.609682877064	0.582315707992	0.00180168189755	0.95	0.578908214475	0.585611030879	200
C01	LATIN-EXPANDED	S	S06_PREFERRED_TRANSITION_FRACTION	MATCHED_VOCAB	0.153846153846	0.113498834214	0.0494268706748	0.95	0.037037037037	0.227272727273	200
C01	LATIN-EXPANDED	S	S07_DEPLETED_TRANSITION_FRACTION	MATCHED_VOCAB	0.576923076923	0.576840246759	0.0585009474491	0.95	0.444444444444	0.692391304348	200
C01	LATIN-EXPANDED	S	S08_HIGHER_ORDER_PREDICTIVE_GAIN	MATCHED_VOCAB	0.314989811605	0.276422788317	0.00499149561321	0.95	0.266070989033	0.28548225035	200
C01	LATIN-EXPANDED	S	S04_REPEATED_BIGRAM_TYPES		1055	4020.055	93.069984286	0.95	3862.85	4224	200
C01	LATIN-EXPANDED	S	S05_REPEATED_TRIGRAM_TYPES		271	3247.215	97.0561629934	0.95	3092.95	3460.05	200
C01	LATIN-EXPANDED	L	L01_LINE_TOKEN_COUNT_MEAN		0	5.58756103584	0.02627254702	0.95	5.54365605659	5.63842469791	74
C01	LATIN-EXPANDED	L	L02_LINE_SYMBOL_COUNT_MEAN		0	31.0730518317	0.0973947239374	0.95	30.8950265252	31.2432802829	74
C01	LATIN-EXPANDED	L	L03_BOUNDARY_SPECIALIZATION		0	0.718767283391	0.00268654217895	0.95	0.713628494794	0.723261738264	74
C01	LATIN-EXPANDED	L	L04_POSITION_PROGRESSION		0	0.0318267505434	0.00654214461719	0.95	0.0175093438353	0.0451429535579	74
C01	LATIN-EXPANDED	L	L05_LINE_ASYMMETRY		0	0.259678884285	0.00402913998149	0.95	0.251848318707	0.268515732737	74
C01	LATIN-EXPANDED	L	L06_SAME_LINE_COOCCURRENCE_DENSITY		0	0	0	0.95	0	0	0
C01	LATIN-EXPANDED	L	L07_SAME_LINE_NONCOOCCURRENCE_DENSITY		0	0	0	0.95	0	0	0
C01	LATIN-EXPANDED	D	D_LINE_COHERENCE		0	0.0114394858375	0.000368568552014	0.95	0.0106701307406	0.0120972528982	74
C01	LATIN-EXPANDED	D	D_LINE_EXCLUSIVITY		0	0.412642747033	0.00819189935202	0.95	0.393789495245	0.428956547871	74
C01	LATIN-EXPANDED	D	D_LINE_VARIANCE_SHARE		0	0.162869437157	0.00394960126831	0.95	0.156053303553	0.17031680613	74
C01	LATIN-EXPANDED	D	D_LINE_PROGRESSION		0	-4.66121813182e-07	4.00842358242e-06	0.95	-8.5158047597e-06	6.92052158603e-06	74
C01	LATIN-EXPANDED	D	D_SECTION_COHERENCE		0.110901859608	0.101114331135	0.00188843034313	0.95	0.0975576850268	0.10468547995	200
C01	LATIN-EXPANDED	D	D_SECTION_EXCLUSIVITY		0.793268511593	0.808071776905	0.00366994030809	0.95	0.802178753393	0.815955027835	200
C01	LATIN-EXPANDED	D	D_SECTION_VARIANCE_SHARE		0.00190372364731	0.00211614946994	0.000660032935552	0.95	0.00107890783483	0.00356621163525	200
C01	LATIN-EXPANDED	D	D_SECTION_PROGRESSION		-0.00536882597197	-0.000423356674989	0.00874832336282	0.95	-0.015433616407	0.015202673895	200
C01	LATIN-EXPANDED	D	D_PAGE_COHERENCE		0.0681943924131	0.062440668192	0.00123383250806	0.95	0.0603961233052	0.0649069630363	200
C01	LATIN-EXPANDED	D	D_PAGE_EXCLUSIVITY		0.712191473448	0.734851658101	0.00397141148352	0.95	0.728563571593	0.742844468414	200
C01	LATIN-EXPANDED	D	D_PAGE_VARIANCE_SHARE		0.00985044317999	0.0124060186857	0.00166403009644	0.95	0.00917870583723	0.0157777699897	200
C01	LATIN-EXPANDED	D	D_PAGE_PROGRESSION		-0.000142497387115	0.000316003353743	0.000509202024074	0.95	-0.000506791680383	0.00125322069518	200
C01	LATIN-EXPANDED	D	D_LOCUS_COHERENCE		0.21780104712	0.165885106841	0.0781176181255	0.95	0.0711618849968	0.327009489682	200
C01	LATIN-EXPANDED	D	D_LOCUS_EXCLUSIVITY		0.78219895288	0.79970219829	0.00652756957826	0.95	0.785712072933	0.810254740641	200
C01	LATIN-EXPANDED	D	D_LOCUS_VARIANCE_SHARE		0.00220039224763	0.00300575656509	0.000891926604696	0.95	0.00159514899942	0.00492038315427	200
C01	LATIN-EXPANDED	D	D_LOCUS_PROGRESSION		-0.00233140032476	0.00502379780614	0.0049558065703	0.95	-0.00458707055885	0.0123934141041	200
