mechanism	corpus	replicates	token_order_bits	token_order_ci_lo	token_order_ci_hi	edge_order_bits	weighted_entropy	giant_component_fraction	exact_adjacent_repeat_rate	h1	h2	h3	h4	position_gain_bits	order_gain_bits	adjacent_near_rate	residual_adjacency	correlation_length_tokens	cluster_stability	within_cluster_drift	line_boundary_delta	topology
M2_HOMOPHONY_H2	Longfellow	5	0.209081757	0.207643199	0.210520315	0.0894203836	0.834604042	0	3.66139426e-05	4.97550827	4.10530874	3.28858782	2.2734172	0.266402878	0.71882758	0.00215866489	-0.0126476375	0	0	0	0	NOT_COMPUTED
M2_HOMOPHONY_H4	Astafiev	5	0.0681401212	0.065919399	0.0703608434	0.291983512	0.718944876	0	6.34450671e-05	6.21310415	5.01788816	3.68365837	1.9509735	0.372468931	0.965857479	0.0135859214	-0.0177069412	0	0	0	0	NOT_COMPUTED
M2_HOMOPHONY_H4	Doyle	5	-0.0291094937	-0.0311289279	-0.0270900595	0.068264946	0.886004102	0	4.43680328e-05	5.73205712	4.90059783	3.80211923	2.10640608	0.289677558	0.666493207	0.00318951726	-0.00571574056	0	0	0	0	NOT_COMPUTED
M2_HOMOPHONY_H4	Longfellow	5	0.00473962597	0.00154735252	0.00793189941	0.0825989417	0.83424087	0	0	5.82070404	4.92403276	3.71672964	1.91824359	0.265767046	0.681213391	0.00100979562	-0.00484498407	0	0	0	0	NOT_COMPUTED
M2_HOMOPHONY_H8	Astafiev	5	0.00608747387	0.00417012138	0.00800482635	0.211579161	0.718009286	0	3.17225336e-05	7.05685785	5.79000238	3.59997598	1.18076625	0.370229168	0.816685313	0.0130577211	-0.0175696601	0	0	0	0	NOT_COMPUTED
M2_HOMOPHONY_H8	Doyle	5	-0.0457464888	-0.046902105	-0.0445908726	0.0551330653	0.885276722	0	1.10920082e-05	6.54826857	5.64999445	3.71446496	1.36289197	0.288093396	0.548218484	0.00181314914	-0.00436414321	0	0	0	0	NOT_COMPUTED
M2_HOMOPHONY_H8	Longfellow	5	-0.0302181493	-0.0321540073	-0.0282822913	0.0599234862	0.833613795	0	0	6.66565535	5.68970998	3.53829679	1.2177251	0.263965164	0.550307134	0.000477687749	-0.00211704416	0	0	0	0	NOT_COMPUTED
M3_FORM_HIGH	Astafiev	5	1.32380628	1.28056009	1.36705247	0.0191047677	0.215795807	0	0.002437348	3.57163314	2.26415238	1.93151412	1.60111843	1.00677536	0.620111057	0.0141598314	-0.00916249526	0	0	0	0	NOT_COMPUTED
M3_FORM_HIGH	Doyle	5	0.673523594	0.648520183	0.698527005	0.00953065324	0.176702945	0	0.00251788586	3.59852416	2.20568794	1.89744461	1.59785802	1.0688791	0.682140178	0.0156073034	-0.0127848734	0	0	0	0	NOT_COMPUTED
M3_FORM_HIGH	Longfellow	5	0.516935036	0.502843655	0.531026418	0.0177585218	0.182091927	0	0.00296572935	3.60614556	2.21655569	1.91841951	1.6094467	1.05987215	0.695361585	0.0154855484	-0.0212398878	0	0	0	0	NOT_COMPUTED
