metadata	method	metric	scope	statistic	window_50_max_nmi	window_100_max_nmi	window_200_max_nmi	window_500_max_nmi	window_1000_max_nmi	observed	null_mean	null_median	null_sd	null_p95	null_p99	null_max	exceedances	empirical_p	permutations
currier	contiguous_segmentation	NMI	primary	mean_across_scales	0.7132895555068619	0.6571859956017514	0.6428882672224527	0.629363241062594	0.6542700864961559	0.6593994291779632	0.4550382029255459	0.45461091137930415	0.08498758750981403	0.5944564096540964	0.6318126228073699	0.6943795863321625	25	0.0025997400259974	10000
currier	contiguous_segmentation	NMI	primary	min_across_scales	0.7132895555068619	0.6571859956017514	0.6428882672224527	0.629363241062594	0.6542700864961559	0.629363241062594	0.4350734539386225	0.434807880985733	0.08579347984769602	0.5744915409564869	0.6125765275406125	0.6676548681312371	45	0.0045995400459954	10000
currier	hierarchical	NMI	primary	mean_across_scales	0.07488926691934353	0.08647466004027234	0.15823077378904404	0.6339987337584969	0.6589465854790248	0.32250800399723634	0.21338983189127717	0.2147526967818626	0.03432636392595557	0.26676764868749636	0.2878383723168601	0.3320549467349299	2	0.00029997000299970003	10000
currier	hierarchical	NMI	primary	min_across_scales	0.07488926691934353	0.08647466004027234	0.15823077378904404	0.6339987337584969	0.6589465854790248	0.07488926691934353	0.0522254036591355	0.05190982390740556	0.010339341879306919	0.06973886817719473	0.07902246384521139	0.09419191366367664	206	0.0206979302069793	10000
currier	k_medoids	NMI	primary	mean_across_scales	0.4505775335562057	0.5629568651404755	0.6287522400480182	0.6504028897306613	0.6639787524762399	0.5913336561903201	0.3621601280135624	0.3672393514236999	0.06987619278838779	0.47204920477626705	0.5001756366335186	0.5716567302490814	0	9.999000099990002e-05	10000
currier	k_medoids	NMI	primary	min_across_scales	0.4505775335562057	0.5629568651404755	0.6287522400480182	0.6504028897306613	0.6639787524762399	0.4505775335562057	0.24292055611704513	0.2506911307223092	0.06549639112099885	0.3418646397450667	0.37011379107246484	0.46361275657595813	1	0.00019998000199980003	10000
currier	contiguous_segmentation	ARI	primary	mean_across_scales	0.5980351314309134	0.541392006092321	0.5306163666410704	0.5145999104473991	0.4317634539717151	0.5232813737166837	0.3513054483754733	0.3434148737379336	0.10411944928535495	0.5306143769383941	0.5840620895876155	0.6580848223927058	602	0.06029397060293971	10000
currier	contiguous_segmentation	ARI	primary	min_across_scales	0.5980351314309134	0.541392006092321	0.5306163666410704	0.5145999104473991	0.4317634539717151	0.4317634539717151	0.2876526421608301	0.2780578524286239	0.09263982610885024	0.45197059057838124	0.5144342655850221	0.6050963228795773	765	0.0765923407659234	10000
currier	hierarchical	ARI	primary	mean_across_scales	0.027913379801211304	0.02563138008658827	0.05490103250859514	0.4972236830430789	0.5641023292897295	0.23395436094584063	0.14024969286527245	0.1381309656702691	0.036882818453715806	0.20163752940920912	0.23015171073820206	0.30667687471163213	79	0.007999200079992	10000
currier	hierarchical	ARI	primary	min_across_scales	0.027913379801211304	0.02563138008658827	0.05490103250859514	0.4972236830430789	0.5641023292897295	0.02563138008658827	0.009813772638465779	0.0060144163550945595	0.011731360642190877	0.035541007533986854	0.046440615693091644	0.05983692204835525	1172	0.11728827117288271	10000
