position	scale_support	mean_jump	uncertainty	nearest_folio	distance_folio	nearest_paragraph	distance_paragraph	nearest_currier_transition	distance_currier	nearest_hand_transition	distance_hand	nearest_quire	distance_quire	nearest_known_metadata_distance
14697	3	0.09398393254260533	6.66666666666606	14701	4	14701	4	10164	4533	14800	103	14605	92	4
14750	3	0.09396384822086196	10	14701	49	14701	49	10164	4586	14800	50	14800	50	49
35898	3	0.09375687162828102	8.333333333335759	35733	165	35899	1	30820	5078	37600	1702	28131	7767	1
7613	3	0.09372870325933719	6.66666666666697	7610	3	7610	3	7610	3	7610	3	6886	727	3
36052	3	0.09371123630741758	8.333333333335759	36262	210	36043	9	30820	5232	37600	1548	28131	7921	9
36123	3	0.09367877052428224	16.66666666666424	36262	139	36127	4	30820	5303	37600	1477	28131	7992	4
27720	3	0.09355798306418917	20	27669	51	27709	11	26407	1313	28131	411	28131	411	11
25800	3	0.09354657525830097	10	25783	17	25783	17	25872	72	25872	72	25631	169	17
13842	3	0.09348943971109197	18.33333333333394	13891	49	13891	49	10164	3678	14800	958	13701	141	49
12643	3	0.09346034338773446	13.33333333333394	12626	17	12626	17	10164	2479	11712	931	12826	183	17
8527	3	0.09342473715672443	16.66666666666606	8482	45	8555	28	8610	83	8610	83	8610	83	28
38453	3	0.0934127360364625	6.666666666664241	38471	18	38471	18	30820	7633	37729	724	28131	10322	18
29432	3	0.09337434709455969	16.66666666666788	29565	133	29412	20	30042	610	28131	1301	28131	1301	20
11325	3	0.09332316356993692	15	11250	75	11299	26	10164	1161	11250	75	11712	387	26
38282	3	0.09331048474735147	8.333333333335759	38471	189	38269	13	30820	7462	37729	553	28131	10151	13
29217	3	0.09325534672516599	16.66666666666788	29117	100	29214	3	30042	825	28131	1086	28131	1086	3
14328	3	0.09320955005817916	13.33333333333394	14274	54	14274	54	10164	4164	14800	472	14605	277	54
31853	3	0.09314687965940469	13.33333333333212	31696	157	31857	4	30820	1033	28131	3722	28131	3722	4
10492	3	0.09305999020347827	16.66666666666606	10449	43	10449	43	10164	328	10449	43	10164	328	43
26808	3	0.09303314024076187	8.33333333333212	26741	67	26792	16	26407	401	26407	401	26547	261	16
35592	3	0.09302468429806286	18.33333333333576	35733	141	35579	13	30820	4772	37600	2008	28131	7461	13
28220	3	0.09277626413968063	0	28131	89	28217	3	26407	1813	28131	89	28131	89	3
22407	3	0.09267333322423323	13.33333333333212	22260	147	22429	22	21757	650	22260	147	21757	650	22
26660	3	0.09256594904662548	0	26741	81	26655	5	26407	253	26407	253	26547	113	5
11130	3	0.09224214670649325	20	11202	72	11150	20	10164	966	11250	120	11712	582	20
