block_a	block_b	edges_a	edges_b	intersection	edge_jaccard	degree_rank_correlation	scc_overlap
G1/generic#0	G0/generic#3	45	45	28	0.4516129032	0.6146551847	0
G1/generic#0	G1/generic#3	45	47	32	0.5333333333	0.6350817017	0
G1/generic#0	G2/generic#3	45	44	27	0.435483871	0.5983780596	0
G1/generic#0	G3/generic#3	45	39	33	0.6470588235	0.74630946	0
G1/generic#0	G0/generic#4	45	34	23	0.4107142857	0.6051872574	0
G1/generic#0	G1/generic#4	45	42	33	0.6111111111	0.7445916746	0
G1/generic#0	G2/generic#4	45	37	27	0.4909090909	0.6616132644	0
G1/generic#0	G3/generic#4	45	35	31	0.6326530612	0.7638659533	0
G1/generic#0	G0/generic#5	45	38	23	0.3833333333	0.6130025613	0
G1/generic#0	G1/generic#5	45	31	25	0.4901960784	0.6433168866	0
G1/generic#0	G2/generic#5	45	10	9	0.1956521739	0.4266643848	0
G1/generic#0	G3/generic#5	45	25	19	0.3725490196	0.600504058	0
G1/generic#0	G0/generic#6	45	40	31	0.5740740741	0.7064274444	0
G1/generic#0	G1/generic#6	45	29	22	0.4230769231	0.6192092653	0
G1/generic#0	G2/generic#6	45	31	27	0.5510204082	0.7213542682	0
G1/generic#0	G3/generic#6	45	26	18	0.3396226415	0.5145377434	0
G1/generic#0	G0/generic#7	45	34	27	0.5192307692	0.6733321676	0
G1/generic#0	G1/generic#7	45	35	22	0.3793103448	0.550642886	0
G1/generic#0	G2/generic#7	45	24	20	0.4081632653	0.620714702	0
G1/generic#0	G3/generic#7	45	28	19	0.3518518519	0.5130945955	0
G1/generic#0	G0/generic#8	45	22	18	0.3673469388	0.5513235004	0
G1/generic#0	G1/generic#8	45	27	21	0.4117647059	0.5858073686	0
G1/generic#0	G2/generic#8	45	15	11	0.2244897959	0.4165410334	0
G1/generic#0	G3/generic#8	45	33	26	0.5	0.7116497743	0
G1/generic#0	G0/generic#9	45	19	17	0.3617021277	0.5555424563	0
G1/generic#0	G1/generic#9	45	29	26	0.5416666667	0.7464132336	0
G1/generic#0	G2/generic#9	45	38	33	0.66	0.7816528811	0
G1/generic#0	G3/generic#9	45	43	32	0.5714285714	0.6592674673	0
G1/generic#0	G0/generic#10	45	39	28	0.5	0.6637133671	0
G1/generic#0	G1/generic#10	45	24	17	0.3269230769	0.5106680848	0
G1/generic#0	G2/generic#10	45	23	20	0.4166666667	0.5891219118	0
G1/generic#0	G3/generic#10	45	48	30	0.4761904762	0.6271463986	0
G1/generic#0	G0/generic#11	45	41	28	0.4827586207	0.6774159815	0
G1/generic#0	G1/generic#11	45	26	20	0.3921568627	0.5695567785	0
G1/generic#0	G2/generic#11	45	37	21	0.3442622951	0.5182709892	0
G1/generic#0	G3/generic#11	45	50	34	0.5573770492	0.6809213357	0
G1/generic#0	G0/generic#12	45	46	34	0.5964912281	0.6988112957	0
G1/generic#0	G1/generic#12	45	33	26	0.5	0.7277143888	0
G1/generic#0	G2/generic#12	45	38	23	0.3833333333	0.559105602	0
G1/generic#0	G3/generic#12	45	52	34	0.5396825397	0.6713342992	0
G1/generic#0	G0/generic#13	45	43	32	0.5714285714	0.6964911907	0
G1/generic#0	G1/generic#13	45	50	36	0.6101694915	0.7663628559	0
G1/generic#0	G2/generic#13	45	31	25	0.4901960784	0.6717006142	0
G1/generic#0	G3/generic#13	45	33	20	0.3448275862	0.5835897105	0
G1/generic#0	G0/generic#14	45	53	37	0.606557377	0.7067766193	0
G1/generic#0	G1/generic#14	45	40	20	0.3076923077	0.4837504676	0
G1/generic#0	G2/generic#14	45	47	32	0.5333333333	0.6682315507	0
G1/generic#0	G3/generic#14	45	32	24	0.4528301887	0.6023451659	0
G1/generic#0	G0/generic#15	45	48	33	0.55	0.659175932	0
G1/generic#0	G1/generic#15	45	56	36	0.5538461538	0.7145511628	0
G1/generic#0	G2/generic#15	45	47	33	0.5593220339	0.6909781215	0
G1/generic#0	G3/generic#15	45	12	12	0.2666666667	0.5077995578	0
G2/generic#0	G3/generic#0	44	38	31	0.6078431373	0.7742234816	0
G2/generic#0	G0/generic#1	44	40	31	0.5849056604	0.7042244128	0
G2/generic#0	G1/generic#1	44	37	26	0.4727272727	0.612699049	0
G2/generic#0	G2/generic#1	44	32	24	0.4615384615	0.5955783402	0
G2/generic#0	G3/generic#1	44	26	18	0.3461538462	0.502952131	0
G2/generic#0	G0/generic#2	44	49	39	0.7222222222	0.8222721846	0
G2/generic#0	G1/generic#2	44	39	24	0.406779661	0.5572837564	0
G2/generic#0	G2/generic#2	44	41	23	0.3709677419	0.5198001361	0
G2/generic#0	G3/generic#2	44	60	32	0.4444444444	0.6051244898	0
G2/generic#0	G0/generic#3	44	45	23	0.3484848485	0.5286854007	0
G2/generic#0	G1/generic#3	44	47	27	0.421875	0.5680706162	0
G2/generic#0	G2/generic#3	44	44	26	0.4193548387	0.6064552505	0
G2/generic#0	G3/generic#3	44	39	29	0.537037037	0.6631577746	0
G2/generic#0	G0/generic#4	44	34	27	0.5294117647	0.6756764532	0
G2/generic#0	G1/generic#4	44	42	32	0.5925925926	0.7115714735	0
G2/generic#0	G2/generic#4	44	37	20	0.3278688525	0.5190861734	0
G2/generic#0	G3/generic#4	44	35	25	0.462962963	0.6193618315	0
G2/generic#0	G0/generic#5	44	38	23	0.3898305085	0.5975496876	0
G2/generic#0	G1/generic#5	44	31	26	0.5306122449	0.6491741499	0
G2/generic#0	G2/generic#5	44	10	8	0.1739130435	0.3582673044	0
G2/generic#0	G3/generic#5	44	25	17	0.3269230769	0.5567477315	0
G2/generic#0	G0/generic#6	44	40	33	0.6470588235	0.731991984	0
G2/generic#0	G1/generic#6	44	29	23	0.46	0.6025911133	0
