token	block	direction	counterpart	raw_count	probability	log2_enrichment
x000052	G0/generic#0	incoming	x002554	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x002555	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x002616	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x002617	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x002624	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x002625	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x002626	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x002776	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x002777	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x003548	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x003549	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x003641	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x004156	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x004157	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x004158	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x004159	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x004308	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x004585	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x004652	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x004653	0	0.001577287066	-1.654214505
x000052	G0/generic#0	incoming	x004654	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x004692	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x005140	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x005141	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x005142	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x005468	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x005469	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x005470	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x005532	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x005533	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x005534	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x005540	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x005541	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x005542	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x005588	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x005589	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x005590	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x006260	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x006261	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x006262	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x006408	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x006424	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x006425	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x006428	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x006429	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x006430	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x006708	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x006709	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x006712	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x006713	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x006860	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x006896	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x006897	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x007108	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x007180	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x007181	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x007412	1	0.004731861199	-0.06925200419
x000052	G0/generic#0	incoming	x007413	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x007414	0	0.001577287066	-1.168787678
x000052	G0/generic#0	incoming	x007415	0	0.001577287066	-0.4318220836
x000052	G0/generic#0	incoming	x007488	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x007528	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x007529	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x007532	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x007612	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x007640	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x007641	0	0.001577287066	-1.168787678
x000052	G0/generic#0	incoming	x007642	0	0.001577287066	-1.168787678
x000052	G0/generic#0	incoming	x007643	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x007900	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x007902	0	0.001577287066	1.153140417
x000052	G0/generic#0	incoming	x007956	0	0.001577287066	-0.4318220836
