source	target	sign	permutations	empirical_p	fdr_q	max_block_observation_fraction	max_block_effect_weight_fraction	status
x000053	x007612	preferred	1000	0.01598401598	0.1618909392	1	0.03287467336	EXPECTED_FROM_NULL
x000053	x008132	preferred	10000	0.00299970003	0.0706245165	0.5	0.03820090443	EXPECTED_FROM_NULL
x000053	x008133	preferred	1000	0.01798201798	0.1687543226	0.5	0.03738590122	EXPECTED_FROM_NULL
x000053	x008224	preferred	1000	0.08891108891	0.2975528212	0.5	0.03934885341	EXPECTED_FROM_NULL
x000053	x008225	preferred	10000	0.002199780022	0.05904209579	0.5	0.03629068418	EXPECTED_FROM_NULL
x000053	x008226	preferred	1000	0.04495504496	0.2234432234	1	0.03780487183	EXPECTED_FROM_NULL
x000053	x008485	preferred	1000	1	1	0.5	0.03431765399	EXPECTED_FROM_NULL
x000053	x010892	preferred	10000	9.9990001e-05	0.008132520081	0.1111111111	0.04179684549	BACKBONE_PREFERRED
x000053	x010893	preferred	1000	0.09190809191	0.3034210562	1	0.03918583453	EXPECTED_FROM_NULL
x000053	x010894	preferred	1000	1	1	0.5	0.03376428435	EXPECTED_FROM_NULL
x000053	x010977	preferred	1000	0.05894105894	0.2507096707	1	0.03808444172	EXPECTED_FROM_NULL
x000053	x010984	preferred	1000	0.05594405594	0.2461538462	1	0.04075403952	EXPECTED_FROM_NULL
x000053	x011260	preferred	1000	0.07692307692	0.2809000523	1	0.04260611487	EXPECTED_FROM_NULL
x000053	x011261	preferred	1000	0.04895104895	0.2358790222	0.5	0.05234141266	EXPECTED_FROM_NULL
x000053	x011262	preferred	1000	0.04995004995	0.2372848391	1	0.03648275276	EXPECTED_FROM_NULL
x000053	x011445	preferred	1000	0.07492507493	0.2773777946	1	0.03449547323	EXPECTED_FROM_NULL
x000053	x013584	preferred	1000	0.03896103896	0.2116830538	1	0.03498474308	EXPECTED_FROM_NULL
x000053	x013585	preferred	1000	1	1	1	0.03425567426	EXPECTED_FROM_NULL
x000053	x013733	preferred	1000	0.08291708292	0.2879035583	1	0.03575842918	EXPECTED_FROM_NULL
x000053	x014080	preferred	1000	1	1	1	0.03759208152	EXPECTED_FROM_NULL
x000053	x015572	preferred	1000	0.05994005994	0.2513736264	1	0.03412520918	EXPECTED_FROM_NULL
x000053	x016800	preferred	1000	1	1	0	0.04411638767	EXPECTED_FROM_NULL
x000053	x017120	preferred	1000	0.08391608392	0.2891280735	1	0.04278725208	EXPECTED_FROM_NULL
x000053	x017121	preferred	10000	0.001199880012	0.0407655437	0.3333333333	0.03644827387	BACKBONE_PREFERRED
x000053	x017122	preferred	10000	0.002199780022	0.05904209579	0.2	0.03657892642	EXPECTED_FROM_NULL
x000053	x018072	preferred	1000	0.1028971029	0.3233908948	1	0.03702830387	EXPECTED_FROM_NULL
x000053	x019086	preferred	1000	1	1	0	0.03466449605	EXPECTED_FROM_NULL
x000053	x020316	preferred	1000	0.3306693307	0.8061003483	1	0.05779961944	EXPECTED_FROM_NULL
x000053	x020317	preferred	1000	0.07992007992	0.283904331	0.5	0.03986652807	EXPECTED_FROM_NULL
x000053	x020318	preferred	1000	0.02097902098	0.1804733728	0.5	0.04684177759	EXPECTED_FROM_NULL
x000053	x020888	preferred	1000	1	1	1	0.0365663693	EXPECTED_FROM_NULL
x000053	x020889	preferred	1000	0.08291708292	0.2879035583	0.5	0.03702525892	EXPECTED_FROM_NULL
x000053	x021141	preferred	1000	0.07892107892	0.2824322344	0.3333333333	0.03875428336	EXPECTED_FROM_NULL
x000053	x021156	preferred	1000	1	1	0	0.03427059976	EXPECTED_FROM_NULL
x000054	x001848	preferred	1000	1	1	0	0.0728861023	EXPECTED_FROM_NULL
x000054	x004652	preferred	1000	0.04295704296	0.2200318765	1	0.06216447906	EXPECTED_FROM_NULL
x000054	x008132	preferred	1000	1	1	0	0.06180140114	EXPECTED_FROM_NULL
x000054	x008226	preferred	1000	1	1	0	0.06493717215	EXPECTED_FROM_NULL
x000054	x008485	preferred	1000	0.04695304695	0.2299671132	1	0.06125432839	EXPECTED_FROM_NULL
x000054	x008516	preferred	1000	1	1	0	0.08716727121	EXPECTED_FROM_NULL
x000054	x010640	preferred	1000	1	1	0	0.06151735269	EXPECTED_FROM_NULL
x000054	x010760	preferred	1000	0.03496503497	0.2040133779	1	0.08020278107	EXPECTED_FROM_NULL
x000054	x010892	preferred	10000	0.002799720028	0.068939895	0.3333333333	0.07286197859	EXPECTED_FROM_NULL
x000054	x010893	preferred	1000	1	1	1	0.0690422871	EXPECTED_FROM_NULL
x000054	x010976	preferred	1000	0.08991008991	0.2994028304	1	0.07714560016	EXPECTED_FROM_NULL
x000054	x010977	preferred	1000	1	1	1	0.06334019536	EXPECTED_FROM_NULL
x000054	x011260	preferred	1000	0.02797202797	0.195004995	0.5	0.1062374072	EXPECTED_FROM_NULL
x000054	x011261	preferred	1000	0.07892107892	0.2824322344	0.3333333333	0.08858035319	EXPECTED_FROM_NULL
x000054	x011262	preferred	1000	1	1	0	0.06796399313	EXPECTED_FROM_NULL
x000054	x011976	preferred	1000	1	1	0	0.0622578333	EXPECTED_FROM_NULL
x000054	x013733	preferred	1000	1	1	0	0.05550702873	EXPECTED_FROM_NULL
x000054	x013773	preferred	1000	1	1	1	0.06012124123	EXPECTED_FROM_NULL
x000054	x014080	preferred	10000	0.01179882012	0.1508967223	1	0.05601216451	EXPECTED_FROM_NULL
x000054	x015524	preferred	1000	1	1	0	0.07527145843	EXPECTED_FROM_NULL
x000054	x015572	preferred	1000	0.07792207792	0.2814843299	1	0.06528384403	EXPECTED_FROM_NULL
x000054	x017121	preferred	1000	1	1	1	0.06452380988	EXPECTED_FROM_NULL
x000054	x019020	preferred	1000	0.01298701299	0.1508967223	1	0.06158495586	EXPECTED_FROM_NULL
x000054	x019220	preferred	1000	1	1	0	0.08414896254	EXPECTED_FROM_NULL
x000054	x019332	preferred	1000	1	1	1	0.05601216451	EXPECTED_FROM_NULL
x000054	x020318	preferred	1000	0.07492507493	0.2773777946	1	0.08032313819	EXPECTED_FROM_NULL
x000054	x020319	preferred	1000	1	1	0	0.05879556707	EXPECTED_FROM_NULL
x000054	x020420	preferred	1000	1	1	0	0.06493717215	EXPECTED_FROM_NULL
x000054	x020622	preferred	1000	1	1	1	0.07096783365	EXPECTED_FROM_NULL
x000054	x020888	preferred	1000	1	1	1	0.06627692859	EXPECTED_FROM_NULL
x000054	x020969	preferred	1000	1	1	0	0.07105857739	EXPECTED_FROM_NULL
x000054	x021156	preferred	1000	1	1	0	0.05637752924	EXPECTED_FROM_NULL
x000055	x006712	preferred	1000	1	1	0	0.5300803436	INSUFFICIENT_SUPPORT
x000055	x006713	preferred	1000	1	1	0	0.8563976339	INSUFFICIENT_SUPPORT
x000055	x008132	preferred	1000	1	1	0	0.9660365254	INSUFFICIENT_SUPPORT
x000055	x008133	preferred	1000	1	1	0	0.8563976339	INSUFFICIENT_SUPPORT
x000055	x010892	preferred	1000	1	1	0	0.8563976339	INSUFFICIENT_SUPPORT
x000055	x010984	preferred	1000	1	1	0	0.8563976339	INSUFFICIENT_SUPPORT
x000055	x011260	preferred	1000	1	1	0	0.6357378217	INSUFFICIENT_SUPPORT
x000055	x011261	depleted	1000	0.9320679321	1	0	0.9352655362	INSUFFICIENT_SUPPORT
x000055	x011932	preferred	1000	1	1	0	0.5300803436	INSUFFICIENT_SUPPORT
x000055	x012772	depleted	1000	0.99000999	1	0	0.8754873216	INSUFFICIENT_SUPPORT
x000055	x015644	preferred	1000	1	1	0	0.5300803436	INSUFFICIENT_SUPPORT
x000055	x019020	preferred	1000	1	1	0	0.5300803436	INSUFFICIENT_SUPPORT
x000055	x019220	preferred	1000	1	1	0	0.8563976339	INSUFFICIENT_SUPPORT
x000055	x020316	preferred	1000	1	1	0	0.5300803436	INSUFFICIENT_SUPPORT
x000055	x020318	preferred	1000	1	1	0	0.9660365254	INSUFFICIENT_SUPPORT
x000055	x020620	preferred	1000	1	1	0	0.5300803436	INSUFFICIENT_SUPPORT
x000055	x020832	preferred	1000	1	1	0	0.7819516357	INSUFFICIENT_SUPPORT
x000055	x020888	preferred	1000	1	1	0	0.7819516357	INSUFFICIENT_SUPPORT
x000055	x021140	preferred	1000	0.04495504496	1	1	0.5947106455	INSUFFICIENT_SUPPORT
x000080	x000052	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000080	x000053	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000080	x001052	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000080	x008837	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000080	x008847	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000080	x008917	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000080	x008918	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000080	x008944	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000080	x008946	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000080	x009436	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000080	x009437	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000080	x010008	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000080	x010009	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000080	x012037	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000080	x012120	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000080	x018928	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000080	x018929	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000080	x018930	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000080	x018949	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000080	x019052	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000080	x019053	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000080	x019104	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000080	x020792	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000081	x001052	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000081	x007412	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000081	x008916	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000081	x009439	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000081	x010008	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000081	x010009	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000081	x010010	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000081	x010011	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000081	x012881	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000081	x018928	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000081	x018948	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000081	x018978	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000081	x019104	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000081	x019269	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000081	x019270	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000081	x020792	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000082	x001052	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000082	x008704	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000082	x009436	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000082	x010008	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000082	x010009	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000082	x011684	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000082	x018931	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000082	x019052	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000082	x019269	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000392	x000052	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000392	x000053	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000392	x000055	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000392	x008836	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000392	x008918	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000392	x012369	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000392	x018928	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000392	x018942	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000392	x020130	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000392	x021402	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000393	x000054	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000393	x000546	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000393	x000946	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000393	x008838	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000393	x008947	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000393	x018926	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000393	x018928	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000393	x020628	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000393	x020629	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000404	x000713	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000404	x000714	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000404	x000715	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000404	x009248	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000404	x010009	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000404	x012829	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000404	x015852	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000404	x020628	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000404	x021053	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000405	x000392	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000405	x000714	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000405	x002552	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000405	x008689	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000405	x009248	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000405	x009249	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000405	x010010	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000405	x012120	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000405	x015853	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000405	x018929	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000405	x018931	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000405	x019268	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000405	x020109	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000408	x010008	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000408	x012036	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000408	x018928	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000408	x018930	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000408	x018931	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000408	x020128	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000408	x021400	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x000080	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x000081	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x003549	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x004652	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x008704	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x008945	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x009248	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x009249	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x009437	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x010008	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x011190	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x012122	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x012370	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x012764	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x012892	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x012894	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x012944	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x015684	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x015852	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x016549	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x018924	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x018925	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x018927	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x018928	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x018929	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x018931	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x018988	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x019052	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x019076	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x019105	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x020319	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x020558	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x020628	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x020629	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x020969	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000544	x021401	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x000545	x000082	preferred	1000	1	1	0	0.5028830109	INSUFFICIENT_SUPPORT
x000545	x000696	preferred	1000	1	1	0	0.9701948118	INSUFFICIENT_SUPPORT
x000545	x000944	preferred	1000	1	1	0	0.9701948118	INSUFFICIENT_SUPPORT
x000545	x002537	depleted	1000	0.993006993	1	0	0.9577570499	INSUFFICIENT_SUPPORT
x000545	x004652	preferred	1000	1	1	0	0.5854846711	INSUFFICIENT_SUPPORT
x000545	x004654	preferred	1000	1	1	0	0.5028830109	INSUFFICIENT_SUPPORT
x000545	x008093	depleted	1000	0.961038961	1	0	0.92919704	INSUFFICIENT_SUPPORT
x000545	x008689	depleted	1000	0.961038961	1	0	0.9564761521	INSUFFICIENT_SUPPORT
x000545	x008732	preferred	1000	1	1	0	0.9701948118	INSUFFICIENT_SUPPORT
x000545	x008945	preferred	1000	0.05494505495	1	1	0.5739713831	INSUFFICIENT_SUPPORT
x000545	x008946	preferred	1000	1	1	0	0.5786333175	INSUFFICIENT_SUPPORT
x000545	x009249	depleted	1000	0.9060939061	1	0	0.6453021118	INSUFFICIENT_SUPPORT
x000545	x009969	depleted	1000	0.9450549451	1	0	0.9437639899	INSUFFICIENT_SUPPORT
x000545	x010316	preferred	1000	1	1	0	0.5028830109	INSUFFICIENT_SUPPORT
x000545	x012101	preferred	1000	1	1	0	0.9590706251	INSUFFICIENT_SUPPORT
x000545	x012120	preferred	1000	1	1	0	0.5786333175	INSUFFICIENT_SUPPORT
x000545	x012369	preferred	1000	1	1	0	0.9701948118	INSUFFICIENT_SUPPORT
x000545	x015685	preferred	1000	0.01198801199	1	1	0.640584025	INSUFFICIENT_SUPPORT
x000545	x017249	preferred	1000	1	1	0	0.9590706251	INSUFFICIENT_SUPPORT
x000545	x017980	preferred	1000	0.02097902098	1	1	0.640584025	INSUFFICIENT_SUPPORT
x000545	x018925	depleted	1000	0.9370629371	1	0	0.5405136928	INSUFFICIENT_SUPPORT
x000545	x018926	depleted	1000	0.962037962	1	0	0.6121841211	INSUFFICIENT_SUPPORT
x000545	x018928	depleted	1000	0.7872127872	1	0	0.5298205315	INSUFFICIENT_SUPPORT
