sequence	n	canonical_occurrences	eligible_occurrences	physical_blocks	joint_classes	currier_classes	hands	max_block_fraction	block_entropy_bits	classification	token_validity	canonical_token_occurrences	contains_question	contains_at	contains_other_nonstandard_marker	absent_tokens
x000056 x000007	2	8	8	8	3	3	1	0.125	3	GROUP_CONSISTENT	ambiguous-transcription	110,281	false	false	true	
x000056 x000039	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	110,163	false	false	true	
x000056 x000041	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	110,163	false	false	true	
x000058 x000110	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	98,55	false	false	true	
x000062 x000071	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	95,75	false	false	true	
x000064 x000003	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	91,292	false	false	true	
x000064 x000012	2	4	4	3	2	2	1	0.5	1.5	GROUP_CONSISTENT	ambiguous-transcription	91,179	false	false	true	
x000066 x000057	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	92,95	false	false	true	
x000070 x000012	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	99,179	false	false	true	
x000071 x000042	2	4	4	3	2	2	1	0.5	1.5	GROUP_CONSISTENT	ambiguous-transcription	75,166	false	false	true	
x000074 x000039	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	84,163	false	false	true	
x000081 x000140	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	89,46	false	false	true	
x000099 x000038	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	64,140	false	false	true	
x000099 x000041	2	6	6	5	3	3	1	0.3333333333333333	2.2516291673878226	GROUP_CONSISTENT	ambiguous-transcription	64,163	false	false	true	
x000100 x000005	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	59,280	false	false	true	
x000101 x000036	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	52,158	false	false	true	
x000104 x000042	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	51,166	false	false	true	
x000121 x000004	2	4	4	3	3	3	1	0.5	1.5	GROUP_CONSISTENT	ambiguous-transcription	54,296	false	false	true	
x000125 x000006	2	4	4	4	4	4	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	45,294	false	false	true	
x000126 x000002	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	46,310	false	false	true	
x000132 x000287	2	4	4	4	4	4	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	53,24	false	false	true	
x000146 x000041	2	4	4	4	4	4	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	44,163	false	false	true	
x000150 x000001	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	37,305	false	false	true	
x000150 x000003	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	37,292	false	false	true	
x000177 x000097	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	34,71	false	false	true	
x000178 x000076	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	29,92	false	false	true	
x000192 x000063	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	29,106	false	false	true	
x000195 x000010	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	37,195	false	false	true	
x000196 x000009	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	37,169	false	false	true	
x000222 x000006	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	25,294	false	false	true	
x000223 x000001	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	32,305	false	false	true	
x000223 x000005	2	6	6	6	3	3	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	32,280	false	false	true	
x000240 x000000	2	5	5	5	4	4	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	29,267	false	false	true	
x000241 x000002	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	27,310	false	false	true	
x000242 x000002	2	4	4	4	4	4	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	25,310	false	false	true	
x000245 x000005	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	24,280	false	false	true	
x000249 x000025	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	20,159	false	false	true	
x000357 x000164	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	23,43	false	false	true	
x000925 x000627	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	11,13	false	false	true	
x000926 x000629	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	9,12	false	false	true	
