window_size	method	k	representation	windows	silhouette	within_dispersion	between_dispersion	cluster_size_entropy	smallest_cluster_fraction
200	hierarchical	13	raw	853	0.11621575843523868	0.11074036065719228	0.1416627603035027	1.779996975235176	0.004689331770222743
200	hierarchical	14	raw	853	0.12387074828742256	0.10979325969655777	0.14132765868454172	1.8614683950049067	0.004689331770222743
200	hierarchical	15	raw	853	0.12478755618601477	0.10941159249833265	0.1413006746471856	1.8871777204830387	0.004689331770222743
500	hierarchical	2	raw	270	0.33323193733216494	0.08388989695367552	0.12597801654440274	0.6924611526112329	0.48148148148148145
500	hierarchical	3	raw	270	0.28408624377433733	0.0836231960495913	0.12583904616766656	0.7144539765376641	0.003703703703703704
500	hierarchical	4	raw	270	0.24959050557760257	0.08271630849662825	0.1253314384604412	0.7680649964601041	0.003703703703703704
500	hierarchical	5	raw	270	0.20101783011420657	0.08260941253059607	0.1250443610152764	0.789950068204234	0.003703703703703704
500	hierarchical	6	raw	270	0.2030465087483077	0.08151379215058098	0.12376340912837269	0.8919161802934554	0.003703703703703704
500	hierarchical	7	raw	270	0.2415497522954954	0.07788819913992086	0.12163352769637704	1.1522368218173016	0.003703703703703704
500	hierarchical	8	raw	270	0.2667257970454566	0.07545587132119799	0.12086473052209941	1.1906214501125136	0.003703703703703704
500	hierarchical	9	raw	270	0.2657272541967172	0.0746343442287044	0.12084538721829029	1.2083264750491924	0.003703703703703704
500	hierarchical	10	raw	270	0.316491476704315	0.06993367278858613	0.11895365530243336	1.4338528034993976	0.003703703703703704
500	hierarchical	11	raw	270	0.21301794694431378	0.06853334633355009	0.11784771739167912	1.53481366203655	0.003703703703703704
500	hierarchical	12	raw	270	0.17606358752439916	0.06777784151693997	0.11733298254425412	1.6202394219872955	0.003703703703703704
500	hierarchical	13	raw	270	0.15941711501592504	0.06637765932753624	0.11543059716775571	1.7739486583822646	0.003703703703703704
500	hierarchical	14	raw	270	0.18055076218654398	0.06395836879923308	0.11322646623186416	2.01960052084814	0.003703703703703704
500	hierarchical	15	raw	270	0.20686363447439787	0.0612312813605863	0.11163880297824552	2.2042142741340713	0.003703703703703704
50	hierarchical	2	standardized	4059	0.32269171166522687	111364.403393419	163286.18458587842	0.020169417920424197	0.0029563932002956393
50	hierarchical	3	standardized	4059	0.2622548808438951	110985.84233481211	155987.85624810346	0.040330069650981834	0.0029563932002956393
50	hierarchical	4	standardized	4059	0.21710614143747356	110699.64701414474	150364.77564185084	0.05903874714273992	0.0027100271002710027
50	hierarchical	5	standardized	4059	0.22090227843563948	110410.79177369046	147511.17872292874	0.07627501973080308	0.002463661000246366
50	hierarchical	6	standardized	4059	0.2096407657671956	110150.35987502646	145167.5177159521	0.09641142954446738	0.002463661000246366
50	hierarchical	7	standardized	4059	0.21139112016488	109848.98372431107	144191.04129220653	0.11653897459762055	0.002463661000246366
50	hierarchical	8	standardized	4059	0.21412307377960826	109583.10041041837	142950.71252340116	0.13521721720596408	0.002463661000246366
50	hierarchical	9	standardized	4059	0.21847206104047132	109312.06456963379	142031.99874522525	0.1478789488368414	0.0017245627001724563
50	hierarchical	10	standardized	4059	0.22204667150926127	109044.54872796305	141236.88052276283	0.16654492113899383	0.0017245627001724563
