scheme	class	window_size	method	k	cluster	held_out_separation	cv_folds	blocks_containing	total_blocks	block_fraction	eligible_blocks_for_scale	recurrence_strength	cross_block_similarity
currier_only	2	100	hierarchical	10	7	0.033168957624702886	10	1	11	0.09090909090909091	10	0.1	0
currier_only	2	100	hierarchical	10	8	0.033168957624702886	10	1	11	0.09090909090909091	10	0.1	0
currier_only	2	100	hierarchical	10	9	0.033168957624702886	10	1	11	0.09090909090909091	10	0.1	0
currier_only	2	100	k_medoids	8	0	0.03709619333619684	10	1	11	0.09090909090909091	10	0.1	0
currier_only	2	100	k_medoids	8	1	0.03709619333619684	10	1	11	0.09090909090909091	10	0.1	0
currier_only	2	100	k_medoids	8	2	0.03709619333619684	10	1	11	0.09090909090909091	10	0.1	0
currier_only	2	100	k_medoids	8	3	0.03709619333619684	10	1	11	0.09090909090909091	10	0.1	0
currier_only	2	100	k_medoids	8	4	0.03709619333619684	10	3	11	0.2727272727272727	10	0.3	0.2994758839076447
currier_only	2	100	k_medoids	8	5	0.03709619333619684	10	6	11	0.5454545454545454	10	0.6	0.27186638862502643
currier_only	2	100	k_medoids	8	6	0.03709619333619684	10	5	11	0.45454545454545453	10	0.5	0.34092579705258874
currier_only	2	100	k_medoids	8	7	0.03709619333619684	10	3	11	0.2727272727272727	10	0.3	0.3375879619064007
currier_only	2	1000	hierarchical	3	0	0	0	1	11	0.09090909090909091	1	1	0
currier_only	2	1000	hierarchical	3	1	0	0	1	11	0.09090909090909091	1	1	0
currier_only	2	1000	hierarchical	3	2	0	0	1	11	0.09090909090909091	1	1	0
currier_only	2	1000	k_medoids	3	0	0	0	1	11	0.09090909090909091	1	1	0
currier_only	2	1000	k_medoids	3	1	0	0	1	11	0.09090909090909091	1	1	0
currier_only	2	1000	k_medoids	3	2	0	0	1	11	0.09090909090909091	1	1	0
currier_only	2	200	hierarchical	9	0	0.04629042132459682	8	1	11	0.09090909090909091	8	0.125	0
currier_only	2	200	hierarchical	9	1	0.04629042132459682	8	1	11	0.09090909090909091	8	0.125	0
currier_only	2	200	hierarchical	9	2	0.04629042132459682	8	1	11	0.09090909090909091	8	0.125	0
currier_only	2	200	hierarchical	9	3	0.04629042132459682	8	1	11	0.09090909090909091	8	0.125	0
currier_only	2	200	hierarchical	9	4	0.04629042132459682	8	1	11	0.09090909090909091	8	0.125	0
currier_only	2	200	hierarchical	9	5	0.04629042132459682	8	1	11	0.09090909090909091	8	0.125	0
currier_only	2	200	hierarchical	9	6	0.04629042132459682	8	1	11	0.09090909090909091	8	0.125	0
currier_only	2	200	hierarchical	9	7	0.04629042132459682	8	1	11	0.09090909090909091	8	0.125	0
currier_only	2	200	hierarchical	9	8	0.04629042132459682	8	1	11	0.09090909090909091	8	0.125	0
currier_only	2	200	k_medoids	2	0	0.07058984130734866	8	7	11	0.6363636363636364	8	0.875	0.35780644713312537
currier_only	2	200	k_medoids	2	1	0.07058984130734866	8	1	11	0.09090909090909091	8	0.125	0
currier_only	2	50	hierarchical	2	0	0.10691551339048938	11	11	11	1	11	1	0.31688983803266424
currier_only	2	50	hierarchical	2	1	0.10691551339048938	11	1	11	0.09090909090909091	11	0.09090909090909091	0
currier_only	2	50	k_medoids	4	0	0.0570930922731946	11	9	11	0.8181818181818182	11	0.8181818181818182	0.23059735942889614
currier_only	2	50	k_medoids	4	1	0.0570930922731946	11	8	11	0.7272727272727273	11	0.7272727272727273	0.27617779817781785
currier_only	2	50	k_medoids	4	2	0.0570930922731946	11	7	11	0.6363636363636364	11	0.6363636363636364	0.27307711070871454
currier_only	2	50	k_medoids	4	3	0.0570930922731946	11	9	11	0.8181818181818182	11	0.8181818181818182	0.19685484999004843
currier_only	2	500	hierarchical	2	0	0.01831572532627381	2	1	11	0.09090909090909091	2	0.5	0
currier_only	2	500	hierarchical	2	1	0.01831572532627381	2	1	11	0.09090909090909091	2	0.5	0
currier_only	2	500	k_medoids	2	0	0.041087532389662125	2	1	11	0.09090909090909091	2	0.5	0
currier_only	2	500	k_medoids	2	1	0.041087532389662125	2	1	11	0.09090909090909091	2	0.5	0
currier_only	3	100	hierarchical	10	0	0.053417134898599415	3	1	1	1	1	1	0
currier_only	3	100	hierarchical	10	1	0.053417134898599415	3	1	1	1	1	1	0
currier_only	3	100	hierarchical	10	2	0.053417134898599415	3	1	1	1	1	1	0
currier_only	3	100	hierarchical	10	3	0.053417134898599415	3	1	1	1	1	1	0
currier_only	3	100	hierarchical	10	4	0.053417134898599415	3	1	1	1	1	1	0
currier_only	3	100	hierarchical	10	5	0.053417134898599415	3	1	1	1	1	1	0
currier_only	3	100	hierarchical	10	6	0.053417134898599415	3	1	1	1	1	1	0
currier_only	3	100	hierarchical	10	7	0.053417134898599415	3	1	1	1	1	1	0
currier_only	3	100	hierarchical	10	8	0.053417134898599415	3	1	1	1	1	1	0
currier_only	3	100	hierarchical	10	9	0.053417134898599415	3	1	1	1	1	1	0
