block	currier	hand	joint_class	source	target	source_count	target_count	edge_count	opportunities	block_tokens	p_target_given_source	p_target_baseline	enrichment	log2_enrichment	sign
1/1#8	1	1	1/1	aiin	cheol	5	4	0	5	655	0.001821493625	0.004867495944	0.3742157458	-1.418057831	depleted
2/2#7	2	2	2/2	aiin	cheol	8	1	0	8	229	0.001801801802	0.003009027081	0.5987987988	-0.7398567676	depleted
2/2#8	2	2	2/2	aiin	cheol	40	30	0	40	6957	0.001615508885	0.004220577043	0.3827696708	-1.385451574	depleted
3/2#0	3	2	3/2	aiin	cheol	14	1	0	14	503	0.00176366843	0.001941747573	0.9082892416	-0.1387763029	depleted
3/4#0	3	4	3/4	aiin	cheol	7	0	0	7	540	0.001808318264	0.0006176652254	2.927667269	1.5497516	preferred
3/2#1	3	2	3/2	aiin	cheol	37	1	0	37	1352	0.00163132137	0.0009250693802	1.763458401	0.818407544	preferred
4/1#0	4	1	4/1	aiin	cheol	7	9	0	7	489	0.001808318264	0.01252471984	0.1443799372	-2.792057813	depleted
5/3#0	5	3	5/3	aiin	cheol	5	1	0	5	535	0.001821493625	0.001864512119	0.9769277474	-0.033676229	depleted
X/3#0	X	3	X/3	aiin	cheol	29	9	0	29	1911	0.001675041876	0.004356798899	0.3844661906	-1.37907136	depleted
Y/3#0	Y	3	Y/3	aiin	cheol	21	0	0	21	778	0.001721170396	0.000477326969	3.605851979	1.850340175	preferred
X/3#1	X	3	X/3	aiin	cheol	23	4	1	23	876	0.005128205128	0.003928415539	1.305413105	0.3845064281	preferred
1/1#0	1	1	1/1	aiin	ches	13	1	0	13	4145	0.001769911504	0.0003397893306	5.208849558	2.38096477	preferred
2/2#1	2	2	2/2	aiin	ches	7	1	0	7	213	0.001808318264	0.00310880829	0.5816757083	-0.7817130388	depleted
2/2#2	2	2	2/2	aiin	ches	14	0	0	14	454	0.00176366843	0.0006910850035	2.552028219	1.351644282	preferred
1/1#3	1	1	1/1	aiin	ches	10	0	0	10	603	0.001788908766	0.0005730659026	3.121645796	1.642306848	preferred
2/2#3	2	2	2/2	aiin	ches	16	1	0	16	511	0.001751313485	0.001921844971	0.9112667834	-0.1340546141	depleted
2/2#4	2	2	2/2	aiin	ches	5	0	0	5	304	0.001821493625	0.0008718395815	2.089253188	1.062987337	preferred
2/2#5	2	2	2/2	aiin	ches	5	1	1	5	274	0.005464480874	0.002759889604	1.97996357	0.985473886	preferred
1/1#8	1	1	1/1	aiin	ches	5	0	0	5	655	0.001821493625	0.0005408328826	3.367941712	1.75186717	preferred
2/2#7	2	2	2/2	aiin	ches	8	0	0	8	229	0.001801801802	0.001003009027	1.796396396	0.8451057332	preferred
2/2#8	2	2	2/2	aiin	ches	40	10	0	40	6957	0.001615508885	0.001452985539	1.111854758	0.1529683407	preferred
3/2#0	3	2	3/2	aiin	ches	14	1	0	14	503	0.00176366843	0.001941747573	0.9082892416	-0.1387763029	depleted
3/4#0	3	4	3/4	aiin	ches	7	1	0	7	540	0.001808318264	0.001852995676	0.9758890898	-0.03521090065	depleted
3/2#1	3	2	3/2	aiin	ches	37	2	0	37	1352	0.00163132137	0.0015417823	1.058075041	0.08144194988	preferred
4/1#0	4	1	4/1	aiin	ches	7	0	0	7	489	0.001808318264	0.0006591957811	2.743218807	1.4558697	preferred
5/3#0	5	3	5/3	aiin	ches	5	0	0	5	535	0.001821493625	0.0006215040398	2.930783242	1.551286272	preferred
X/3#0	X	3	X/3	aiin	ches	29	0	0	29	1911	0.001675041876	0.0002293052052	7.304857621	2.868856154	preferred
Y/3#0	Y	3	Y/3	aiin	ches	21	1	0	21	778	0.001721170396	0.001431980907	1.20195066	0.2653776745	preferred
X/3#1	X	3	X/3	aiin	ches	23	2	0	23	876	0.001709401709	0.002182453077	0.7832478632	-0.3524591661	depleted
1/1#0	1	1	1/1	aiin	chey	13	25	0	13	4145	0.001769911504	0.00577641862	0.3064029151	-1.706498072	depleted
2/2#1	2	2	2/2	aiin	chey	7	2	0	7	213	0.001808318264	0.00518134715	0.349005425	-1.518678633	depleted
2/2#2	2	2	2/2	aiin	chey	14	3	0	14	454	0.00176366843	0.004837595024	0.3645754598	-1.45571064	depleted
1/1#3	1	1	1/1	aiin	chey	10	4	0	10	603	0.001788908766	0.005157593123	0.3468495329	-1.527618153	depleted
2/2#3	2	2	2/2	aiin	chey	16	0	0	16	511	0.001751313485	0.0006406149904	2.73380035	1.450907887	preferred
2/2#4	2	2	2/2	aiin	chey	5	4	0	5	304	0.001821493625	0.007846556234	0.2321392431	-2.106937664	depleted
2/2#5	2	2	2/2	aiin	chey	5	2	0	5	274	0.001821493625	0.004599816007	0.395992714	-1.336454209	depleted
1/1#8	1	1	1/1	aiin	chey	5	2	0	5	655	0.001821493625	0.002704164413	0.6735883424	-0.5700609245	depleted
