token	block	direction	conditional_entropy	effective_successor_predecessor_count	baseline_entropy	entropy_effect	eligible
okchey	1/1#0	outgoing	6.282643573	535.2016402	5.215136627	1.067506947	true
okchor	1/1#0	outgoing	6.275845478	531.5756276	5.215136627	1.060708852	true
okchy	1/1#0	outgoing	6.275845478	531.5756276	5.215136627	1.060708852	true
okeol	1/1#0	outgoing	6.284969958	536.4481742	5.215136627	1.069833331	true
okol	1/1#0	outgoing	6.256398806	521.3381159	5.215136627	1.041262179	true
okor	1/1#0	outgoing	6.280347619	533.974251	5.215136627	1.065210992	true
okshy	1/1#0	outgoing	6.282643573	535.2016402	5.215136627	1.067506947	true
oky	1/1#0	outgoing	6.262502151	524.5297521	5.215136627	1.047365524	true
ol	1/1#0	outgoing	6.232832942	509.1959648	5.215136627	1.017696315	true
opchy	1/1#0	outgoing	6.280347619	533.974251	5.215136627	1.065210992	true
or	1/1#0	outgoing	6.211811606	498.6037068	5.215136627	0.9966749787	true
os	1/1#0	outgoing	6.280347619	533.974251	5.215136627	1.065210992	true
otaiin	1/1#0	outgoing	6.263030885	524.8071622	5.215136627	1.047894258	true
otchol	1/1#0	outgoing	6.267189959	526.9944191	5.215136627	1.052053332	true
otchor	1/1#0	outgoing	6.278081712	532.7656851	5.215136627	1.062945085	true
otchy	1/1#0	outgoing	6.256413568	521.3458121	5.215136627	1.041276942	true
otol	1/1#0	outgoing	6.245450665	515.6615634	5.215136627	1.030314039	true
otor	1/1#0	outgoing	6.273638548	530.4037704	5.215136627	1.058501921	true
oty	1/1#0	outgoing	6.260992317	523.7383966	5.215136627	1.04585569	true
qo	1/1#0	outgoing	6.278081712	532.7656851	5.215136627	1.062945085	true
qoaiin	1/1#0	outgoing	6.282643573	535.2016402	5.215136627	1.067506947	true
qokaiin	1/1#0	outgoing	6.269311143	528.1134581	5.215136627	1.054174517	true
qokchol	1/1#0	outgoing	6.271006512	529.0095643	5.215136627	1.055869885	true
qokchy	1/1#0	outgoing	6.253103471	519.6229597	5.215136627	1.037966844	true
qokol	1/1#0	outgoing	6.250752287	518.4026655	5.215136627	1.03561566	true
qoky	1/1#0	outgoing	6.264732879	525.7011413	5.215136627	1.049596252	true
qot	1/1#0	outgoing	6.280347619	533.974251	5.215136627	1.065210992	true
qotaiin	1/1#0	outgoing	6.275845478	531.5756276	5.215136627	1.060708852	true
qotchol	1/1#0	outgoing	6.275845478	531.5756276	5.215136627	1.060708852	true
qotchy	1/1#0	outgoing	6.248023137	516.9897956	5.215136627	1.03288651	true
qotol	1/1#0	outgoing	6.266886539	526.8345432	5.215136627	1.051749913	true
qotor	1/1#0	outgoing	6.2754305	531.3550806	5.215136627	1.060293873	true
qoty	1/1#0	outgoing	6.266698009	526.7352282	5.215136627	1.051561382	true
r	1/1#0	outgoing	6.244840255	515.3468942	5.215136627	1.029703628	true
s	1/1#0	outgoing	6.173224294	479.7304071	5.215136627	0.9580876674	true
saiin	1/1#0	outgoing	6.273638548	530.4037704	5.215136627	1.058501921	true
sh	1/1#0	outgoing	6.282643573	535.2016402	5.215136627	1.067506947	true
shaiin	1/1#0	outgoing	6.278081712	532.7656851	5.215136627	1.062945085	true
shar	1/1#0	outgoing	6.284969958	536.4481742	5.215136627	1.069833331	true
sheey	1/1#0	outgoing	6.2754305	531.3550806	5.215136627	1.060293873	true
sheo	1/1#0	outgoing	6.287327159	537.7141821	5.215136627	1.072190532	true
