token	block	direction	counterpart	raw_count	probability	log2_enrichment
x000052	G0/generic#0	incoming	x002624	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x002625	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x002626	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x002627	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x002776	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x002777	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x002778	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x002779	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x003548	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x003549	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x003550	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x004156	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x004157	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x004158	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x004159	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x004207	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x004652	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x004655	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x005140	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x005142	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x005143	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x005468	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x005469	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x005470	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x005471	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x005532	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x005534	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x005541	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x005542	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x005543	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x005588	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x005589	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x005590	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x005591	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x005850	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x006261	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x006262	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x006263	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x006408	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x006429	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x006431	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x006709	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x006710	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x006711	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x006713	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x006714	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x006715	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x006897	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x007180	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x007181	0	0.0015625	1.121015401
