source	target	global_count	eligible_blocks	positive_blocks	negative_blocks	neutral_blocks	joint_classes	currier_classes	hands	joint_class_ids	currier_ids	hand_ids	median_log2_enrichment	mean_log2_enrichment	between_block_sd	sign	sign_consistency	tested_blocks	successful_sign_predictions	transfer_fraction	empirical_p	fdr_q	permutations	max_block_observation_fraction	max_block_effect_weight_fraction	status
x000052	x011260	1	25	23	2	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.584962501	1.118909654	0.8716620772	preferred	0.92	25	23	0.92	1	1	1000	1	0.06192650848	EXPECTED_FROM_NULL
x000052	x011261	1	25	19	6	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.633572445	1.040535334	1.020964623	preferred	0.76	25	19	0.76	1	1	1000	0	0.05917321209	EXPECTED_FROM_NULL
x000052	x011262	1	25	18	6	1	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.562384653	0.8402782828	1.007071488	preferred	0.72	25	18	0.72	1	1	1000	0	0.07026562612	EXPECTED_FROM_NULL
x000052	x011263	3	25	22	2	1	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.571373436	1.055511154	0.7903228495	preferred	0.88	25	22	0.88	0.05794205794	0.2692137794	1000	0.5	0.06744816811	EXPECTED_FROM_NULL
x000052	x011445	1	25	25	0	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.633572445	1.431460902	0.6037783579	preferred	1	25	25	1	0.05894105894	0.2692758746	1000	1	0.05323504991	EXPECTED_FROM_NULL
x000052	x011447	1	25	25	0	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.639354798	1.558257902	0.4386145211	preferred	1	25	25	1	1	1	1000	1	0.04890326079	EXPECTED_FROM_NULL
x000052	x011935	1	25	23	1	1	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.639354798	1.401982278	0.6885270092	preferred	0.92	25	23	0.92	0.01898101898	0.2002167716	1000	1	0.05224151629	EXPECTED_FROM_NULL
x000052	x011979	2	25	23	1	1	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.661558192	1.494859402	0.5671820859	preferred	0.92	25	23	0.92	1	1	1000	1	0.0509157764	EXPECTED_FROM_NULL
x000052	x017120	2	25	24	1	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.613149727	1.304663902	0.6820599755	preferred	0.96	25	24	0.96	0.04995004995	0.2568132974	1000	1	0.05815305181	EXPECTED_FROM_NULL
x000052	x017122	1	25	22	2	1	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.613149727	1.211786778	0.8039071799	preferred	0.88	25	22	0.88	1	1	1000	0	0.05986414294	EXPECTED_FROM_NULL
x000052	x017123	2	25	23	2	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.633572445	1.309105154	0.7656942465	preferred	0.92	25	23	0.92	0.03796203796	0.2386582028	1000	1	0.05431408264	EXPECTED_FROM_NULL
x000052	x019220	1	25	25	0	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.584962501	1.241265402	0.7097107705	preferred	1	25	25	1	1	1	1000	0	0.06139210232	EXPECTED_FROM_NULL
x000052	x019222	1	25	23	2	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.608445339	1.211786778	0.7452580219	preferred	0.92	25	23	0.92	0.07192807193	0.2883310611	1000	1	0.05936491883	EXPECTED_FROM_NULL
x000052	x019223	1	25	25	0	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.637911381	1.431460902	0.550211906	preferred	1	25	25	1	1	1	1000	0	0.0517926714	EXPECTED_FROM_NULL
x000052	x019543	1	25	23	2	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.608445339	1.177866902	0.7558222998	preferred	0.92	25	23	0.92	1	1	1000	0	0.06453068902	EXPECTED_FROM_NULL
x000052	x020316	2	25	23	2	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.571373436	1.084989778	0.8264004468	preferred	0.92	25	23	0.92	0.09290709291	0.3276519139	1000	1	0.06754442383	EXPECTED_FROM_NULL
x000052	x020318	1	25	21	4	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.562384653	0.9626340304	0.9068921836	preferred	0.84	25	21	0.84	1	1	1000	1	0.06827120979	EXPECTED_FROM_NULL
x000052	x020319	1	25	20	5	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.560714954	0.9331554066	0.9256578963	preferred	0.8	25	20	0.8	1	1	1000	0	0.06721843705	EXPECTED_FROM_NULL
x000052	x020623	1	25	22	3	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.613149727	1.148388278	0.7769515745	preferred	0.88	25	22	0.88	1	1	1000	1	0.06576734732	EXPECTED_FROM_NULL
x000052	x021141	1	25	24	1	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.639354798	1.494859402	0.5389134335	preferred	0.96	25	24	0.96	1	1	1000	0	0.05094025166	EXPECTED_FROM_NULL
x000053	x002778	1	23	20	3	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.63039393	1.305530547	0.7670932656	preferred	0.8695652174	23	20	0.8695652174	1	1	1000	1	0.06016158506	EXPECTED_FROM_NULL
x000053	x002779	1	23	21	2	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.62631176	1.268661116	0.766156631	preferred	0.9130434783	23	21	0.9130434783	0.04095904096	0.2391027776	1000	1	0.0645649787	EXPECTED_FROM_NULL
x000053	x006713	1	23	20	3	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.614526958	1.199749703	0.8041245147	preferred	0.8695652174	23	20	0.8695652174	1	1	1000	0	0.06794001993	EXPECTED_FROM_NULL
x000053	x007615	1	23	21	2	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.63039393	1.337572529	0.6924356	preferred	0.9130434783	23	21	0.9130434783	0.01998001998	0.2029197568	1000	1	0.06169571891	EXPECTED_FROM_NULL
x000053	x008132	1	23	21	2	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.62631176	1.305530547	0.7887930314	preferred	0.9130434783	23	21	0.9130434783	0.05994005994	0.2697796437	1000	1	0.05975250391	EXPECTED_FROM_NULL
