Corpus	Lines	SameLineNonAdjacentDLE1Rate	AdjacentDLE1Rate	MatchedControlDLE1Rate	Delta
Doyle	3425	0.028649374	0.012162877	0.028050599	0.000598774
Doyle_ARTIFICIAL_VOYNICH_BLOCKS	4517	0.026634269	0.011661733	0.025642500	0.000991769
Longfellow	5057	0.030152577	0.006637955	0.029770657	0.000381920
Longfellow_ARTIFICIAL_VOYNICH_BLOCKS	3431	0.038824320	0.007252488	0.029386691	0.009437629
Astafiev	2867	0.031506527	0.015959833	0.029321985	0.002184541
Astafiev_ARTIFICIAL_VOYNICH_BLOCKS	8853	0.035669212	0.015518685	0.033588113	0.002081099
